农民没有耕地怎么办,待回复,三农 求助,H***,2019-06-2413:53,我们一家三口都是农村户口，但没有耕地怎么办，国家没有相应的措施吗,,,
小型家具加工作坊扰民,待回复,政务 投诉,h***,2019-06-2409:40,西渡街道，上海农资公司西渡仓库门口有人利用民房住宅进行家具加工，严重干扰附近居民特别是上晚班的居民，而且把住宅做成加工作坊本身就违法，消防安全也是隐患！希望庄书记和街道帮忙解决这件事！,,,
希都公寓,待回复,城建 咨询,晓***,2019-04-0716:22,黄浦江边上那个小区，地铁造好后噪音不断，请问此小区政府有规划？,,,
被冒用身份证变更为法人,待回复,政务 求助,s***,2019-04-0316:56,2019年2月20日我的手机接到一个北京打来的电话问我是不是上海蓝色星城电子商务有限公司董事长，我回答了不是就挂断了电话，没过多久同样的电话竟然打到了我办公室的座机，我一接起电话他就报出了我的名字和身份证，还说准备起诉我，我以为是骗子随即挂断了电话。挂断电话号，我上网查询了一下，确实有一家名叫上海蓝色星城电子商务有限公司登记的法人代表是我的名字，公司的注册地址为上海市奉贤区市场监督管理局，法人变更时间为2018年9月29日。我这才明白是自己的身份证被冒用了。2月25日我致电上海市奉贤区市场监督管理局反映情况，他们核实上海蓝色星城电子商务有限公司的执行董事确实是用本人的身份信息注册，最后他们让我写个情况说明和身份证复印件一起寄到局里。我于2月25日傍晚寄出信件。没过几天便收到上海市奉贤区市场监督管理局信访受理告知单。就在我以为上海市奉贤区市场监督管理局会公正严谨的处理这件事件时，3月15日14:06分自称是信访件的处理工作人员雷x打电话给我，电话中先是问我办过几张身份证，是否丢失过身份证，我都如实回答。然后她说查到登记公司所用身份证不是11月份这张而是2017年7月办理的，并且法人变更时间为2018年9月29日。（但是本人早就已经在2017年11月和2018年6月先后两次在公安局挂失并且补办新的身份证，也就是说2018年9月29日那次法人变更所使用的身份证根本就没有任何法律效益，并且也未经本人到场和签字就完成变更。）我一再强调本人从未在任何地点注册公司，对方还是一直以戏谑的语气说我在撒谎并且逼迫我承认亲自参与了法人变更。3月18日，本人到了上海，先到南桥派出所，他们表示这不是他们管辖的事情，让我走行政诉讼。几经周转找到了我的信访处理人雷莹，我向她提交了公安局开具的身份证遗失补办证明，并和她声明了本人从未在任何地点亲自或者委托任何人注册公司。她表示原先的法人一直联系不上，目前的撤销程序必须是走笔迹鉴定（她也看出明显不是本人的笔迹）。作为受害人，不仅花费了时间精力，来回路费住宿费，还让我承担好几千的笔迹鉴定费，真正的违法犯罪者却逍遥法外，我实在是难以接受。,,,
奉贤区奉城镇兰博路1189弄居民区异味严重,待回复,环保 投诉,W***,2019-03-2822:11,尊敬的庄书记您好！我是奉城镇兰博路1189弄绿地小米公社的居民。从2018年6月份起，每晚都有一股塑胶味，一直持续到早上八点，每天起床喉咙疼痛，家里老人咳嗽不止。于是我们拨打了12345，12369。但是得到的回复是始终在解决中，九月底区环保局来人，与部分居民代表开会，说过了十一增派人手值夜班来调查这个味道，可是过了十一，也没看到有人值夜班，味道反而有增无减。那个时候是冬天，一到下午五六点时分。家家门窗紧闭，打开空气净化器，可也不是长久之计。晚上睡觉时总有味道从窗缝里飘进来。把人呛醒，不能睡觉。持续到12月初，居委会和镇领导承诺三个月以内解决。三个月以内关了数十家小厂，可是味道依然存在。到了2019年2月底，更是白天夜晚排毒。期间环保局说让居民自己去走访，看看到底是哪一家，他们好解决，于是每次有味道有一些居民自发去了，查到的都是欣旺壁纸。但是现在领导还是不给我们解决。希望应市长李强书记多关心关心老百姓，老百姓花一辈子积蓄买一套房子不容易，却整天要忍受毒气的侵扰。现在生活压力这么大，我们也需要活命。求领导们一定帮我们解决让人窒息的异味，救这片居民与水火之中，万分感谢！,,,
                还我青山绿山,待回复,环保 投诉,s***,2019-03-2809:33,庄书记你好！         奉城镇绿地小米公社、水榭兰亭、中海戈雅苑是3个较大、较新住宅区，住户将超3千。刚需者当初图运郊近海空气好、人口密度低，克服交通不便进行购房。    然而，自2018年六、七月起至今，居民们明显感到了空气质量的下降，原因是周围有很多企业不合规的偷排有毒气体，呼吸道严重不适的现象经常出现，居民们不敢开门窗。期间，不少居民与当地居委和环保部门进行了反映和沟通，但最终得到的是敷衍和拖延。    我们无意冤枉所有企业，恳请庄书记督促相关政府进行联合行动，逐一排查相关企业，对不符环保排放的企业进行关、停、并、转，并对之加强处罚力度。    谢谢庄书记，烦请你对此问题予以重视并作批示。相信不久，困扰已久的超标偷排问题必将得到解决。    ,,,
庄书记，请管管奉城镇的环保问题。,待回复,环保 求助,W***,2019-03-2614:01,庄书记你好，我是奉贤区奉城镇兰博路1189弄，绿地小米公社居民。从去年七八月份开始，小区里就飘着一股塑料烧焦的怪味，尤其是9月10号以后，更是整夜整夜排放。小区的居民都出现了不适症状，恶心干呕。我们打了12345，九月底来了几个人去环保的。他们说他们没有闻到味道就走了。过了十一也没有人管，这个味道越来越重，我们反应了很多次，居委会，镇安监区环保都来人了，可是始终不解决。麻烦张庄书记帮帮我们！,,,
跪求建公共厕所,待回复,三农 求助,劳***,2019-03-1513:33,川南奉公路与协新路交叉口向北100米。800务工人员没厕所上。请领导安排人下基层检查。,,,
上海市奉贤区洪庙镇洪南村700名外来务工人员,待回复,三农 求助,劳***,2019-03-1222:01,为了支持上海进博会的顺利举办。和上海正在推行的大力建设美好乡村的举措。拆除了洪南村224号附近的所有室外的厕所。这样就导致了大量的外来租户没有厕所上。给人民的生活带来了大量的不方便。晚上随地大小便的人就多了，给环境带来了更大的污染。我殷切的希望。领导能够看到我的请求，给我们建个厕所，照顾照顾我们这些外来的务工人。没有厕所真的不方便。谢谢，非常感谢,,,
请庄书记拨款给奉城镇领导治鼻子,待回复,环保 投诉,W***,2019-03-1211:06,你好庄书记，我们奉城镇兰博路1189弄以东200米左右有工厂数十家，隔三差五白天黑夜的排放刺鼻的塑胶味和油漆味，我们也隔三差五的投诉，但是不起作用，环保局的领导偶尔来了还说没味道（投诉后两三小时到）是否他们闻到的味道太杂，把鼻子闻坏了，希望庄书记给他们治治或者拨点款让他们买点仪器，奉贤区西部要开发东部人民也要生活啊！,,,
食品安全,待回复,环保 投诉,W***,2019-01-2517:02,领导你好！我而您反映一下上海巿奉贤区奉城镇南街1号四川大碗面，临时营业执照过期了。还能营业吗？营业执照起的是什么作用？是不是食品的安全问题呀。就在这条街上好多家没有营业执照和许可证。,,,
工资,待回复,城建 求助,m***,2018-12-2108:24,不光我是一个人，还要6个人都没有发，好几万,,,
工地工资没有发,待回复,城建 求助,m***,2018-12-2108:24,我是在西渡镇华松路大同村干活的，就是村庄拆迁过后，村里建设，涂料刷村庄的墙那种，干好之后，领导和村里面的人来检查。但是这个事已经一个多月快2个月，工资还没有发，问老板，老板说没有钱，这段时间不知道问他多少次了，他都说过两天发过两天发，都快过年了，这个活是不是私人老板包下来的，我也不知道，所以问问你们,,,
关于南桥星雨城商场火鸟健身房卷款跑路事宜,待回复,文娱 求助,W***,2018-10-2116:56,尊敬的奉贤区委书记：        您好！本人现居住在南桥镇蓝天苑，因准备备孕，想锻炼一下身体，故于今年7月30日在附近的星雨城商场的火鸟健身房办了2张年卡，打算和丈夫一起好好锻炼。然而万万没有想到的是，这家健身房在没有任何通知的情况下，突然于10月17日关门，停止营业了。商场方面也表示，该健身房拖欠房租水电费共计131463元整。截止目前，已在江海派出所报警受害者人数达200多名，据统计，未消费总金额高达1043763元，当然，实际受害人数和被骗金额远远不止这些。事发至今，老板老板娘始终未曾露面，尤其下属一位工作人员表示，不存在诈骗，而是更换场地，该健身房老板明显经验丰富，我们大家都怕老板借口拖延，实则转移资产后申请破产来逃避承担相应的责任。几百受害者通过工商部门维权均无果，不知道这种情况政府会如何处理呢？近年来，健身房，美容院等卷款跑路的事件频发，如果政府不拿出强有力的手段，坚决抵制这种事件，恐怕如此恶性循环下去，市场会越来越乱，不法分子也会趁机钻空子，导致人心惶惶，对政府的信任度渐渐消失，希望领导们可以引起高度重视。        最后谢谢领导的关注！望领导可以还受害者们一个公道！,,,
火鸟健身房涉及诈骗,待回复,文娱 投诉,W***,2018-10-2015:29,本人2018年9月25日办的卡799元，9月26日在田小东教练办了私教课12节课4200元。目前上了3节课，突然关门了。希望有关监管部门为广大消费者讨回该有的权益,,,
星雨城三楼健身房节前活动圈钱，节后关门欺诈消,待回复,政务 投诉,W***,2018-10-2015:27,星雨城三楼健身房在9月老板已经把股权转让后，先一波装修停业，然后开业后搞了一波低价吸纳会员圈钱活动，说课要10月再开，国庆期间放假，节后上来没几天10月16日还在开业，晚上他们就把东西搬空，17日忽然就关门了，里面资料也烧毁在垃圾桶，私人的办公的用品电脑之类都搬空，物业说拖欠房租和电费，让广大消费者情何以堪,,,
奉贤南桥星雨城火鸟健身房一夜之间关门，未通知,待回复,政务 投诉,W***,2018-10-2015:22,奉贤南桥星雨城火鸟健身房一夜之间关门，未通知会员，所涉及金额巨大。希望有关部门解决。,,,
百兴路8号绿田商城被不法分子骚扰不能正常装修,待回复,城建 投诉,人***,2018-10-1417:59,您好，庄书记，我是绿天商城的一名小业主，奉贤南桥百兴路8号绿天商城，10年前开发商卖光了商铺卷款跑路，扔下一个无赖物业利争公司霸占小业主的商铺10年不招商。小业主努力自救，去年成立了绿天商城业委会，启动招商，终于引进了城太招商公司，签约率现已接近90%，聘请了新的物业。城太公司却不能进行招商和装修，因为霸占我们商铺10年靠着收停车费生存的利争物业，和已经宣布放弃绿天商城经营权的强满公司，一直在商场捣乱，利争物业强占商场不肯退出，强满公司甚至带着一批人天天去城太公司招商处吵吵闹闹，和黑社会无异，这种多次扰乱社会秩序、招商秩序的行为，按照相关法律规定早就够的上拘留了，但是相关执法部门缺等慢作为、懒作为，甚至不作为，放任事态发展。这种情况致使业主招商过来的城太公司顾虑重重，眼看这次招商要泡汤，请相关职能部门为绿天2000多户我们小业主的利益保驾护航。烦请您百忙之中关注下绿天商城，非常感谢。,,,
奉贤四团站高铁站有规划建设吗？建设在哪？,待回复,交通 咨询,b***,2018-10-0908:49,请问沪通铁路在奉贤区会建设高铁站吗？具体位置在哪？,,,
小区楼下开酒吧严重扰民无人管,待回复,环保 投诉,W***,2018-10-0413:54,上海市奉贤区望园南路369号卓越中心2号居民楼下新开了一家酒吧，天天扰民，音乐声，喝醉酒的吵架声，让楼上的住户晚上无法忍受，多次向物业反映，物业的人叫我们报警，他们管不了！后来报了警，警察叔叔走了以后马上又吵起来了。我就想要一个安静的小区环境。希望有关部门给我们解决,,,
强烈呼吁政府部门尽快修订养犬管理条例,待回复,城建 建言,一***,2018-08-2916:52,对不文明的养犬行为予以处罚！如不牵绳罚款多少。而不是简单粗暴地处罚狗，因为大家都知道一切责任都在于不负责任的不文明的狗主人，一定要治本！你没收他一条狗，他可以继续养十条！治本才是彻底解决问题的关键！,,,
亲爱的领导,待回复,治安 投诉,萨***,2018-08-2008:57,我要投诉南桥镇古华新村349号底楼长期开设棋牌室，聚众赌博，车辆乱停、特别晚上十点后人员复杂开始赌博长期如此，希望领导可以让有关部门来处理一下，小区里不是不可以开棋牌室吗,,,
请还聚财信受害者的血汗钱,待回复,金融 投诉,x***,2018-08-0814:19,书记你好，我想反应的聚财猫受害者的心声。当初响应党的号召，发展互联网金融，所以把家里人的血汗钱12万一起放进了聚财猫。到如今的血本无归。我要投诉你们区的金融办主任李晶，是金融办给聚财猫颁发了那么多的荣誉证书，许可证，如今说它不合法，我想是金融办的监管不严实，才导致今天的局面，还有上海泓正会计师事务所，为聚财猫做审计验资的假报告，蒙骗出借者，也需要一起付连带责任，请担负起各自的职责，还聚财猫受害者的血汗钱。,,,
要回聚财猫欠我的钱,待回复,金融 投诉,W***,2018-08-0109:45,7月18日，聚财猫发布公告停运并且良性退出，我们是聚财猫平台上的出借人，我们强烈要求聚财猫平台如公告所言归还我们的血汗钱。因此，我们请求上海经侦部门能监管薛亮协调各资产端完成还款，重建支付通道保证回款。另恳求政府相关部门介入，拟定回款方案。聚财猫一案涉及资金和受害人数巨大，希望上海经侦部门以及政府相关部门能够重视起来，能够体恤受害者的惨痛，能够维护我们老百姓的利益，追讨回款。跪谢。,,,
聚财猫理财购买的受害者,待回复,金融 投诉,文***,2018-07-2817:27,请奉贤是庄书记早日把我们聚财猫平台的资金找回，还我们的血汗钱，这些钱都是家里面要活命的钱呢！请领导引起重视，及时处理，还我们一个公道。,,,
聚财猫平台协调还款,待回复,金融 投诉,红***,2018-07-2817:27,请奉贤书记对聚财猫平台事件引起重视，早日归还咱们出借人的本金。,,,
聚财猫事件求助,待回复,金融 求助,活***,2018-07-2009:55,领导，您好。我想咨询下聚财猫的事，我作为p2p行业普通的投资人，遇到了高智商的公司领导者，没有ceo的行踪，没有具体的违约还款计划，公司没人上班，客服联系不上，就是空口白话的让等。我想拿回父母的血汗钱，我应该怎么办啊？怕家人跟着吃不下，睡不着，谁也不能说，只能自己一个人装在心里。,,,
金斗路停车时间7：00-19：00设置不合理,待回复,城建 投诉,我***,2018-06-2209:04,庄书记你好！百忙之中打扰你了，请见谅！来信主要是向你反映金汇镇金斗路非主干道停车位停车时间设置不合理一事 请你关注一下。最近一段时间以来，金汇镇金斗路上的工厂不让员工停车进厂区，还好交管部门在金斗路上设置了停车位方便员工上下班停用，按理说此举需要点赞交警部门的，可有一点就是停车位的停车时间设置位为早7：00至晚上19：00，超过这是时间段还停车的话交警就贴罚单了，我们工厂同事已经被交警贴过两次罚单了，如果是主干道超过这个时间段停车的话贴罚单我们也无话可说，可金斗路这条道路一来不是主干道，二来金斗路1号的尽头还是死路，根本就不能通行，更不用说道路拥挤影响行人与车辆通行的情况，而且工厂有时候也会加班，超过晚上七点出来后看见车子上贴上罚单很是郁闷，不知道交管部门在这条路上设置的停车时间7：00-19：00到底是出于哪种考虑，还是就是想贴单罚款为国家财政创收，请相关部门给一个合理的解释，并建议将该全路段多设置一些停车位，修改停车时间为0：00--24：00。也就是说全天全时段都可以停车，请相关部门多多理解一下工人的挣钱不易，谢谢期待相关部门早日改正这不合理的措施。,,,
奉贤区金汇镇明星村村干部违反国家五违四必政策,待回复,城建 投诉,小***,2018-06-0114:03,奉贤区金汇镇明星村村干部违反国家“五违四必”政策。近期，明星村国光十组正在实施无证违建房的拆除，但其中存在很多违法，包庇行为。1. 拆除实施前未公开各村民的无证违建房的真实情况，实施盲拆。2. 实施期间，出现包庇行为。经镇领导审核，写的“拆”字房不拆，村干部竟然组织擦除“拆”字。3. 无证违章房信息前后矛盾，公示的违章情况表与宅基证不符。 希望有关部门，重新审核每一户的无证违章房情况，落实好国家政策。图一为公示的违章建房面积。图二为除图二表格内，其他存在违章的情况之一。图三“拆”字村领导已擦除。,,,
请帮我要回工资,待回复,其他 求助,W***,2018-06-0109:08,我儿子是一名在校大一学生，因家庭困难，学校2017年12月30号放寒假后，前往上海打寒假工。于2018年1月5日至2月7日在上海翊定实业有限公司上班，进公司前就说好只做一个月就领工资，好回家过春节。刚去上海寒冷的天气晚上经常被冷醒。但也坚持做了一个多月。等要过春节回家前去问要工资、经理说暂时没钱，要他们先回家过春节，就手写了一张工资单给他们。说等过了正月十五就会把工资用微信转账给他们。但至今工资就还没有拿到，过年回家的路费就是借别人的。多次打老板电话，老板听说是问要工资的。马上就把电话挂了。我咨询劳动局了，在校大学生劳动局是不管的。只有向法院告这家公司。但我们人在贵州为了几千元跑到上海去打官司成本费太高，不划算。所以我只有以社会力量来讨要工资。如那位好心人帮我要回工资，我忠心感谢并给劳动报酬,,,
小区树影响采光,待回复,城建 求助,美***,2018-05-3107:15,尊敬的领导您好，我是四团海港瑞和家园的22号楼02户的底层业主，小区现在在绿化中，前几天去小区看一下，小区窗户前面有一颗很大的玉兰树，以后会把我们的窗户全部采光挡住，找售楼部推辞说等，现在绿化刚栽上好移动，希望有关部门帮忙协商一下，换颗小一点的树，恳请领导帮忙协商一下，谢谢,,,
环保问题,待回复,环保 建言,W***,2018-05-2514:24,最近一段时间在海坤路二百多号的部分地方尘土飞杨，空气质量很差，随意排放的企业比比皆是，周末偷着进行，希望有关部门尽快解决,,,
工人工资,待回复,城建 求助,李***,2018-02-1423:26,尊敬的书记！我在柘林化工区舜工路宝厦建设刷防火涂料，工钱没有结，把我的工钱结了吧，我回家过年！谢谢了！,,,
讨要工钱,待回复,城建 求助,李***,2018-02-1423:19,尊敬的书记！我在南桥八字桥路与环城西路，八字桥路向西到底，中核建设，阿波罗机械，做防火涂料，我的工钱没有结！我要工钱回家过年！,,,
要求房屋立基门牌号,待回复,城建 求助,再***,2017-12-2309:53,灯塔洪宝村委迟迟不给发办房屋宅基证。让我70多岁的老爸西渡南桥来回跑，村干部在其位不履行其政。,,,
要求立基门牌号,待回复,城建 求助,再***,2017-12-2309:53,我户灯塔洪宝村303号，村里管规划的在其位不履行其政迟迟不给办理我立基门牌事情，让我70多岁的老爸东奔西走，西渡南桥来回跑，拖骗。具体不细说了，望庄区长了解一下，能维护我的合法权利。,,,
化工厂排放难闻气味,待回复,环保 投诉,匿***,2017-10-2114:24,庄行丽水湾小区晚上8点开始有股难闻的味道，整个小区都有这种难闻的味道，没法开窗，附近有2个化工厂，白天不排放晚上排放难闻气味，有害身体健康,,,
奉贤公交车,待回复,城建 建言,匿***,2017-10-1512:01,书记你好！奉贤地区的公交线路多数在18:00以后停止运营。致使许多在奉献地区居住在其他地方区上班的人员上下班很不方便。请问书记能否将区间交通的车辆停运时间做适当延长，方便区间交通，也可以吸纳更多来沪青年来奉贤地区工作生活。,,,
奉贤区派出所可以拍违章停车吗？,待回复,交通 投诉,公***,2017-08-2916:06,我停在桥架下面也没有说不允许停车！也没有妨碍交通！没有妨碍行人通行！我打12345投诉告诉我打交警部门电话给我一个奉城交警电话！交警部门说是派出所贴的！我就想问派出所有有拍违章的吗？还有路边可以停放桥架吗？放在这边都几个月了，也没有人管,,,
小区车库改成房间出租是否违规？,待回复,城建 投诉,匿***,2017-07-0707:43,庄区长，现在小区停车位越来越紧张，可是好多小区的小车库被业主改成房间出租，始小区人员变的吵杂，不但给停车车位造成紧张还给小区安全带来隐患，试问这种现象有部门管吗？,,,
关于小区乱收停车费问题,待回复,治安 投诉,平***,2017-06-2416:15,奉贤区海湾镇洪卫港新村小区乱收停车费，自5月初起说开始收停车费，开始搞的还挺正规的就每天遵守缴费，可没过几天发现每天就早上上班那一会收费，过了那个点就不收了，还有上海本地车牌不收，关系熟悉的不收，我就纳闷了，一天我和同事上班说收费的事 居然发现他有的时候都没有收费，同事他说把车开快点直接停在停车杠前保安就会不收费，于是我决定第二天试一试果然没有收我的停车费直接给我开门了，没事的时候通过和小区里的那些外地车主聊天发现小区保安不仅乱收停车费，车子停在小区里被人划的一塌糊涂他们都不管，那我们每天交的停车费是干嘛的 最起码的车的保障都没有，希望领导重视这些看起来很小的事，麻烦还请调查并采取一定的方法来解决和管理这个问题，谢谢,,,
请求解决扰民,待回复,其他 投诉,姚***,2017-06-2007:38,你好。我是庄南小区43号201室的。我们楼上三楼的一户出租房不知道出租住了多少人。严重的影响了我们正常的休息时间。我父亲有高血压和脑梗。半夜三更了停车又干嘛的。希望求解决。,,,
公交车售票员素质问题,待回复,交通 投诉,匿***,2017-05-2615:56,现在公交车不管是乘客还是售票员一点素质都没有，乘客也就算了，售票员看到孕妇为什么不帮忙，叫年轻的乘客让个座位呢？我怀孕5个多月了，售票员看见我居然都无视我，我现在肚子有点大了，已经很明显了，不是一两个月的时候，还看不出来，不出事倒还好，万一出事了，谁能付这个责任？现在的售票员不管男女，年轻的和岁数大的，都没有尊老爱幼的意识，公交车上时不时的会报，给有需要的乘客让个座，这句话还是不要报的好，让人听着都难过，。难道那些人进公司的时候，公司没有培训这些基本的礼貌服务态度吗？那些女售票员你有一天也会怀孕，如果坐公交车，没有人给你让座你会怎么样？那些中年售票员等你岁数大的时候，再坐公交车，但是没有人给你让座，你又会怎么样？在服务行业，应有的服务是不一样的，但是态度应该是一样的，国家在发展，但是人的素质却一年不如一年，真是让人寒心！,,,
海马路附近小区居民生活困难问题,待回复,城建 投诉,匿***,2017-05-2318:21,书记，您好，我是海湾旅游区嘉业海悦小区的一名居民，特向您反映几个问题，并希望能够得到改善（1）小区门外路灯改善：我们小区自建成以来直至现在，大门外的规划路至今还没有路灯。夜晚走路必须靠手机打开手电筒照明，非常不安全，望在此问题上市政府能给予大力支持，还居民一条明亮的大道 。（2）往返市区交通问题：海湾的居民，除了当地居民以外，基本都是外来打工人员，每天上下班往返市区出行，除了莘海专线，海沈线，海航线等普通公交路线外，无快速直达市区的线路，而已有的线路站点多，耗时长，导致很多人每天光来回路上就花去五至六个小时，因此希望领导能考虑增设几条海湾前往市区（如莘庄、虹桥火车站）的直达快速车，为居民出行提供更多的便利。（3）文体建设问题：海湾旅游区因近几年的发展迅速，小区建成且人员入住率逐年提高，但相应的生活文娱设施却一再停滞不前。我们小区内无健身设施，而方圆三公里，也无大型公园供老人孩童健身娱乐，虽有碧海金沙和渔人码头可供人游玩，但这两处景点不仅收费，且只有在盛夏季节适宜人们过去散步活动，一旦到寒冬或春秋季，海风大，根本不适宜人们的健身，望领导考虑海湾的气候特点，选址建大型公园，让海湾人民也实实在在融入到“全民健身”的文化体验当中来（4）请求彻查本小区物业收费问题：嘉业海悦小区属普通居民小区，但物业费较周边同档甚至（市区/同地段）小区环境比之只好不差的小区来说，物业费高得离谱，小区居民对此曾与物业处交涉，但均以找开发商为由被打发，无果而终。现请求领导可以彻查此事，在物业费的缴费标准上给予我们一个公正合理的价格，而不是开发商的漫天要价（5）请求海马路桥重建问题：海马路桥原在2012年购房时是有的，而在交房后就成了断头桥，家中老人买菜及生活用品，原步行五分钟可以到，现在不仅要绕道，多走2公里路，且家中老人不会骑车的就更不方便了，望领导予以考虑重建海马路桥，以方便民众的出行。,,,
