标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
手机号被封，088396110也打不通,待回复,治安 求助,l***,2019-11-0809:06,我是一名电商行业从业者  我 从事电商行业我于10月29号从保山出发，前往南伞孟定镇康等地的寻找当地的茶叶产地，我的移动手机无故被停机，在停机前未收到任何提示，打回湖北移动才知道我的号码被临沧警方停机，并需要得到临沧警方的开通确认才能给我开通，昨天也拨打了移动提供的088396110，但是一直处于无法接通，和无人接听，我的手机号码是实名注册并且在生活中上使用多年，也没做过任何违法的事情，现在求助领导留言板，怎么解封，手机号封停对生工作影响很大，急需求助,,,
文林秋苑保障性住房,待回复,城建 投诉,W***,2019-11-0808:02,1、文林秋苑公租房廉租房是由于产权不清楚还是什么原因（相关部门没有给出具体原因，也没有处理），相当一部分住户已经在接到购买通知信息后及时递交相关资料，但是半年过去了，什么信息都没有接到。2、在长期好无音讯情况下，打电话问相关部门，回复是:我们也不知道。,,,
手机无故停机,待回复,治安 求助,五***,2019-11-0608:27,我是浙江人，10月28号我在南伞出差，手机1370****018无故被停机，在停机前未收到任何提示，本人只有在11月1号赶回浙江，在打浙江移动才知道我的号码被临沧警方，停机这2天也拨打了移动提供的，069196110，087996110，88396110，但是一直处于无法接通，和无人接听，我的手机号码是实名注册并且在业务上使用多年，也没做过任何违法的事情。并需要得到临沧警方的开通确认才能给我开通。望领导万忙之中帮助我的问题得到解决,,,
0883-96110为什么一直打不通,待回复,治安 求助,z***,2019-11-0514:47,手机号码无故被云南临沧反诈骗中心停机，联系营业厅说是被停机，给了一个反诈骗中心的电话号码  0883-96110，打了两天一直占线，也联系不到任何部门，诉说无门。该号码绑定了微信，支付宝，银行卡等APP，因为手机停机使用很麻烦。本人号码用了九年，没发过垃圾短信和骚扰电话，到沧源的几天游玩期间朋友打不通电话后微信联系才被告知被停机了，烦请杨书记费心帮忙联系有关部门告诉我解除封禁的流程 手续！ 如有打扰 实属无奈！万望理解！,,,
云南亲戚家玩了几天手机号被封了，希望您可以解,待回复,政务 求助,z***,2019-11-0409:03,中间亲戚朋友跟我联系不上手机欠费跟我充话费4.500了，希望领导可以处理，谢谢,,,
手机号被停用,已办理,治安 求助,长***,2019-11-0409:03,杨书记您好！我是一名由重庆来耿马县孟定镇进行农业种植的投资者，应边合区要求，我在2019年11月1日带领两名新招收的缅甸籍员工前往清水河口岸办理体检，后既被临沧市公安局封停了手机号码，经电信客服告知要拨打临沧市公安局电话088396110进行身份验证才能开通，但是我拨打数十次，此电话一直无法接通，由于手机号码被封停给我的工作带来极大影响，恳请领导核实，及时解决，恢复号码使用，谢谢。,临沧市委办公室,杨书记您好！我是一名由重庆来耿马县孟定镇进行农业种植的投资者，应边合区要求，我在2019年11月1日带领两名新招收的缅甸籍员工前往清水河口岸办理体检，后既被临沧市公安局封停了手机号码，经电信客服告知要拨打临沧市公安局电话088396110进行身份验证才能开通，但是我拨打数十次，此电话一直无法接通，由于手机号码被封停给我的工作带来极大影响，恳请领导核实，及时解决，恢复号码使用，谢谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
无故封手机号码，求助！,待回复,治安 求助,于***,2019-11-0408:04,手机号码无故被云南反诈骗中心停机，起初以为卡坏了，联系营业厅说是被停机，给了一个反诈骗中心的电话号码 96110，打了两天一直占线，也联系不到任何部门，诉说无门。该号码绑定了微信，支付宝，银行卡，因为手机停机使用很麻烦。本人号码用了十年，没发过垃圾短信和骚扰电话，烦请书记费心帮忙联系公安机关 告诉我解除封禁的流程 手续！ 如有打扰 实属无奈！万望理解！,,,
手机号码无故被云南反诈骗中心停机,已办理,治安 求助,己***,2019-11-0408:04,手机号码无故被云南反诈骗中心停机，起初以为卡坏了，联系营业厅说是被停机，给了一个反诈骗中心的电话号码  088396110，打了两天一直占线，也联系不到任何部门，诉说无门。该号码绑定了微信，支付宝，银行卡，因为手机停机使用很麻烦。本人号码用了6年，没发过垃圾短信和骚扰电话，到云南的第二天就被停机了，烦请杨书记费心帮忙联系公安机关 告诉我解除封禁的流程 手续！ 如有打扰 实属无奈！万望理解！,临沧市委办公室,手机号码无故被云南反诈骗中心停机，起初以为卡坏了，联系营业厅说是被停机，给了一个反诈骗中心的电话号码  088396110，打了两天一直占线，也联系不到任何部门，诉说无门。该号码绑定了微信，支付宝，银行卡，因为手机停机使用很麻烦。本人号码用了6年，没发过垃圾短信和骚扰电话，到云南的第二天就被停机了，烦请杨书记费心帮忙联系公安机关 告诉我解除封禁的流程 手续！ 如有打扰 实属无奈！万望理解！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号解封后又被封停,已办理,治安 求助,I***,2019-10-3116:09,本人在临沧市镇康县南伞镇参与建设镇清高速南伞段，在8月中下旬手机号码被云南省反诈中心封停，于9月中旬解封，本人期间去临沧市公安局提交自证材料跟单位证明，但今天10月30日 本人名下所有手机号又被封停，可能跟工作原因每天的电话比较多，经多方联系要回老家的营业厅去解封，由于工作原因，不能回老家，手机封停已经影响到了我的正常工作，看有什么办法可以开通，望领导重视。谢谢。,临沧市委办公室,本人在临沧市镇康县南伞镇参与建设镇清高速南伞段，在8月中下旬手机号码被云南省反诈中心封停，于9月中旬解封，本人期间去临沧市公安局提交自证材料跟单位证明，但今天10月30日 本人名下所有手机号又被封停，可能跟工作原因每天的电话比较多，经多方联系要回老家的营业厅去解封，由于工作原因，不能回老家，手机封停已经影响到了我的正常工作，看有什么办法可以开通，望领导重视。谢谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
杨书记您好,已办理,政务 咨询,张***,2019-10-3113:42,杨书记中午好，本人老公去云南临沧访问建材生意，手机号151712156xx不知道怎么被无缘无故封号了，手机号上绑定很多的生活琐事，望领导批准解封,临沧市委办公室,杨书记中午好，本人老公去云南临沧访问建材生意，手机号151712156xx不知道怎么被无缘无故封号了，手机号上绑定很多的生活琐事，望领导批准解封,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号码停机,已办理,治安 求助,王***,2019-10-3108:42,尊敬的领导您好！我十五去云南旅游，手机停机了，回到老家去营业厅问了说是让到083396110解冻才能用，可是电话打不通，怎么办，我还要在去云南一次吗？那么远,临沧市委办公室,尊敬的领导您好！我十五去云南旅游，手机停机了，回到老家去营业厅问了说是让到083396110解冻才能用，可是电话打不通，怎么办，我还要在去云南一次吗？那么远,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号封停,已办理,政务 求助,奋***,2019-10-2309:54,尊敬的领导，您好，本人是湖北人，现在广州花都新华街道如家公寓当管理员，10月13日公司派本人到沧源以及孟定去商谈名宿工作，后手机号被停封，拨打10086得知被临沧警方停封，多次拨打088396110无人接听，不得已在这里劳烦领导，手机号本人多年使用，很多工作业务是在湖北办理的，从来没有做过任何违法的事，望领导万忙之中帮助我的问题得到解决,临沧市委办公室,尊敬的领导，您好，本人是湖北人，现在广州花都新华街道如家公寓当管理员，10月13日公司派本人到沧源以及孟定去商谈名宿工作，后手机号被停封，拨打10086得知被临沧警方停封，多次拨打088396110无人接听，不得已在这里劳烦领导，手机号本人多年使用，很多工作业务是在湖北办理的，从来没有做过任何违法的事，望领导万忙之中帮助我的问题得到解决,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
号码无法正常使用,已办理,治安 求助,Y***,2019-10-2112:34,领导你好，本人10月19号孟定去清水河安装门窗，回到孟定手机号就无法正常使用了，请求领导查明，恢复手机号码的正常使用。,临沧市委办公室,领导你好，本人10月19号孟定去清水河安装门窗，回到孟定手机号就无法正常使用了，请求领导查明，恢复手机号码的正常使用。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
求助电话号解封,已办理,治安 求助,陈***,2019-10-2009:54,领导我成都人来临沧九年了、手机号是成都的。这几天临沧为啥要封外地号、我们来这边做生意、是要用手机联糸的。政府这样做也不提前通知、我是做正当生意的、又没做违法的事。打电话查询966110一直都没人接、也找不到处理的办法、也只能求助领导了。,临沧市委办公室,领导我成都人来临沧九年了、手机号是成都的。这几天临沧为啥要封外地号、我们来这边做生意、是要用手机联糸的。政府这样做也不提前通知、我是做正当生意的、又没做违法的事。打电话查询966110一直都没人接、也找不到处理的办法、也只能求助领导了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
请求帮助解决工资问题,待回复,就业 求助,L***,2019-10-1911:18,尊敬的杨书记：您好！我们是云县农业局下属事业单位财政差额拨款的工勤人员，分别于1991年、1994年、1995年、1996年、1999年2000年等参加工作，自参加工作以来，我们七个人一至在云县畜牧局（现农业农村局）从事动物防疫检疫、兽医实验室 、技术推广等工作，工龄均在19年以上。2015年和2016年云县人民政府以（云县政府批复〔2015〕335号和〔2016〕107号）文，批复云县农业局《关于将我局七名自收自支合制工人解决为财政差额拨款的事业单位普通职工的请示》，同意将工资待遇于2016年1月起参照事业单位在职在编财政供养人员标准变动，由县财政、县农业局按照各50%的比例按月支付工资(五险一金)。今天，我们要向领导请求的事项是：自2019年1月起，云县农业局停发了我们由单位核发的50%的工资，2019年 1月至 6 月我们只领到由县财政核发的50%工资。2019年7 月县财政又停发了另外那50%工资，2019年 7 月至今我们领不到一分钱的工资。为此我们多次向县委、县政府反应，请求督促县农业局、财政局按照（云县政府批复〔2015〕335号和〔2016〕107号）文件规定，按时足额发放我们的工资。现在我们只有请求市委、市政府帮助督促云县农业局、财政局严格执行（云县政府批复〔2015〕335号和〔2016〕107号）文件规定，按时足额发放我们的工资。我们都是普通的职工，平常的生活开支、子女的教育、老人的赡养等全靠工资收入，由于工资停发近一年，已经严重影响到我们生活。希望领导尽快给予解决为盼！,,,
手机号被反诈中心停机,已办理,治安 求助,刘***,2019-10-1815:17,"本人通过网络实名办理的外地手机号,才开机几天就被联通公司停机,据运营商的回复,是公安部通知的,有一个号码更是只打过一个电话。",临沧市委办公室,"本人通过网络实名办理的外地手机号,才开机几天就被联通公司停机,据运营商的回复,是公安部通知的,有一个号码更是只打过一个电话。","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号被封，求领导帮忙解封。,已办理,治安 求助,奇***,2019-10-1714:32,领导你好，我是成都人，最近这几天在耿马这边，我跟我老婆的手机号被莫名的停机了。查询是反诈骗中心给停机的。接打不出去电话。找不到解决的方法了，影响了我们的生活跟工作。反诈骗中心的电话也打不通，一直占线。希望领导能帮忙解决一下为谢。,临沧市委办公室,领导你好，我是成都人，最近这几天在耿马这边，我跟我老婆的手机号被莫名的停机了。查询是反诈骗中心给停机的。接打不出去电话。找不到解决的方法了，影响了我们的生活跟工作。反诈骗中心的电话也打不通，一直占线。希望领导能帮忙解决一下为谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号码无故被停,待回复,治安 投诉,j***,2019-10-1618:46,尊敬的领导，您好！本人于2019年9月6日从四川抵达云南旅游。途径临沧，于15日旅游结束返回四川，10月7日的时候突然手机无法拨出，短信提示涉嫌诈骗，被临沧反诈骗封停，询问客服需致电088396110解封，但多次致电均无人接听，也无人反馈，给生活带来了极大的困扰，本人手机173xxxx1380，希望领导能帮忙解决手机号码解封事宜。,,,
手机在临沧被无故停机,已办理,治安 投诉,听***,2019-10-1616:56,本人2019年10月14日到临沧市清水河口岸出差时手机号码133063367**、156151369**被无故停机，造成工作生活受到严重影响，本人拨打客服电话告知我是因为手机使用频繁涉嫌营销诈骗被暂停服务。实际本人进入临沧后并未频繁使用手机拨打电话。且上述两号码是本人于2010年和2016年分别实名办理，在使用期间并未从事电话营销、诈骗及其它违法行为。手机的无法使用已严重影响本人的正常工作和生活。,临沧市委办公室,本人2019年10月14日到临沧市清水河口岸出差时手机号码133063367**、156151369**被无故停机，造成工作生活受到严重影响，本人拨打客服电话告知我是因为手机使用频繁涉嫌营销诈骗被暂停服务。实际本人进入临沧后并未频繁使用手机拨打电话。且上述两号码是本人于2010年和2016年分别实名办理，在使用期间并未从事电话营销、诈骗及其它违法行为。手机的无法使用已严重影响本人的正常工作和生活。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于玉龙花园小区地面停车收费问题,已办理,城建 求助,W***,2019-10-1209:15,尊敬的政府领导：你好，近日玉龙花园因停车收费产生纠纷，我写这封信是想反应实际问题，望领导听取我的诉求，我作为一名业主实在交不起高额的停车费，房子首付是借得父母的积蓄，每月还贷款，车子是5万来块的代步车刷的是信用卡，买车主要是因为有娃出行不便，出租车起步10元打不起，现在每月车子油费200元左右而小区停车要215元负担不起，小区需要规范管理，但是价格过高，其他小区每年费用不过上百，而玉龙花园却每月就二百多，实在接受不了。说到车子我很好奇，一进小区各种宝马奥迪等好车不少，经常有种错觉我是不是住到豪宅了，是否是有领导也有这样的错觉才这样定的价格。我有二十来万的话，我会其他小区购房就不用来占用国家政府资源。坐公交车会听见别人闲聊说不回玉龙花园要回XX小区，听多了会想是不是哪出了问题，我身边好多达到标准的朋友，挤破头都没有报到房子，而有的人却有好几套房，小区里也有不少公务员事业单位住户，他们的收入不应该是超标了么，是怎么就和我们一样住到保障房里的，我很是费解。来临沧扎根好多年，一步步打拼过来，在国家政府的帮助下有了自己安身立命的小家，我非常感谢，我希望小区越来越好，临沧越来越富强，我的生活质量也有所提高，但担子也越来越重，上面有四个老人下面有两个孩子，老人越来越老，小孩慢慢长大各种开销也随之增多。但是我在努力，也希望领导能看到我这类人群的困难，开车出门都是找不收费、不妨碍交通、不妨碍他人的地方停车，确实找不到停收费车位，也都是掐着点赶，交钱了都会觉得心疼，省下来可以给孩子买包奶了。你想和我一样的人也大有人在，虽然我们只是极小部分，现在累了一天好不容易下班回家，还要绕一大圈找个不妨碍交通不妨碍他人的免费停车位，然后再牵着孩子饶一大圈走路回家。交费不是不可以，我只是希望合理，2019年业主地面停车的费用不应该是妹月每车70元么，为什么我们小区业主却要按外来社会车辆按时收费，这个全国不是统一的，有地域差异？我也想小区越来越好，过道里的灯不是那么昏暗，我也希望家门口整洁干净没有那么多小广告，每天开门收垃圾擦胶水，相关部门是否可以根据上面的电话地址对有关人员进行处罚管理，我也希望房顶不再渗水落强灰，我也希望小孩下楼可以放手，可一楼过道开商铺是否存在安全隐患。我知道政府的初衷都是为人民着想的，如有言辞不当位谅解，希望各位领导看见听见我的诉求。我也在努力奋斗，为自己也为临沧的繁荣发展出一份微小的力量。,临沧市委办公室,尊敬的政府领导：你好，近日玉龙花园因停车收费产生纠纷，我写这封信是想反应实际问题，望领导听取我的诉求，我作为一名业主实在交不起高额的停车费，房子首付是借得父母的积蓄，每月还贷款，车子是5万来块的代步车刷的是信用卡，买车主要是因为有娃出行不便，出租车起步10元打不起，现在每月车子油费200元左右而小区停车要215元负担不起，小区需要规范管理，但是价格过高，其他小区每年费用不过上百，而玉龙花园却每月就二百多，实在接受不了。说到车子我很好奇，一进小区各种宝马奥迪等好车不少，经常有种错觉我是不是住到豪宅了，是否是有领导也有这样的错觉才这样定的价格。我有二十来万的话，我会其他小区购房就不用来占用国家政府资源。坐公交车会听见别人闲聊说不回玉龙花园要回XX小区，听多了会想是不是哪出了问题，我身边好多达到标准的朋友，挤破头都没有报到房子，而有的人却有好几套房，小区里也有不少公务员事业单位住户，他们的收入不应该是超标了么，是怎么就和我们一样住到保障房里的，我很是费解。来临沧扎根好多年，一步步打拼过来，在国家政府的帮助下有了自己安身立命的小家，我非常感谢，我希望小区越来越好，临沧越来越富强，我的生活质量也有所提高，但担子也越来越重，上面有四个老人下面有两个孩子，老人越来越老，小孩慢慢长大各种开销也随之增多。但是我在努力，也希望领导能看到我这类人群的困难，开车出门都是找不收费、不妨碍交通、不妨碍他人的地方停车，确实找不到停收费车位，也都是掐着点赶，交钱了都会觉得心疼，省下来可以给孩子买包奶了。你想和我一样的人也大有人在，虽然我们只是极小部分，现在累了一天好不容易下班回家，还要绕一大圈找个不妨碍交通不妨碍他人的免费停车位，然后再牵着孩子饶一大圈走路回家。交费不是不可以，我只是希望合理，2019年业主地面停车的费用不应该是妹月每车70元么，为什么我们小区业主却要按外来社会车辆按时收费，这个全国不是统一的，有地域差异？我也想小区越来越好，过道里的灯不是那么昏暗，我也希望家门口整洁干净没有那么多小广告，每天开门收垃圾擦胶水，相关部门是否可以根据上面的电话地址对有关人员进行处罚管理，我也希望房顶不再渗水落强灰，我也希望小孩下楼可以放手，可一楼过道开商铺是否存在安全隐患。我知道政府的初衷都是为人民着想的，如有言辞不当位谅解，希望各位领导看见听见我的诉求。我也在努力奋斗，为自己也为临沧的繁荣发展出一份微小的力量。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临翔区西门公园广场舞噪音极度扰民、聚众赌博,已办理,环保 投诉,S***,2019-10-1015:09,尊敬的领导：您好！抱歉对你造成的打扰！日益以来的痛苦不得不让我寻求您的帮助。临沧市临翔区西门公园靠近锦绣花园一期的一面，广场舞噪音极度扰民，他们分为好几拨人从早到晚音响不停（早上偶尔吵一下能忍就忍了，中午不到一点半他们就来了，晚上到八点半才结束。家里就像放了一个喇叭一样，午休根本没希望）。对周围的居民造成严重的影响。经举报后仍没有任何改变，去找他们协商，居然理直气壮地说本来就是给他们跳舞的地方。还说要举报就尽管去举报这样的话来。其中不少懂文化的人，居然也能说出这样的话。不仅如此，此处的人每天都来聚众赌博，更是直接在幼儿园门口赌博。严重影响市区文明建设。本来西门公园这个地方为了老人们的休闲娱乐着想，结果却造成了对周围居民严重的影响，更是成为了那些人蛮横的借口。我们想着通过更好的方法去解决，（我们举报几次没有任何用）。奈何他们一点都不肯退让，只要他们声音小一点会怎样呢？大家相互理解不行吗？正常人谁又能受得了从早到晚的噪音干扰？整个小区的人好像都麻木了一样或是出于其他什么原因没有去协商。只能感叹个人的力量真的太渺小了。我这里有他们聚众赌博的照片以及视频资料。由于上传的附件有限，仅选几张代表性的照片上传。视频资料更丰富。诚恳的希望您能看到我这条留言。再次抱歉对您的打扰！,临沧市委办公室,尊敬的领导：您好！抱歉对你造成的打扰！日益以来的痛苦不得不让我寻求您的帮助。临沧市临翔区西门公园靠近锦绣花园一期的一面，广场舞噪音极度扰民，他们分为好几拨人从早到晚音响不停（早上偶尔吵一下能忍就忍了，中午不到一点半他们就来了，晚上到八点半才结束。家里就像放了一个喇叭一样，午休根本没希望）。对周围的居民造成严重的影响。经举报后仍没有任何改变，去找他们协商，居然理直气壮地说本来就是给他们跳舞的地方。还说要举报就尽管去举报这样的话来。其中不少懂文化的人，居然也能说出这样的话。不仅如此，此处的人每天都来聚众赌博，更是直接在幼儿园门口赌博。严重影响市区文明建设。本来西门公园这个地方为了老人们的休闲娱乐着想，结果却造成了对周围居民严重的影响，更是成为了那些人蛮横的借口。我们想着通过更好的方法去解决，（我们举报几次没有任何用）。奈何他们一点都不肯退让，只要他们声音小一点会怎样呢？大家相互理解不行吗？正常人谁又能受得了从早到晚的噪音干扰？整个小区的人好像都麻木了一样或是出于其他什么原因没有去协商。只能感叹个人的力量真的太渺小了。我这里有他们聚众赌博的照片以及视频资料。由于上传的附件有限，仅选几张代表性的照片上传。视频资料更丰富。诚恳的希望您能看到我这条留言。再次抱歉对您的打扰！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
交通不便,已办理,交通 建言,澜***,2019-10-0723:59,高铁是比较快速的出行工具，速度快，时间段，目前动车已经有大理祥云站，是距离临沧最近的动车站。但是从临沧凤庆到祥云的车只有过路车，没有直接到达的车次，过路车在到达后还要搭乘别的车辆前往动车站乘坐高铁，更换车辆频繁。从祥云到凤庆的车次较少，下了动车不知道在哪里乘车返回凤庆。建议：围绕动车站打造多条快速线，能从临沧各县直达动车站，从高铁站直达各县，缩短出行时间。,临沧市委办公室,高铁是比较快速的出行工具，速度快，时间段，目前动车已经有大理祥云站，是距离临沧最近的动车站。但是从临沧凤庆到祥云的车只有过路车，没有直接到达的车次，过路车在到达后还要搭乘别的车辆前往动车站乘坐高铁，更换车辆频繁。从祥云到凤庆的车次较少，下了动车不知道在哪里乘车返回凤庆。建议：围绕动车站打造多条快速线，能从临沧各县直达动车站，从高铁站直达各县，缩短出行时间。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
手机号被单项封停,待回复,文娱 求助,Z***,2019-10-0908:54,尊敬领导，您好！本人于今年来云南临沧做生意，一直用的老家号码，在2019年10月4日被云南临沧反诈骗单项封停。电话拨打不出去，只能接电话。前去移动营业厅告知有电信诈骗嫌疑，被临沧反诈骗封停。    很是莫名奇妙，需要致电088396110 解封，但多次致电均无人接听，也无人反馈，给生活带来很大困扰，本人手机180XXXX5324。希望帮忙解决手机号码解封事宜，本人在云南做点小生意，拨打的电话次数多。希望可以解决这个问题,,,
临沧市临翔区保障性住房不合理收缴车位费用,已办理,城建 投诉,李***,2019-10-0817:23,您好！我是玉龙花园小区住户，玉龙花园是临沧市临翔区保障性住房之一，属于国家针对地方部分贫困民众的扶贫项目，意味着居住在这里的都是贫困人士，弱势群体。现在居然出现一些被消费性软绑架。恶意钻国家政府空当，对这群弱势群体进行恶意收费！！！现玉龙花园保障性住房，均要有自用车住户缴纳地下停车费，每辆200元/每月，外加15元/每月管理费，每年合计每辆车2580元人民币;地面车位费2元/小时。目前许多住户房租费每年不超过3000元，仅一辆车就要收费2580元。试问这地方是国家给弱势群体盖的住所，还是盖收费停车场？临沧大部分高档住宅小区停车费每年紧几百块，保障性住房却高达2580元？玉龙花园上千住户，物管每月可收取费用高达上百万，请问这笔钱到底落入谁的腰包？,临沧市委办公室,您好！我是玉龙花园小区住户，玉龙花园是临沧市临翔区保障性住房之一，属于国家针对地方部分贫困民众的扶贫项目，意味着居住在这里的都是贫困人士，弱势群体。现在居然出现一些被消费性软绑架。恶意钻国家政府空当，对这群弱势群体进行恶意收费！！！现玉龙花园保障性住房，均要有自用车住户缴纳地下停车费，每辆200元/每月，外加15元/每月管理费，每年合计每辆车2580元人民币;地面车位费2元/小时。目前许多住户房租费每年不超过3000元，仅一辆车就要收费2580元。试问这地方是国家给弱势群体盖的住所，还是盖收费停车场？临沧大部分高档住宅小区停车费每年紧几百块，保障性住房却高达2580元？玉龙花园上千住户，物管每月可收取费用高达上百万，请问这笔钱到底落入谁的腰包？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
