标题,状态,领域,用户名,时间,内容
求助尊敬的书记 家有年迈老人遭遇强迫性购玉,武夷山市文体旅局、武夷山市市场监督管理局,旅游 投诉,吕***,2019-03-2911:00,尊敬的书记您好 我是浙江金华永康市一位年迈老人的子女  家里老人在子女不知情的情况下 在3月24和村里一群老人报了旅游团去福建武夷山游玩 与3月27号下午到家 老人回来说游玩过程中被导游带到一个玉店 遭遇富二代式欺诈式买玉 老人说进店以后就把她们带入一个小房间 进行了时间很久洗脑性购玉 失去人身自由 去卫生间都有人跟着 后来买了玉器他们才罢休  因为回来以后别人就说她被骗了 一万多买了只值几百的玉石回来 现在老人从回来以后精神状态一直很不好 如果可以的话 希望尊敬的书记在百忙之中可以帮帮我们 我们要求退货退款 
学校与居民安全该由谁来管,武夷山市兴田镇人民政府,三农 咨询,笑***,2019-03-2509:28,在汀浒小学门口有一家卖液化气的，周边还住着很多居民，存在很多的安全隐患，兴田派出所说此情况不属于他们管，请问书记这种情况该谁来管。
武夷山旅游消费被坑，旅客消费直接翻两倍,武夷山市市场监督管理局,旅游 投诉,W***,2019-02-1614:36,2月14日在紫阳古城北街3碗面，收费70元，一碗拌面10一碗牛肉面30一碗羊肉面30，量小，后问本地人，他们一碗牛肉才15元，投诉无果，请当地领导给我们广大旅客一个解释，这个问题不是存在一家，这是普遍问题几乎都这样
农田变茶山,武夷山市自然资源局,三农 咨询,笑***,2019-01-2210:02,书记您好，我是一农民，受18年干旱影响，今年有部份农户把农田改成茶山，种上了茶，这样做可以吗？
住房太危险,武夷山市崇安街道办事处,城建 求助,东***,2018-12-1414:40,我们住的北门街62号宿舍，已经40多年十分危险，领导能不能来看一看。
武夷山购物被骗,武夷山市旅游发展委员会,旅游 投诉,W***,2018-09-1208:22,去武夷山旅游，被导游带去一家“金玉良缘”洗脑购物，假货，回家后想退货，商家让找旅行社，旅行社不处理。请领导帮忙解决
关于街边烧烤店随意排放油烟，影响居民正常生活,夷山市度假区管理委员会,环保 投诉,R***,2018-08-2616:46,您好，感谢您在百忙之中抽出时间浏览此封投诉信。我是武夷山市三姑度假区山前街11号（老街）的居民。自今年起，家对面就开了一家烧烤店，该烧烤店开在一楼，这条街路楼上都是居民，烧烤店的营业时间为晚上至凌晨4点左右，多以炭烤为主，每晚的油烟排放量十分大，导致了周边的居民无法正常生活。我也是受害者之一，多次与其店主沟通无果，拨打12345以及05995134110投诉，也是了无音讯。每天大量的致癌物质烧烤油烟的排放导致大家无法正常生活，甚至连窗户都开不了。希望您能看到此份投诉，恳请相关人士管理协调，万分感谢！！！
垃圾桶乱摆放,武夷山国家旅游度假区管理委员会,环保 投诉,S***,2018-08-0109:54,原本这些垃圾桶不是摆放在这条小路上，现在摆放在人家店旁边，每天气味熏天，垃圾水满地流。给周边的环境造成严重污染。希望有关部门能把这些垃圾桶找个合适的位置给予放置
垃圾桶乱摆放，造成环境污染,武夷山市国家旅游度假区管理委员会,环保 投诉,S***,2018-08-0109:28,三姑度假区天游峰路晨曦幼儿园门口，原本这些垃圾桶不是摆放在这条小路上，现在摆放在人家店旁边，每天气味熏天，垃圾水满地流。给周边的环境造成严重污染。希望有关部门能把这些垃圾桶找个合适的位置给予放置
艰辛申诉，违建无人管理，血泪投诉无门,武夷山国家旅游度假区管理委员会,城建 投诉,被***,2018-07-2709:37,在这里先自我介绍下：本人是福建省武夷山市三姑度假区九曲溪路（武夷山三木自驾游营地）武夷官邸C地块潇湘居2-3幢业主。本小区所属管理物业：福建三木物业有限公司武夷山分公司（简称“武夷山三木物业”）；事由：本人现所居住被105室在未通知情况下，违章搭建招牌、非法占用，侵占合法权益，影响到本人正常居住。多次与之协商下移招牌不要占用他人位置无果，对方先以招牌已经盖上去不好拆（没办法拆），本人已明确让其下移招牌，遭到对方否决并还要求本人赔付广告招牌制作等费用的无理蛮横的要求。6月20日物业说来测量占用高度，已经确认35cm，我们已经让楼下业主下移30cm，我们认倒霉，可迄今为止至2018年7月26日，一直以各种借口推脱，我们是普通百姓没有权势，希望有关部门落实处理，并落到实处，而不是一直敷衍了事。此事未完侧面墙又被占用，本人有物业部门通话录音，因为对方有关系，跟经理城管那边都有人，所以我们辛苦买来的房子，被无理侵占只能不了了之吗？本人打工又要处理找这个相关部门已经不能正常工作。     这个小区就本人房子这样被侵占，只因为我做为一个平民百姓就要哑巴吃黄连，有苦不能申诉，我希望有关部门能给于处理。本人也写过3封市长信箱但是结果让人失望。本人是一个无权无势者，怕别人打击报复，希望有关不能保密并给于处理，所有相关录音照片及短信本人都有，有关部门需要核查本人能提供。希望能得到及时处理，这个事情已经将近快3个月有关部门都是推脱与不了了之，希望您能听到我们的声音给于公平公正的处理。
楼下商户油烟冲刺整个楼道,武夷山国家旅游度假区管理委员会,环保 求助,l***,2018-07-2608:31,我是住三姑建行蚝伯音乐餐吧楼上的住户，自从蚝伯开业以来，整个楼道都是他家的油烟味，窗户一开全跑房间，不开又憋的慌，多次投诉未得到解决。从图片可以明显看到他家的厨房根本有很大空隙，一部分油烟随烟冲上天，一部分全跑进楼道以及楼上住户家中，打过5134110投诉电话，也在南平12345上进行投诉，无用。
养老院,武夷山市民政局,其他 求助,夷***,2018-03-2909:53,我母亲在养老院被他人伤害，致其骨折致残！院方负责人称所缴费用较少（每月1600），无法安排更多的工作人员参加管理，不存在负有管理缺失的责任！我想问一下：武夷山市的养老院（福利院）到底是什么性质的？是以赢利为目的还是以服务民生为终旨！
这是关于我们国家的形象问题,武夷山市住房保障和城乡规划建设局,政务 投诉,用***,2018-01-0116:39,你好！我想反馈意见特别重要的，一条信息希望市领导能引起注意。武夷大道两旁的路灯上挂有国旗。国旗的摆放以及国旗的样式都不正确。希望市领导引起重视
望市委书记可以认真的看一看，更望依法办事，,武夷山市交通运输局,旅游 投诉,一***,2017-09-2217:46,"尊敬的市委书记，你好，我是一个普通出租车司机，今天给您写这封信可以说是不得己而为之，原因有己下几点，一，我国明确规定，网约车（滴滴)，必须要有丛网络业资格证，网络营运证，网络出租车驾驶证，车身价格拾万人民币以上，（不包含保险，购置税等）方可运营。为什么我市做为世界文明风景旅游名胜区。可以三证全无，满大街的陆到柒万网约车在运营，这是为什么？二，我市出租车现己按照我市要求全面实行打表计费，正规运营。为何得不到公平，合法权益的保护。是交通局真的没办法对违法网约车进行国家政策规范管理与处罚，还是我市无能，无法进行正常管理，或者放任他违法经营。不管？交通执法局成员,在出租车司机明确告知乘客叫黑车于黑车车号情况下，明确回答出租在司机，我只是打工。那么多车㧓不完。我就一个人。可我们几十人明确看到两个人。一个在跟人聊天。一个在抱怨。我们一百柒十几辆出租车，参百多名司机，希望可以得到合理合法的答复与合法权益得到正常维护，而是实际行动，我们期待可以看到实际答复，"
武夷山一中暑期违规集体补课、周末集体补课,武夷山市教育局,教育 投诉,n***,2017-08-1008:53,"1.武夷山一中暑期安排高三学生从2017年8月10日开学，与南平市教育局颁发的通知《南平市教育局关于颁发南平市2017-2018学年中小学校历的通知》中普通高中第一学期2017年9月1日（星期五）开学不符，提前开学按照福建省教育厅2015年颁发的通知《福建省教育厅关于进一步规范中小学校教学辅导等有关事项的通知》 闽教基〔2015〕32号，“对确需补课的，学校在坚持学生自愿和不收取任何费用的前提下 在暑期可安排不超过两周时间的答疑、辅导 除此之外的寒假、国家法定节日（含调休日，下同）和其他休息时间，学校均不得再以任何形式组织学生补课。\"" 而武夷山一中却在开学时执行正常上课的课程表，并不是自习、答疑或者辅导，是正常上课。与学校沟通时态度极其恶劣，毫无违规的意识，与武夷山市教育局反应时市教育局不作为。2.武夷山一中在所有高三年段班级上学期课程表中安排了周末1天的补课，按照福建省教育厅2015年颁发的通知《福建省教育厅关于进一步规范中小学校教学辅导等有关事项的通知》 闽教基〔2015〕32号,“针对高中毕业班教学计划偏紧、教学任务较重的实际情况，对确需补课的，学校在坚持学生自愿和不收取任何费用的前提下，高三毕业班可安排周六（上学期半天、下学期一天）进行答疑、辅导等形式的教学辅导” 在上学期仅允许在周六安排半天的补课，武夷山一中违反规定，教育局不管不作为。"
武夷山,武夷山市信访局,交通 求助,匿***,2017-02-1411:00,武夷山旅游客车去武夷山东站接送客人，建阳运输管理部门受利益关系，以跨区域运行，扣车，扣证罚款明目张胆的破坏大武夷之发展-，望领导以实际出发，还武夷山驾驶员一个公平，和谐的运输环境。
诉求,武夷山市公安局交通警察大队,交通 求助,一***,2017-02-0814:25,尊敬的市领导         领导你好，我叫黄金标，我是一名出租车司机，事件经过是这样的，我出租车与2017年01月04日晚，10点左右。在火车站红绿灯路口发生交通事故，当晚交警就把车扣到大队停车场，与2017年01月06日凌晨，车子起火烧了，丛车烧了起，至今已有一个多月了，在这一个多月里面。我找交警支队领导很多次，他们一直没有说如何处理。只说会给我一个处理方案，协商处理，但是过去了一个多月了，交警支队领导没有说怎么协商处理。我是一名出租车司机，我是以开出租车为生，家里有老有小。还有出租车的各种费用支付，我已承受不了，我没有出租车，就没有经济来源。我也没有跟交警支队领导提出无道理，无理由，任何的无理要求，希望尊敬的市领导可以帮我说句话，这事可以得到解决，我在这里万分感谢各位尊敬的市领导，谢谢，                                                                                                 诉求人  黄金标                                                                                                           2017.02.08
垃圾市立医院,武夷山市卫生和计划生育局,医疗 投诉,匿***,2016-12-2108:12,尊敬的书记您好：我要向您投诉市立医院人员，尤其是妇产科    里面每一个护士态度非常不好，跟欠她们钱似的  态度十分不好    之前去看病就忍了，到是今天实在忍无可忍了，事情经过是今天下午两点半左右带着老婆去妇产科检查，来到妇产科有些事情不懂  过去咨询妇产科服务台护士   中年妇女瘦瘦的   脸很黑    长斑，165cm左右，     结果不理我们   以及周围阿姨大姐们也在咨询    都不搭理，有一句没一句的，一直在玩着手机   我以为她在用手机给病人挂号呢，结果过了很久我走近点一看   原来在微信聊天，我就问可以挂号就诊吗？她说今天挂号满了    就一位医生坐诊    明天来吧，诺大一个市立医院妇产科就一位医生，我想请问下其余的都去哪里了？？？书记您是南平市委常委是我们市的一号，我想您看到我这会有何感想，我们年轻人无所谓，大不了去二院，但是您有想过农村来的老人家吗？来一趟市区不容易   市立医院一坐一等就是一天    还看不上，晚上又舍不得住高消费的旅馆，这么冷的天又吃不好，书记您现在又有何感想，这就是咋们的国有医院   这就是整天拿着国家的工资不给百姓服务的国家工作人员，书记   家丑不可外扬   所以没往上投诉即使往上投诉也是您这边来解决，希望下次去市立医院能有所变化   能看得到病。
桥，桥，桥！,武夷山市城市管理行政执法局,城建 建言,匿***,2016-09-1806:52,市长，你好，如果你有空，麻烦到市二中桥头走走，整个市区唯一的一座桥，居然管理成这样，让人心寒，如果你的小孩也在二中就读，你作如何感想！望回复
度假区卫生需提高,武夷山市国家旅游度假区管理委员会、武夷山市环境保护局,治安 咨询,匿***,2016-04-2315:07,市长你好、武夷山市度假区旅游局大楼后面卫生极差、小吃店油烟、度假区还在烧煤、全国卫生文明城市是怎么评来的。上级来检查卫生就大扫、不来检查没人看、我们希望武夷山卫生要上一台阶。
水电分不了户怎么办？,武夷山市信访局,城建 求助,匿***,2016-04-1108:41,尊敬的领导您好！                                                                我家是农村户口在建阳武夷新区买了一套私人建的拆迁房。只有小产权。一栋现有6户人家水电只有一个总表，房东卖完房子就不管我们了，隔壁邻居的都分了户的，我们这一栋一直分不了，因为都是其它乡下地方的人，没有关系，想分户却没有人帮我们开证明，也不知道找谁，怎么办呢？？
城建,武夷山市星村镇人民政府,城建 求助,匿***,2015-12-3110:18,武夷山市星村镇林山路两侧没有散步道和路灯，希望政府建设。
要求落实解决茶农茶叶加工动力用电的问题,国网福建武夷山市供电有限公司,三农 求助,匿***,2015-12-1515:18,尊敬的中共武夷山市委，市政府，党政领导:你们好！今天我以诚恳激动的心情，谨以心感何极的话言，直接特向上级市委，市府，党政领导致信“拜访”并取的联系，请求市委，市府，党政领导部门落实解决一项茶农茶叶加工用电的问题。       随着党的十八届五中全会精神和“国务院”李克强总理提倡的大众创业，万众创新的全面开展，加强三农扶持力度，扩大农村劳动力就业，到2030年全面实现小康水平的目标，结合本地实际情况的需要和要求，规划在本地投资创办一个茶叶加工厂，为暖解村民就业和当地茶农卖茶青难的问题竖下坚实的基础。       本位于闽北山区，林区，老区，茶区之地的武夷山市星村镇程墩村溪源自然村，全村现有42户总人214人，村民的生产，生活，全以茶为主体的经济体系，目前该村茶农卖茶青难的问题实有存在，严重影响村民就业和生产，生活上的问题，因此为了暖解这一问题，本决定在当地投资创办一个茶叶加工厂，可是存在资金短缺和用电供给不上，工期暖慢，严重影响2016年度春茶加工的需要，由于本厂在农忙春茶叶收获期设备动力用电需40到50仟瓦容量的用电，而目前只有5个仟瓦的动力用勉强超负荷小型加工设备使用，大型加工设备远远供电不了，所以在这样的情况之下本多次向市有关供电部门申请要求供电，可是相关部门以各种不正当借口为由和实际情况不符刁难用户，迟迟得不到落实解决，其实事很简单☞据用电位置到接触电源位置不到50米的距离线路，一根电扦就能解决的问题，为何这么难……？        为此本今特向上级市委，市府，党政领导部门申述，请求市委，市府，党政领导以祟高为民办实事的精神给予落实解决……为盼！                                          实为感激懂上！     申述人:武夷山市星村镇程墩村溪源自然熊义宝致                                                 2015年12月14日呈      (注明:因文字的限制不能一一说明☞其实地论证)
好心情,武夷山市公安局,治安 投诉,匿***,2015-08-2810:27,武夷山市五九北路200号三楼，好心情实为卖淫窝点，老板占着有后台，叫手下技师卖淫，打110电话。根本没人管，这样位于市中心地段怎么没人管，难道真的官官相互吗？
有毁市容,武夷山市公安局,治安 投诉,匿***,2015-08-2717:11,您好！我举报武夷山市，五九北路好心情三楼洗浴，实际是卖淫窝点，老板因为有黑恶势力，他自己经常杨言有关系，肯定的，要不这样位于市中心路边怎么没人管，
全村耕田被卖了,武夷山市兴田镇人民政府,三农 投诉,匿***,2015-05-0211:31,兴田镇兴田村几乎所有的耕田都被政府卖了，有的生产对钱都分完了（不知政府有没雁过拔毛）以后耕田全被水泥覆盖、我做为农民工很不理解、国家法律保护耕田！为什么几千亩的好耕田在也不能种植了，整个村人都没田地可种
关于西门头棚户区自来水的问题,武夷山市住房保障和城乡规划建设局,城建 投诉,匿***,2015-02-1310:25,西门头兴武路棚户区的水压一直很低，每到做饭高峰期流水可以用线装来形容，那一片想用洗衣机都十分困难，十年前就已询问政府什么时候能够解决居民的用水问题，当时的答复是并未规划到此地区，现在十年过去了，居民用水仍然是老大难，希望书记能够关心一下这边的居民，督促市政府尽早解决这个问题，谢谢。
关于高铁北站的土地征用赔偿,武夷山市国土资源局,城建 咨询,匿***,2014-12-3017:27,  对于北站建设的征地中水泥厂这一带片区划为征用地一事，征地赔偿的金额是怎样计算的。
修路,武夷山风景名胜区管理委员会,交通 咨询,匿***,2014-06-1814:59,高兴公路路况这么差为什么不修？一路上坑坑洼洼开车很容易出事故，麻烦你们看看
农村问题,星村镇人民政府,三农 求助,匿***,2013-12-2810:39,尊敬的市长 您好！我是星村镇黄村村的村民 我想向您咨询几个问题关于村里修路占用了我们农民农田，说好的有补贴的，但是一直拖欠了两年了都还没补下来，现在村里的干部也换了班子，更是没人来解决了，所以想咨询下应该怎么办。还有就是关于村里老干部的工资问题，有些老干部现在退休了，但是之前几十年的工资到现在也还是没有结算清楚。问村里干部怎么解决都说不知道或者说问问看。希望市里能帮助早些解决下，谢谢！
武夷山天游峰霸道无赖小贩夫妻,武夷山风景名胜区管理委员会,旅游 投诉,匿***,2013-12-2717:27,年中旬到贵市旅游，到达天游峰后，购物于一天游阁下小贩夫妻搞价，这是很平常不过的事情，谁知道那小贩夫妻居然仗着自己是本地人骂我们，还叫嚣我们怎么样！他想怎么骂我们就怎么骂我们！实在可恶至极，贵市是旅游城市！希望整治，不然真没人敢去了！怕挨打挨骂呀！
度假区内湖福隆岩路侧违章建筑,武夷山市城市管理行政执法局,城建 建言,山***,2013-09-2910:29,尊敬的市长           您好！      度假区内湖已在填埋整理中，看到政府为度假区的景观建设努力，为新的一个商业环境努力，为武夷山旅游兴市努力而感到振奋！然而在福隆岩路段（天宝酒店附近）却是违章建筑林立！将来肯定是该商业路段最为碍眼之处！最近在电视的新闻中看到我们市的行政执法力度很强!所以冒昧的柬言，是否以政府审批的建筑为准，拆除违法强建的建筑，恢复该有的绿地空间，以便使该商业环境成为度假区的经济繁荣增长点！                    此致、                            敬礼                                    2013年9月28日
