治安,待回复,文娱 投诉,冬***,2019-10-2519:51, 有偿陪待， 严重影响了我家庭和谐。请领导解决,,,
拆违,待回复,城建 投诉,W***,2018-09-0110:48,我是青村镇工农村三组的村民，原我家隔壁老房子大概就是175平方，现在现在翻建后差不多有500平方，这算不算违章建筑？为什么不拆？,,,
转学遇到困难,待回复,教育 求助,风***,2018-08-2917:38,尊敬的区长您好：我们是从外地来上海工作的普通的公民，今年有幸在奉浦街道购买了一套自住房，在美丽的奉贤安家，原本以为有了一个美好的开始，孩子以后也可以安心在上海读书，但目前在孩子的转学过程中遇到了困难，我们万般无奈下才求助于区长您，希望能得到您的帮忙。具体的情况如下：1.    奉贤区教委要求转学需要提供家长与孩子的上海居住证，目前我们的情况是家长的居住证是正常签证（已经4年多），但孩子以前在闵行区学校就读时是上海临时居住证，当时是当场就可以办结拿到的，因我们举家搬迁至奉贤给孩子办理居住证时才发现现在孩子已不再有临时居住证，而是换成了《居住登记凭证》，申领《上海居住证》需要半年以后。而我们无法提供孩子的《上海居住证》，只有《居住登记凭证》区教委拒绝办理转学。我们无法理解的是我们一直在上海合法居住，合法工作生活学习，为何因一张证就无法正常转学就近读书？《上海居住证》和《居住登记凭证》不都是我们在上海合法的居住证明吗？眼看就要开学了，我们心急如焚，如果无法转校，就意味着每天孩子在路上要花费近1-2个小时才能到达学校学习，孩子才10岁，还在上小学，我们正常拿到居住证还要等7个月，也就是在下个学期也无法转学。 恳请区长您根据实际情况帮助协调，有些规定是否可以更人性化，让我们从外地来到上海的公民也能感受到上海生活真正的公平与便利。,,,
公司拖欠出差费,待回复,企业 求助,x***,2018-08-0513:32,我本人于六月十六日入职上海滨道滤清器有限公司！于6月21日至7月4日去外地出差，出差回来后公司以我对工作的热情不高为由将我辞退！期间产生的出差费共计四千七百多元！辞退时经理说七月二十日左右发放报销款！但是至今未能发放，其余同事已全部发放！希望政府能关注我们广大工作者的合法权益！,,,
京东618期间，遭遇销售欺诈,待回复,企业 投诉,小***,2018-07-1908:53,"不是重复投诉，本人在京东618期间通过本人的京东账号及爱人的京东账号，分别抢到共计两张1999减1618的钟表卷，分别下了两个订单。订单号为76469494649及76462447131，现在都遇到商家说无货要求退单，这两家店是欧萨手表专营店及玖沪钟表专营店，两个商家要求退单理由一模一样，要求客户退货并补偿50元，不同意就按平台规则走。而且活动后两个商家的网页全部商品均已经下架，非常可疑。我觉得京东优惠卷的使用结果与商家的无货退货要求已经构成故意销售欺诈行为。行为本身就已经属于违约。根据《消保法》第五十五条“有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，金额为消费者购买商品的价款或者接受服务的费用的三倍。所以我于6月24日向京东所在地北京工商局举报，7月11日北京工商局给予举报回复如下：我局收到您对京东商城关于76469494649商品涉嫌违法的举报,经调查,上述商品销售主体为深圳市欧萨网络技术有限公司,2018年7月5日我分局决定不予立案并已依据《网络交易管理办法》第四十一条的规定将该举报情况移送深圳市市场和质量监督管理委员会南山局处理；订单编号为76462447131商品涉嫌违法的举报,经调查,上述商品销售主体为上海玖沪金属材料有限公司,2018年7月5日我分局决定不予立案并已依据《网络交易管理办法》第四十一条的规定将该举报情况移送上海市奉贤区市场监督管理局处理。现北京工商局由于将订单76462447131商品涉嫌违法的举报销售主体为上海玖沪金属材料有限公司，已经转到上海市奉贤区市场监督管理局处理，我想请区委书记关注这件事情，北京转过来的处理情况进展如何？在上海玖沪金属材料有限公司的订单的天梭手表都说无货，这也太巧了。在该商家的订单金额为1089元，使用优惠及返现，实付金额为296元。我于7月12日将这事向上海市市场和质量监督管理委员会进行了电话投诉021-12365，至今无结果.我在深圳的举报很快有了结果，对深圳的速度与效率给予赞扬，所以也请区委书记给予监督落实，给予立案侦查，给弱势群体一个公道。据我了解到的信息，京东这次事件涉及的商家统一口径都不发货，（除了自营及旗舰店外），影响上千的订单。其实是一个公共事件，请相关部门引起重视，我的诉求任选以下其一：1、商家按约定发货2、更换同价值商品发货3、退还我所支付商品全额（包括优惠卷部分）4、按照消保法第五十五条退还商品总价的三倍。此事虽小，信誉为大。请书记责成有关部门监督此事进展，给老百姓一个公正的结果。",,,
道路交通标识,待回复,交通 投诉,伶***,2018-06-1909:14,人行道的标识是告知行人通行的标志，奉贤海泉路和海湾路交接上人行标识却不是，标识都标过了绿化带。,,,
 文明卫生不只是环卫工人的事。,待回复,环保 建言,戈***,2018-04-2116:24, 要打造四团文明镇，环卫是很重要的一部分，但文明卫生不只是环卫工人的事。必须要加强四团人的环卫意识，文明卫生。     四团的环卫工作应该说是做的很好的。四团的环卫工人每天清晨就起来打扫、不辞辛苦一天打扫好几次、把四团打扫的干干净净的。但这不等于四团人的环卫意识强。    四团人有个怪理论----他们认为环卫工作是环卫工人的事与他们无关。他们在文化广场上、在街上，吃零嘴，吃完后的食品包装、瓜子壳、甘蕉渣就随手乱扔。在小区里、垃圾就从楼上往下扔，有垃圾桶他们也不往里面扔，就 随手扔在边上。更可恶的是环卫工人前面在打扫他们就在后面扔。根本就不尊重环卫工人的劳动。    我走过很多地方，从南京到北京；从乌鲁木齐到广州；从大地方到小地方、哪怕安顺那个乱糟糟的地方，商店门口的地方的卫生都必须是商店负责，都有三包规定，不达标要罚款的。可就四团没有，四团商店门前是卫生是由环卫工人来打扫。   有的商店门口垃圾乱扔，自己不清理，这还不说。许多商店门口居然还订上了一块贴牌什么《环卫文明示范户》。不知道是什么意思？这是在鼓励四团人的不文明行为吗？？。   另外还有一件怪事。我们四团镇的小区不像上海，是开发式的、也不收任何物业费。环卫工人也没有我们楼道大门的钥匙，却规定楼道要环卫工人打扫。这是在鼓励我们劳动人民贵族化吗？有一次有位环卫工人到楼道里打扫卫生居被一个楼主的狗咬了，那楼主居然说：环卫工人没有及时给他们打扫楼道。     上海的高楼每一幢都有一个保安、一个清洁工，物业费每月近200元。我们四团不能与他们相比。我们这里最高不过5层，也不是每个楼道都有一个保安。可是却规定楼道要环卫部门打扫，你们认为妥当吗？？   我不知道上海高楼住的什么人，但我知道我们四团小区里住的都是农民与工人，难道楼道不应该我们自己打扫吗？   我知道四团政府有钱，但钱不是万能的。四团政府可以雇佣大量的环卫工人把四团打扫的干干净净，但再多的钱也不会提高四团人的环保意识、提高四团人的文明意识。   我建议：1、马路街道两边的商店、住户要保证其门前的清洁卫生，环卫工人不于打扫，并有权对其不清洁卫生的情况进行罚款；       2，环卫工人有权对在马路街道乱扔垃圾的行为进行劝阻，必要时也可以对其进行罚款；       3、小区住房的楼道卫生由楼主（业主）自己负责。居委定期检查。好的进行表扬、不好的进行批评。,,,
奉贤区海港开发区红庄新苑产证何时能办下来？,待回复,城建 咨询,下***,2018-03-2520:59,想咨询奉贤红庄新苑产证何时可以完成办理，这个产证一直没有办理已经有4-5年了，给我们造成了很大的困扰，目前又因海港行政变动，导致无法确认办理时间，还请您过问协调确认具体办理时间，盼复。谢谢,,,
小区内私开棋牌室扰民,待回复,治安 求助,2***,2018-01-2315:15,位于南桥镇古华一区387号的102室，私自开了一家棋牌室，经常打牌到深夜，棋牌声、吵架声、拖动桌子椅子的声音，经常吵的无法入睡。110也来过几次，但是110走后又恢复老样子。12345电话也投诉过几次了，结果居委说会处理的，只是去上门说了一下，也没有得到效果。望有关部门尽快处理，还居民一片清净。,,,
物业费有没有账单？,待回复,其他 咨询,匿***,2017-12-1521:20,我是正阳二期的，我想问一下交物业费要凭什么物证？账单？是不是交了钱有张发票就算账单了。账单没有明细也没有，一口咬定发票就是账单，工作人员连发票跟账单都分不清，是不是要培训一下。没账单她们说多少钱就多少钱。出去吃饭开发票也要看账单明细哇，我花一大把钱交出去，没证据的。算啥名堂？,,,
小区环境谁来管,待回复,城建 投诉,匿***,2017-09-0516:14,"本人住南桥镇化工小区，小区里车位乱停乱放现象越来越严重，有时候急着有事出去，可后面的车停了好几辆，也找不到人，只能求助110，我观察一段时间造成这个的原因好几个，1，小区本来车位紧缺，2，物业只管收钱不管是不是本小区车，3，小区内所有的小车库都改成了出租房，而且住的外来人员中很大一部分都有汽车，这不是雪上加霜吗？4,小区棋牌来打牌的人车到处乱停乱放，晚上还嘲声不断每天到半夜严重影响小区居民生活。希望有关部门来管管",,,
咨询奉贤红庄新苑产权办理时间,待回复,城建 咨询,b***,2017-07-2516:54,您好区长，想咨询奉贤红庄新苑产证何时可以完成办理，这个产证一直没有办理已经有4-5年了，给我们造成了很大的困扰，目前又因海港行政变动，导致无法确认办理时间，还请您过问协调确认具体办理时间，盼复。谢谢,,,
家具厂施工噪音扰民,待回复,环保 投诉,匿***,2017-05-2813:37,您好，位于奉贤区洪庙镇川南奉公路协新路路口洪南村有一个家具厂日夜施工气泵声，电锯声，气枪声，让周围居民苦不堪言，上夜班的白天无法入睡，上白班的晚上回家都没个安静的环境，多方诉求无果，只好在次留言！,,,
海马路 海乐路没有路灯,待回复,城建 投诉,匿***,2017-05-1814:28,华源区长您好，我是海湾绿地香颂的业主，我们小区大门口的海马路和海乐路上至今没有路灯，晚上开车回家非常不方便，不知何时可以解决。,,,
海湾的交通啥时候可以改善,待回复,交通 建言,匿***,2017-05-1808:43,海湾旅游区居民和师生出行太困难了，没有直达任何地铁的快速公交线路，海沈线单程一个半小时到八号线终点站，莘海线单程两个小时多到莘庄，目前居住在这里的居民已有十五个小区居民和几万名高校学生，希望领导能够考虑一下这边的交通，就连坐个公交车都得走二十分钟，最起码整两条快速公交到地铁站啊,,,
区长，奉城老街房屋下水道改造有望吗？,待回复,城建 求助,匿***,2017-05-1709:14,我在奉城南街118弄住，以前是奉城老医院的房子，据说有五六十年的历史。这房子下水道年代久远，很容易堵塞漏水，不仅我们很烦垴，也给下面住房带来困扰。请问能对这些老房子的下水道进行改造吗？请装修师傅来看，他们说要动管子且生铁管买不到了，PPc管又连接不到生铁管上去，究竟怎么办？我该找哪个部门？,,,
希望领导考虑海湾的交通发展,待回复,交通 建言,匿***,2017-05-1616:16,海湾旅游区坐拥国家AAAA级旅游景区的碧海金沙，拥有一个大学城，还有渔人码头等景点，但有个硬伤就是交通实在不方便，旅游区内的学生和居民面临出行难的问题，感觉海湾就是个被政府遗忘的角落，多么希望领导开开眼，看看海湾的未来，解决海湾的交通大问题。地铁五号线到平庄公路，为什么没有通到大学城，那里可是有几万名学生啊，领导能说一下海湾的规划吗？,,,
海湾的交通,待回复,交通 咨询,匿***,2017-05-1613:50,海湾海景城交通实在是太差了，交通不方便给我们这些百姓带来的种种不便，说海湾是旅游地方就这样子放着不管，海景城到现在也有好几年的光景了，为什么交通设施迟迟跟不上，想知道什么时候才能一条从海湾到市区方便的交通,,,
奉贤发展,待回复,旅游 咨询,匿***,2017-05-1613:50,华区长：您好，我是奉贤区新迁入绿地香颂的居民，在迁入前我感觉这里和市区很远，但是迁入后发现其实交通已经有高速通往这里，有直达交通的话，到海湾基本上只需要50左右，我看了地图，沪金高架对于海湾交通压力确实比较大，我想问，现在是否有规划海湾到市区的高速通道，何时能结束，真心希望一个美好的大奉贤尽快呈现在大上海人的印象中，成为一个旅游度假学习休闲的区域，真的非常期待。,,,
政府服务意识太差。,待回复,交通 投诉,匿***,2017-03-1216:36,电并单上車牌，要早上五点排队。规定六十人左右，多不办。早上八点去了三次肖塘派出所办理都办不成。找领导一个都不接待。权力是用来务民呀！心服于理呀！别小事情影响政府形象呀！,,,
钱桥振水路83号噪音扰民,待回复,治安 求助,匿***,2017-02-2111:24,曾于本年度一月份反应过这问题，当地的解决方案破天荒的允许她们可以噪音扰民到八点，试想学生放学回家能有几个小时的学习时间，老人需要安静的休息氛围，上班族也需要良好的休息。,,,
街道乱收停车费，更无赖撒泼，破坏车辆。,待回复,交通 投诉,匿***,2017-02-0313:56,2017年2月3号，地址奉贤区南桥镇人民路。本人于当天下午三点多开车到人民路刚停下车，就一中年妇女跑过来索要停车费15元。当时就给她了，然后逛了会儿街。在大概四点半左右时准备离开。她看到我们要开车又跑了过来要求再收取16元停车费。当时我就不同意了。发票也没有收费标准也没有。你说多少就多少都已经给你了。到我离开了又来收费。不说你是否正常收费。光这样一而再的收费也太过分了吧。没说几句他就硬把我车子的电动窗硬压下去。导致到现在都关不上。更是拉着车门耍泼。无奈之下只能另付款16元。各位领导请问我们在发生这种问题的情况下，应该如何应对呢！她要我们就给么，虽然要的是不多。可是我们尽心尽力的工作赚钱，难道还要养着这群不知道是否正规的人么。打人违法骂人不道德，开车又开不了。真的只能让他们随意践踏么。大过年的出来逛街就是这样一个结果。不知道什么时候就出来这么一个习惯，只要去人多的地方就要收费了。路边几条线一天的收入都能赶上一个公民一个月的工资。就没人管管么。之前下班回家前顺道菜场停车位停下来买颗葱，几毛钱的事情。一天下来就过来十块钱。这种日子还能过么。难到回家停了车再出来？本来下班到家都五点了停车再出门菜场都关门了。这些问题真的让人觉得失望与不平。都是鸡毛蒜皮的事情可是让人心寒。不求改变什么只想诉说一下。,,,
上海市奉贤区金会镇辉展果蔬市场,待回复,就业 投诉,匿***,2017-01-0716:52,多家用工单位不给职工缴金请求领导过问一下，我们外地来沪农民工不敢说，,,,
西渡菜场违章搭建,待回复,城建 投诉,匿***,2016-12-1914:08,你好，华区长！我是西渡鸿宝一村49幢的居民。西渡老菜场周围到处都是违章搭建，为什么不拆除？49幢楼的，东面，西面，都被菜场霸占，原本路小，摊位一摆，走也不好走。环境也是脏乱差，违章搭棚，供摊贩营业，菜场占用公共走道，谋取利益，投诉多次，西渡街道也不管里。希望拆除违章搭建。,,,
农民工讨薪难,待回复,就业 求助,匿***,2016-12-0210:23,华区长你好，我是一小包工头。13年我在奉贤南桥馨雅名筑小区接了点景观上的活，工地按时完工，我带领几十名工人日夜幸苦劳作，到现在还一直拖欠着我们的血汗钱，工人每年都跑我家闹事，害我全家不得安宁，我现一个躲在外面打工，家中二老70多岁，小孩才九岁，有家都回不了。我们去讨过债，信访局，派出所都有记录。现在办公室也搬了只能电话联系，一直说没钱，又找不到人。讨要无果， 寻求帮助，致，礼,,,
食品安全，不容小觑,待回复,其他 投诉,匿***,2016-11-1514:03,华区长:您好！我是奉贤区南桥镇的一个居民。环城东路与八字桥路口的一个烤羊肉摊，每天下午当街屠宰活羊好几只，就此事我已向市民热线、食药监管局、城管等多个部门反映投诉，至今没有回复，不得已才向您反映此事。一不能私宰乱屠，应到国家规定的屠宰点，二是这活羊是否有检疫合格证明（没有检疫的肉类是不能流入大众餐桌的）三对面是一家幼儿园，每天这样血腥的场面您说对未成年人的身心是否有害。希望您在百忙之中能解决此问题，万分感谢！,,,
奉贤区奉城镇永民村觉民村正彪豆腐厂,待回复,环保 投诉,匿***,2016-10-1314:24,房屋隔壁有个正彪豆腐厂乱丢废弃物使得周围环境恶化而且丢弃的东西有恶臭，每天傍晚都会从工厂的烟囱中排出黑烟，不知是否是有毒气体是否污染空气，望领导们派人来调查，还我们一个干净的郊区居住环境,,,
一切为了孩子,待回复,教育 咨询,匿***,2016-08-3108:55,你好:我想问一下，泗县我已买房，我的小孩可以上小学了，为什么还叫我办临时居住证，我原本是泗县人民，这么一弄，反倒我是外地来泗县务工了，照这么下去，泗县怎么能发展好，房子在那买学生就得在那上学，这是国家规定，为什么到泗县就变样了?,,,
莘团线车次太少，上下班高峰挤不上车，建议增加,待回复,交通 建言,匿***,2016-08-2919:47,奉贤区莘团线1个小时发一班车，上下班高峰经常因为过于拥挤而无法上车，等待车的时间又很长，因为要过江，无其他交通工具可以替代。希望莘团线增加车次，上下班高峰每10-15分钟发一班车，以缓解拥挤状况。,,,
拖欠工资,待回复,其他 求助,a***,2016-08-2322:30,地方领导们好，我是个很普通的外地农民工，上次反应的上海红月食品拖欠工资一事还没有解决，马上小孩学校开学，半年房租，好多用钱的地方，因为困难时期我才找你们反应此事，我六月底离职，马上九月份了，我在职期间的五六月工资一拖再拖，其实从红月走出来的工人的工资都迟迟不能到位，我只是期中一个，可能我太困难了，情急之下才向你们领导反应此事，只希望地方领导们能抽出点时间，给我们农民工一点援助，让我们的权益得到应有的保障！！,,,
拖欠工资,待回复,其他 求助,a***,2016-08-1414:24,坐落于上海奉贤区光明a3工业区，红月食品厂拖欠工资严重，在职拖欠三个月工资左右，离职有的半年以上都给结清工资，我六月底离职，拖欠我五月六月份工资，到现在不给结清，找了副总和老板，都一拖再拖，希望政府能给予我们农民工一些援助，尽快处理此事，拿到我们的血汗钱？！！,,,
请还市民一个整洁的环境,待回复,城建 投诉,匿***,2016-08-0319:26,"尊敬的华区长你好,位于大叶公路望园路路口摊贩长期霸占非机动车道乱设摊，遇下班高峰时，加上非机动车逆行，此路段挤的水泄不通，不少非机动车只好驶入机动车道，形成交通安全隐患，本辖区城管知而不管。希望领导重视，谢谢。",,,
华源区长,待回复,城建 投诉,匿***,2016-06-2913:31,我家奉贤区柘林镇林新村房屋有时候后震动的连瓶子水都乱放，房子墙上裂痕有一米长了，希望能处理这个事情安全第一，,,,
扶栏村1组夜排档,待回复,其他 求助,匿***,2016-05-0414:46,奉贤区南渡村扶栏102号隔壁有一家夜排档，晚上要到3、4点，严重妨碍居民晚上睡觉，希望领导能重视一下，还居民一个安静的夜晚。谢谢！,,,
求助市长帮助解决孩子转学问题,待回复,教育 求助,匿***,2016-04-1408:07,尊敬的市长你好！我是奉贤区四团镇龙尖村255号村民，我是一个再婚家庭，老婆是安徽籍人，求助内容是：目前我们的孩子在闵行区昆阳路小学就读，孩子现在上五年级，但是我们家现住在奉贤区四团镇龙尖村255号，孩子每天早上五点起床，我们每天陪孩子一起起床送到五公里之外的四团加油站车站，乘坐莘团线到闵行剑川路换乘五号线到闵行开发区，到学校。放学回到家要六七点，孩子的成绩不断下降。我在今年开学的时候我们去奉贤区教育局申请报名转学，教育局的领导和办事人员都说不能转学，说到等到五年级升六年级的时候转学，在今年四月五号和六号这两天，我们去了两天，去教育局申请办理转学，办事人员说，要我们去四团镇镇教会办理转学申请，我到镇教会，镇教会领导说，这是区教育局办理转学的事，镇教会没有权利接收，我们下午就回到教育局，办事人员说：这是市教育局的事，但是我从市教育网上，看到了教育局发出转学相关规定：有特殊情况的孩子可以有区教育局特殊解决。我们的相关材料都能达到相关要求。望市长开恩！帮助我解决孩子的转学问题。感谢市长和各位领导！谢谢！,,,
屋里进水,待回复,其他 求助,匿***,2016-01-2815:08,区长你好：知道您很忙在这打扰了，我是住在柘林镇海岸景苑的居民2016年元月27号早上5点30分左右我起床发现水表外方管道断列造成大量自来水冲出从内管冲到我家，造成我家地板被水澿泡，我找到自来水公司和小区物业，双方都说是对方的错相互踢皮球，我真的很无助希望区长能关注一下！,,,
请帮助尽快恢复供水,待回复,其他 求助,匿***,2016-01-2713:39,我是奉贤南桥古华路618弄1号401室居民，由于寒潮，我小区水管冻裂，现家中无水可用，请区长关心一下，能尽快供水。谢谢！,,,
关于房产证事宜,待回复,其他 咨询,匿***,2016-01-1416:31,尊敬的市长您好!我是动迁户，房屋拆迁多年，期盼已久的新房终于在2013年分到手了，新房的位置是四团镇平安社区红庄新苑，想咨询一下，大产证和小产证何时能办下来。请您关系一下。谢谢!,,,
柘林镇目华新村和海畔新村车库改建后租出去住人,待回复,城建 投诉,匿***,2015-08-2010:34,区长您好：  柘林镇的目华新村和海畔新村的全部车库改建后租出去住人。为了增加车库的高度，把车库本来浇筑的水泥地敲了再往下挖，有的为了增加面积，还敲了承重墙，向下挖，其实也影响了大楼的根基。这样叫住在楼上的居民怎么安心。租出去的车库的人，又吵又闹，大小便随便在小区里乱拉，垃圾乱丢。车库是停车用的，不是住人的。希望区长您百忙中抽点时间关心下我们这里。还有我们小区门口马路上晚上6点多就开始乱设摊位，车都没法开，12319我是打了1个多月，还是照样。我看那些城管的工资是白拿了，希望区长管管。    谢谢,,,
卓越世纪中心保安收停车费不给发票,待回复,其他 投诉,匿***,2015-08-1809:17,区长您好：   卓越世纪中心进去，保安没有说明车进去要收费，出来就乱收钱，还没给发票，还骂人，还扬言要打人。进小区要收费是可以，进去的时候要说清楚，还有要收费，至少要吧收费标准的牌子挂在我们车主看见的地方，我是没看见那个牌子。像公共停车收费哪里的收费牌子就在马路边上很醒目。希望区长抽时间问问卓越世纪中心有没有那个收费资格，如果有，为什么手里钱不给发票？,,,
请求帮助，大恩不言谢,待回复,城建 求助,匿***,2015-08-1213:28,区长你好，我在奉贤区海湾路旅游开发区买了套房子叫嘉业海悦，（海马路2155弄）距离交房日期已经超过了几个月了，有其他业主甚至两年了还未交房，我们询问开发商一直推脱，没有给出正面答复，由于不能如期交房我们很多业主已经不得已的再次租房，甚至孩子上不了学，非常困苦，无门可求，请您看到我们的诉求，帮助我们尽快可以住进自己的房子。,,,
新农村建设,待回复,城建 咨询,匿***,2015-06-0510:05,庄区长您好！我是奉贤庄行新叶村的市民沈纪梅，我是离婚的，新叶村搞新农村建设，村里没给我安排我不知道自己有没有份额能不能造房子。,,,
违章建筑，影响农田排水,待回复,城建 感谢,匿***,2015-05-2913:43,上海奉贤柘林镇法华村705组的陆培荣违章建房，超面积的建房没有人管。现在又私自造围墙。把围墙打在农田的排水沟里。这样会影响农田的排水。希望有关领导来管管。不已经不指望村里有没有能力来解决。希望上面能派人。电话，18916573019、,,,
闵浦二桥维修,待回复,城建 投诉,匿***,2015-05-2910:06,连续一周都在早高峰时段维修，请问能否调整一下时段，避开早高峰。拥挤不说，今早已经看到有车辆并线发生刮蹭了。,,,
小区广场舞扰民,待回复,治安 投诉,匿***,2015-05-2716:38,钱桥镇广场处于居民小区内，由菜场改建而成。除了下雨，每天18点左右都会聚集不下80人，开启扩音器，跳广场舞，喧哗声不绝，与广场上那广告牌上建设美丽和谐城镇的标语形成鲜明的对比,,,
居民向派出所举报反映多次无果,待回复,其他 求助,匿***,2015-05-1514:28,庄区长您好，由于这个问题此前多位居民跟物业跟住户以及派出所反映多次都无果，所以不得不向你寻求帮助了。在金碧路1980弄金碧汇虹苑162号402室住户家养了一条大狗，大狗就养在走廊里面，严重影响居民生活，犬吠声音很大，臭气布满整个走廊和电梯，对于我们这些常住的居民来说很是烦恼。我们盼望的是执法人员能真正的解决问题，而不是养狗用户跟他们有关系他们就不当回事，以至于这个问题困扰了我们很久。我们也是百般无奈才打扰您的，真心希望您能抽出宝贵的时间帮一下我们，谢谢您了！,,,
居住证,待回复,治安 咨询,匿***,2015-04-2317:38,庄区长你好，在上海买房快10年了，以前办长期居住证都可以，现在就不能办了，,,,
居住证与房产税,待回复,其他 求助,匿***,2015-03-0309:03,外地人在上海买房，老婆在上海住的，没有工作，我在外地上班，可买来的房子还需要每年交房产税，办理居住证还要上海的社保单，办理居住证是必须提供社保吗？我看要求上是根据个人情况提供。,,,
居住证,待回复,三农 求助,匿***,2015-02-1315:46,肖塘拆迁为什么居住证不能刷了？外地人租房，拆迁还没有拆呢？好不容易办了居住证，有遇到拆迁不给刷？不为了小孩可以上校吗，外地人容易吗？为什么不能刷?搬家换地方吗？头痛呀,,,
百年老厂的扰民与居民区究竟该取缔哪一个？,待回复,环保 投诉,匿***,2014-11-1609:41,百年老牌鼎丰腐乳真好吃大家都喜欢吃！我也经常吃！可是生产厂区旁的居民楼里的居民却要在黑烟和噪音里过日子！,,,
