标题,状态,领域,用户名,时间,内容
药厂不能建造在居民小区附近,待回复,城建 投诉,m***,2019-11-2617:03,项目东北面建有距离500米的阳光城丽景湾和距离800米的保利艾庐两个居民区，小区周围正在建老年人日间照料中心和距离950米的幼儿园。项目附近还建有太平梧桐大型养老社区。交通医学院和眼科医院都要在附近建设。没有盼来商业却来医药。项目环评采用12年前的规划环评，没有对周围敏感社区公众参与。在M1地块上建设M2项目。目前有成百上千人反对该项目，投诉后没有回音，请领导体察民情，为民做主！
上海赛安拖欠工资,待回复,就业 咨询,j***,2019-11-2616:50,上海赛安医学检验所拖欠员工工资，长达半年，多次讨要无果，马上就要过年了，我们 都需要工资回家过年，今日特来求助 ，希望相关部门领导给予重视和帮助，让我们拿回应得工资，能回家过个安稳年。
嘉宝集团天价物业费和停车费，谁来监管？,待回复,城建 求助,W***,2019-11-2615:22,嘉宝集团旗下嘉宏房产开发的嘉宝梦之月小区位于嘉定陈家山路1399弄，11月底即将交房。开发商和物业定出了4.8元/平/月的物业费，600元/月停车费（嘉定的物业费市场水平在1.7-3.5之间，停车费都是300元/月）同为嘉宝物业公司管理，临近的嘉宝梦之湾是3元/月。我们聚在小区找开发商和物业，无人出面，警察来了，听了我们的诉求，让我们找房管局，房管局让找物价局，开始踢皮球。这不公平的价格谁来管！购买时，销售说预售合同上的物业费只是暂定了个价格，最后的实际价格和周边小区差不多的，而且是和梦之湾共用物业的，最后定价要去物价局审批的。我们信了，可交房在即，却告诉我们审批价格就是4.8。停车费600/月。 我们在小区门口聚集找开发商和物业讨说法，无人出面，110警察过来，听了我们的诉求，直言我们是嘉定最高，帮我们联系物业和开发商，依然无人出面。 我们打了12345热线，告诉我们价格放开，我们大多数业主都是各行业的高级知识分子，我们知道，所谓价格放开，只是不再统一定价，由市场来指导定价，但嘉宝物业给出的价格已经远远超出了市场价，并且小区只有路边的几个健身器材和一个小小的滑梯，如果这也能算高标准小区，那几乎要笑掉金茂府的大牙。没有任何高端配套，却开出了天价。如果这样的价格，物价局都可以审批，我想问，物价局是干什么的？ 开发商，物业不露面，110表示我们定价确实高了，让我们找房管局，房管局说有物价局，开始了踢皮球。 这个价格，我们绝不接受，我也相信，总有部门，总有领导会来管这件事。 问我为什么相信，甚至坚信，这件事一定能给我们公正的解决？今天我们去跟物业协商确无端被菊园片警带走我们业主，请求有关领导能替我们老百姓做主！
反对在大量居民聚集的地方建立药厂,待回复,城建 投诉,晴***,2019-11-2615:22,该药厂准备建在浦东康新公司路蓝靛路口项目东北面建有距离500米的阳光城丽景湾和距离800米的保利艾庐两个居民区，小区周围正在建老年人日间照料中心和距离950米的幼儿园。项目附近还建有太平梧桐大型养老社区。交通医学院和眼科医院都要在附近建设。没有盼来商业却来医药。项目环评采用12年前的规划环评，没有对周围敏感社区公众参与。目前有成百上千人反对该项目，投诉后没有回音，请领导体察民情，为民做主！
被上海鲸纬信息科技有限公司乱扣取费用,待回复,金融 建言,匿***,2019-11-2615:11,本人于11月15日在无意间下载了一个小集钱包app，就注册了自己的个人信息并绑定了自己的银行卡，在11月26日收到了银行的扣款通知（扣掉了299元）扣款公司为上海鲸纬信息科技有限公司，请求领导帮我追回这笔金额，这纯粹就是诈骗公司！我在网上看见很多人受骗了，请求领导一定打击这些公司，谢谢！
浦江镇汇东村环境污染问题,待回复,城建 求助,W***,2019-11-2613:42,我们是闵行区浦江镇汇东村村民，11月在网上公示的大治河专项规划中，发现题桥发射台，火葬场，湿垃圾处理场，这三个设施如果建成今后会对附近居民的身体健康，生活环境带来严重的影响。望相关部门对该三大污染设施重新规划选址，还农民一个安居之所。谢谢。
嘉宝物业,待回复,城建 投诉,W***,2019-11-2609:37,11月25日上午，嘉宝梦之月小区交房首日，很多业主想要借此机会和物业协商创嘉定新高的物业费及停车费问题，但却被物业拒之小区门外，老少业主只能冒着冬日的寒风细雨在小区门等候一个和物业负责人平等对话的机会，但小区物业负责人陈经理飞扬跋扈的发表完满嘴谎言的“解说词”后毅然离开，不给任何对话的机会给所有被拒之门外的业主！热心业主站在小区栏杆前一次次的请保安大哥给物业经理打电话让其出来对话，但都被拒！
企业拖欠工资几经讨要无果只能请政府为我做主,待回复,就业 求助,最***,2019-11-2510:07,上海市必是科技有限公司（骆驼餐服）我之前在此公司任职BD（软件地推）八月份一直到十月多份经历了酷暑暴雨强台风辛辛苦苦跑出来的业绩因家中有事不得不辞去工作，谁知黑心公司没有良知过河拆桥之前压了一个多月的工资不仅没有按时发工资拖了几天后发来的工资却对不上，之后便想找其核实理论，电话不接上门避而不见，而且该公司对我们这些外地来打工的老百姓从来没有签过劳动合同，没有尽到一丝企业应有的责任。无奈只能请政府为我们这些无依无靠背井离乡外出务工的小老百姓主持公道，在此表示感谢。
拖欠工资将近一年没有解决,待回复,就业 投诉,z***,2019-11-2216:47,李书记你好！我以前上海市嘉定区马陆镇博学路1288号厂房8号楼逸德汽车测试技术股份有限公司上班，该公司从2019年一月份开始拖欠工资和没有缴纳社保，我们二月份全体员工到劳动检查部分投诉到现在为止没有得到解决，望李书记为我们这些农民工做主，
物业不让租户安装充电柱,待回复,城建 求助,s***,2019-11-2215:59,我是上海市宝钢二村小区的租户，在上海工作已经近4年，以后也打算在上海落户。现因家庭需要购买汽车，本想响应国家政策节能减排，购买新能源汽车。本人经过申请，现房东、小区业委会，小区居委会都同意我购买并安装充电桩，且开具证明。当我拿证明去物业公司（友谊物业公司），物业却不予帮助，并不给盖章。经沟通，请求，均回应不符合小区物业规定。1小区没有固定车位，均租赁管理。（小区有多辆新能源汽车并安装充电桩）2我非小区产权人，不是业主（根据上海市电动汽车充电设施建设管理暂行规定，经产权人同意，可以安装充电桩）在多次跑证明无果后，想到了领导留言板。希望领导予以帮助。外来沪人员是否没有在上海买新能源车的权利。
上海匠恩物流有限公司拖欠多名物流司机运费,待回复,企业 投诉,谌***,2019-11-2116:31,尊敬的领导，你好  我是一名普通的物流司机，我叫谌X勋，我的车牌是赣C219K3  我帮贵市嘉定区的上海匠恩物流有限公司从2019年8月7号到今年10月8号总共运货25趟，拖欠运费总额4330元，在我无任何违约的情况下拒绝支付给我个人运费，据我了解，该司目前拖欠江西籍司机运费达到3人， 恳请上级领导帮我们这群早出晚归的司机要回血汗钱。
绿地变私家花园，到底哪个部门来解决？,待回复,城建 求助,z***,2019-11-2109:06,从2018年12月至今，小区内公共通行道路被多次破坏，部分一楼业主，侵占道路及公共绿化，私扩自家花园。对此，我多次致电12345求助，小区物业和居委也要求相关业主将绿化带恢复原样，业主辩解这是合理扩建绿化带（把部分硬化路面和过渡绿化带包进自家花园）。城管部门也竟然认为这是增建绿化，因此无权处理。在此我想请问，哪个部门可以来处理这类违规行为。其他业主的合法权益如何保障？照此状态发展下去，一楼业主竞相效仿，最终肯定会引发更大的矛盾。
享骑电单车企业失联，消费者无处退押金,待回复,企业 求助,J***,2019-11-2108:19,于2017.8.8充值299押金使用享骑电单车，目前APP已无法使用，账户中尚有余额及押金无处申请退还，投诉至12315，得到回复目前企业已失联，建议通过司法途径维护自身权益，但使用司法途径成本远远超出押金的数额，遂求助于此，恳请得到帮助，退回押金，谢谢。
中铁二十四局上海电务电化有限公司拖欠民工薪资,待回复,就业 求助,W***,2019-11-2011:08,尊敬的上海市长：本人自2015年1月入职中铁二十四局集团有限公司新能源项目部，17年变更为旗下上海电务电化有限公司。因拖欠工资于2018年11月与其进行劳动仲裁，拖欠本人个人垫付的金额九万余元，仲裁结束后，根据裁决：电务电化有限公司需支付本人报销金额，公司已经收缴所有发票原件，并且就个人垫付报销明细盖章确认，事毕，上海电务电化有限公司以各种理由拒不支付，上海的劳动法律和各种保障民工权益的法规彰显对民工的关怀，让我看到了法治森严的社会面貌，希望上海市政府可以帮我解决这个问题。
投诉上海绿地总部,待回复,城建 投诉,x***,2019-11-1917:12,上海市委李强书记：您好！我投诉上海绿地总部，对旗下天津绿地挪用海域香颂项目资金一事，现已造成二次停工。目前该项目无力支付工程款，现在是农民工讨薪，承包商讨债，业主提心吊胆。肯请上海绿地总部进介入调查，并请上海总部快速拨付资金。保证项目再次开工完成工期。二次投诉，请给予答复和帮助！
执法,待回复,治安 投诉,l***,2019-11-1815:48,室内抽烟，马路乱扔烟头小区空中抛物，祁连山路北边和锦秋路接口派出所旁边有个电线杆，上y海梧p桐树虫柱特别离害，宝山区宝祁雅苑乒乓球室空调投诉一年多了到现在没装。马路上狗屎。小区散养狗。现在儿女都很忙，我们为儿女全力支持他们工作，我们抽时间打球増强体质，不给国家负担，
恳请父母官为民做主,待回复,城建 求助,波***,2019-11-1810:41,李书记您好！几年来金山御府开发商一直以“长期租赁”的名义，对外违规销售公租房，骗取老百姓的血汗钱。本人于17年在开发商的虚构事实下说是政府扶持项目 小孩可上学，大人可落户，3～5年可办房产证，有售楼处，有样板房，有营销团队，现场有砸金蛋热闹非凡的情况下花了85万买了61平的小户型。为什么卖了几年了才说违规呢？请领导明查管理部门。在当地已产生非常恶劣的事件，区政府出了清退方案，可开发商说没钱清退，工业园区的领导说生病不出面，房管局不让验收，一直这样踢皮球。百姓维权4个月了一直没有进展，我们老百姓辛苦攒的血汗钱！要钱房两空！走投无路了，恳请领导还公道于600多名百姓，恳请领导高度重视！
"高等职业（专科）补增“葡萄酒营销与服务""专业",待回复,教育 建言,贺***,2019-11-1809:30,"“葡萄酒酒营销与服务""作为新补增的高等（专科）专业，仅只有上海市的上海旅游高等专科学校开设，但上海市却没有对应的本科相关专业“葡萄与葡萄酒工程""，而专升本只能在本省市报考，虽然这个专业作为新补增的专业，前景广阔，但是无法专升本，还是会令有些人报考时心有余悸，希望上海市的本科院校也能够开设相关的“葡萄与葡萄酒工程""，以供考生报考时无后顾之忧！谢谢！"
保障性公租房被开发商以租代售70年,待回复,城建 求助,W***,2019-11-1808:52,金山御府是金山工业区保障性住房，开发商是上海御府投资有限公司，开发商由于自身实力不足，就将该企业持有的保障性企业公租房以租代售70年变相对外出售，吸纳社会群众购房款作为建设公租房的资金。现在由于金山区区长在媒体上通报要求纠察该行为，目前开发商出租资金断裂状态。购房者通过法院起诉，该企业已经成为失信人老赖，所以起诉无法解决问题。所有能走的渠道都去走了，无法解决开发商资金的问题。失信企业更无法获得融资渠道，整个事件非常棘手。现在四处投诉无门，起诉没有结果，只能请求相关领导予以重视，通过决策层给予金山相关部门以解决通道，目前金山职能部门严厉让失信开发商自行融资，这个是基本不可能办到的事情。如果政府部门不介入不帮忙，可能老百姓面对的就是购房款被开发商建成公租房，开发商破产倒闭老百姓一辈子的血汗钱变成一个烂尾楼公租房。唯有市级部门协同金山区相关部门一起研究方案，救老百姓于水深火热之中。
房产的问题求助,待回复,政务 投诉,W***,2019-11-1808:36,本人上海户口，2014年因为房产销售的诱导说贷款美金利润划算让我买了国外绿卡买了二套房子，把房产登记在我护照名下，五年来我不知道护照买房要每年交这么多房产税，浦东税务局也从没有告知，直到要卖房子才发现这么多税和滞纳金。现在想把房产变更到身份证名下也要我交了40多万税金！2016年5月份后我就只有一套房子，上海户口可以申请免税，麻烦领导帮我解决一下这个事情。
购房被骗,待回复,城建 求助,w***,2019-11-1620:10,李书记您好！自2016年-2019年8月金山御府开发商以《70年租赁》名义售卖公租房至使几百户百姓被骗购2016-2019年8月御府售房广告一直在发，网上广告一直在播放，金山区职能部门能不知道吗？本人因孩子在上海工作需购房，于2017年5月在御府购房一套，50多平米，共付80万元，签了70年租房合同，租房到期日是2086年3月，交房期2018年底，到交房日开发商以种种借囗推拖，至今未交房，2019年8月 告知购房户，公租房购房户不能住，开发商违规销售，应去找开发商退房款，我去找开发商了，开发商说你们购房款用于建房了，现没钱，退不了， 至今御府开发商还逍遥法外。  为什么卖了四年才说违规，请领导查明管理部门，房管局及金山工业园区负责人，因是公租房，是政府扶持项目，相信政府，信任政府，才会购买，现在金山工业园区领导说生病了不出面，房管局监管不到位，百姓血汗钱讨不回，现在对我们全家来说是钱，房，两空，实在是走投无路，恳请领导帮助，还公道于民，相信党，相信政府能给予帮助和解决，恳请领导过问，重视此事，我已经近70岁了，有高血压，心脏病，因此事导至夜不能寐，病情加重 
叮当出行不退押金,待回复,政务 求助,帮***,2019-11-1617:07,叮当出行app收取用户押金，我于9月20号提交申请退押金，已经2个月左右时间了。客户服务电话已经失效，企查查上登记的企业上海讵光网络科技有限公司的单位电话也已经空号。叮当出行还能正常使用也在正常收取服务费。做为用户担忧在企业方查无消息的情况下众用户的押金是否能正常退回，以及账户里的余额是否能够正常退回。
金山御府欺诈我们600多户百姓血汗钱,待回复,城建 求助,t***,2019-11-1617:03,李书记您好！几年来金山御府开发商一直以“长期租赁”的名义，对外违规销售公租房，骗取老百姓的血汗钱。本人于17年在开发商的虚构事实下说是政府扶持项目 小孩可上学，大人可落户，3～5年可办房产证，有售楼处，有样板房，有营销团队，现场有砸金蛋热闹非凡的情况下花了70万买了61平的小户型。为什么卖了几年了才说违规呢？请领导明查管理部门。
浦东机场长期噪音扰民,待回复,交通 投诉,L***,2019-11-1417:10,我是合庆海塘村居民，自从前年航道改变后，平均三分钟就有航班低空飞过，已经严重影响正常休息，且是日夜不停，在双休日格外严重。请降低航班频率或是提高航空高度，否则将强烈影响居民身心健康。
讨血汗钱,待回复,就业 求助,继***,2019-11-1417:10,领导您好！我们是新场古镇F1-10地块中建二局工地20-27号楼外墙大理石钢结构的安装工人。自2018年9月份开始，我们在中建二局下分包公司新中源干活，2018年内已全部完工。至今老板还拖欠我们工人工资十二万多元。老板也是各种推脱，不给我们结帐。眼近年底，拖了这么长时间，家里也需要用钱，我们实在是走头无路了，请领导为我们做主
上海市工商局不作为。,待回复,企业 投诉,W***,2019-11-1414:01,在辽宁省沈阳市阿迪达斯专柜买的裤子，有质量问题，卖家承认退货，并收走裤子和购物小票，吊牌。因为信用卡付款，商家说一个月后退款才能进卡。现在过去三倍时间，并没有收到退款。阿迪上海总部说他们决定不退款，说他们去鉴定了，不属于质量问题。在辽宁省沈阳市阿迪达斯专柜买的裤子，有质量问题，卖家承认退货，并收走裤子和购物小票，吊牌。因为信用卡付款，商家说一个月后退款才能进卡。现在过去三倍时间，并没有收到退款。阿迪上海总部说他们决定不退款，说他们去鉴定了，不属于质量问题。我要求鉴定结果，阿迪方面拒绝提供，说没有鉴定结果。现在裤子不知去向，商家不给，退款不知去向，商家说一个月之后也就是5月份会退到卡内，但是没有退。投诉到上海市12315，一个男士回电话，说话有一些表达困难的男士，说我的投诉件快到处理周期了，必须结束了，还问我投诉的问题是什么？一个投诉件都过了处理周期了，还不知道我投诉的具体问题是什么，这样的国家公务人员，是只在上海的大城市才有么？我在当地买的裤子，当地商场都承认是质量问题了，否则也不会收走我的购物小票，吊牌，裤子，并承诺退款。你阿迪总部没见到裤子？上海市徐州区的工商管理局，处理市民投诉的人员居然是一个语言表达不清楚的快退休人员，每一个公务岗位都是很重要的，把这样的人员安排在此岗位，是想传递给老百姓，市民投诉不重要，不需要处理么？。
上海为什么迟迟不修改普通住宅标准？,待回复,政务 建言,不***,2019-11-1408:45,2015年、2016以来，上海的房价翻倍增长，像我们这种刚需、新上海人苦不堪言。而且我们理科专业公司普遍在外环，买房也只能考虑、也只能买得起外环外，可是您知道吗，外环外，现在的房价到到了5w出头，都是很普通的房子，上海好的学校又非常密集，在我们这种郊区根本都是全区倒数的，有好的学校配套的房子，只想能安个家，以后如果有孩子能够上学就行。可是您也看到了，上海的普通住宅政策外环外有个要求是，230万以内算普通住宅！我想说这个价格根本买不到一个可以给一家三口居住的房子，被认定为非普通我们需要承担几十万的增值税，都是我们刚需在出，压力太大了。1)	目前房地产交易的普通住宅价格标准是在2014年发布的，5年来房价翻倍暴涨，230万在外环根本买不到一个一家三口可以居住的两房了，我就想买了最普通的两房，为什么这还不算是普通住宅呢，请求出台一些政策保护我们这些首次买房的刚需吧！！！！请您们去各大中介网站看一看，比如链家，中原，230万在张江的外环外，比如唐镇，能买什么样的房子！明明是蜗居非得盖上豪宅的印子，给政府交几十万的增值税税，说是说上家付，其实还是我们付，居间协议都会写着买家付全部交易税费，到头来还不是我们刚需付吗。“房住不炒”的政策难道是为了与民争利？另外，以5年前的房价来区分豪宅的定义是否合适？为什么不实时考虑当前的平均房价定规则呢？能否出台对我们刚需的一些保护政策？2)	对于房产交易中介费，目前是根据房价来确定，链家收取3%，上家1，我们2。房价暴涨后，中介费也是一个不小的负担。事实上，不管是价格高还是价格低的房子，流程都是一样的，中介付出的服务也是一样的。为什么就这些简单的服务要收取这么高的价格？和房屋价格价格挂钩合理吗？不同的价格的流程不都是一样的吗？为什么要把中介费和房价挂钩呢？政府可否出一个指导价，以避免中介费的乱象。
松江泗泾镇金港二期敲毁一到三楼承重墙,待回复,城建 投诉,W***,2019-11-1407:53,18年查阅城管提供170号修复承重墙报告，城管说是修缮过度，我们认为与事实不符。要求向市民公开执法书，明确答复何时拆除违建，便于监督
钱房两空，投诉无门,待回复,城建 投诉,W***,2019-11-1316:21,李书记，你好，我在金山御府买的公租房2018-12-30应该就能拿房了，到现在房子也没有，我想退房，钱也没有，在这个国际大都市我想不应该会出现这样的事情，请李书记在百忙之中抽出一点时间了解一下情况，给我们一个说法，拜托拜托
杨浦区开鲁四村21号毁绿占绿私改建筑垃圾堆放,待回复,城建 投诉,W***,2019-11-1315:55,杨浦开鲁四村21号楼西侧，物业未征得业主同意将绿化带改建成建筑垃圾堆放点，并建围墙对于一楼视野严重阻挡，堆放点离居民住房仅几米距离，所有住户西侧窗户都无法打开，大量的建筑垃圾灰尘严重影响住户健康生活。12345热线多次投诉历经一个月时间，街道房管部门反馈物业未征得住户同意责令停止施工，必须征得业主同意协调调整，但物业无视相关情况，也并没有和我们进行沟通，最近几天又开始施工改建绿化带成建筑堆放点。希望尽快恢复原来的绿化带，小区原有的垃圾房是有一个30平的垃圾对放处现在被物业出租给爱回收，完全可以回收回来做建筑垃圾堆放
汽车租赁,待回复,交通 求助,W***,2019-11-1308:29,19年10月9号在浦东新区建韵路500号天纳创意产业园长福汽车租赁公司租了辆荣威Ei6跑美团打车，10月14号长福汽车公司负责人黄X打电话说车子过户问题让去换车，这几天跑车有时候会视线模糊，给他们说了这个事，让去检查，医生说需要多休息，10月25号我就跟他们说退车，他们算了下要扣掉4000块的账号解绑费和什么车辆管理费2000，只退我2000块账号解绑这块我问过美团官方他们不管是注册还是解绑都不收任何费用，车辆管理费我租车租金是按天算租车费的，真的没看到他们管理什么车子了，他们建议我要么就继续跑，出事了有保险怕什么，赚钱也不容易1万块钱6天时间瞬间还有2000块心里真的不是滋味，如果真的费收合理，我也无话，希望领导给予帮助，谢谢！
交通违章便民信息咨询,待回复,治安 求助,宝***,2019-11-1217:06,上海市市委书记您好，我是在2016年处理的违章，因为交通违章，在工作中发现实施在一个记分周期内累积记分达到12分的违法行为，被上海交警予以暂扣驾照，因为本人工作不在上海，而且依据交通安全法的规定，本人可以选择在驾照暂扣地和发证地的吉林进行学习，拿回驾照。但目前问题是，我曾多次来到上海市闵行区闵行分局交通警察支队办理咨询相关事宜，得到的答复是我可以报名学习，但是当我回到吉林工作地报名学习后，吉林交警给我的答复是我现在交通违章罚款信息全部处理，但未裁决状态，无法报名，系统登录不上去。我完全懵了，我不知道该怎么解决这个问题。。。。。我是通过相关部门了解到这里的问题，上海交警违章处罚解决的信息是在一个叫什么信息上传中心控制，如果你的信息没有传到吉林，很有可能是受地方保护。国家法律明文规定，我这种情况可以在发证地学习。求上级领导重视并为我还个公道，谢谢。
请求帮助申请中山公园中心店英孚课程退款,待回复,教育 投诉,S***,2019-11-1215:43,您好，尊敬的李书记。我于2019年5月31日，购买了中山公园中心店英孚2年的课程。总共费用是40999元。于2019年7月中旬申请退课，但英孚说超过30天就不能退（开始签协议的时候并没有说此条款，也没有说不能退课，英孚对此霸王条款进行了隐藏）。退课从7月至今无果，没有上课但每月仍需还款，因此特请求李书记帮忙追回剩余费用，还望您能在百忙之中帮助我向英孚申请退课，还我正义和公道。1.目前上了一个半月的课程，通过上课和同学沟通，发现课程设计并不适合我，对提升英语的能力没有实际帮助，并不能达到预期效果。2.向英孚总部提出申请退款，他们说只能转线上课程，可是线上课程更是毫无意义。跟读录音不标准，有些要识别很久，才能到下一题，电脑和手机都有这种问题。3.后来咨询了全国各地和本地同样要求退款的学员发现同样的课程竟然有不同的收费标准，更加觉得自己被骗了。4.通过申请退款才知道我的课程是贷款购买的，和英孚毫无关系，协议是在电子设备上签名，也没有让看纸质合同，只是签完名字之后给我的邮箱发了一份电子合同。5.从7月申请退款至今无果，每月仍在还贷，退款路难还望书记百忙之中帮一下忙。
