标题,状态,领域,用户名,时间,内容
盘亭乡蔡村水质问题,盘亭乡人民政府,环保 求助,蔡***,2019-06-1208:20,盘亭乡蔡村目前自来水管道路线由私人合资搭建，每年向村民收取费用，管理混乱，水源水质未经检验，未经妥当的消毒过滤，没有对水源进行清洁，端午回家时发现近期村民生活用水十分浑浊，触目惊心，且河道中经常出现死鱼，身在外地也很难安心，饮用水管理应该专业化，水质定期检测，让村民喝上放心水，不管怎样希望能得到回复!
四贤大道拐弯处树木阻挡视线。,浦城县城市管理局,交通 建言,沟***,2019-06-0117:40,在南浦医院和小密包酒对面的拐弯处，有树木会阻碍拐弯时的事情，严重影响道路交通安全，希望有关部门尽快解决，将其修整
泥土墙房修缮，老百姓被左右踢球,浦城县住房保障和城乡规划建设局,城建 求助,漂***,2018-11-0323:20,领导，你好，本人的房子位于城关光明路垒于上世纪二三十年代的土瓦泥墙房，因家庭困难长久未修缮，柱子已烂透，破烂不堪，实属危房，每年春夏污水入屋，父亲年事已高，体弱多病，故东拼西凑借来资金把房屋修缮，2017年11月份已给社区和街道打报告，同意修缮，只修了一层，被叫停（房子的面积只有三十平，原土房有木楼，使用面积达两层，二楼我也只想铺个瓦，做个隔热，要求不高，一家人够住就行），城管说不允许修，已修部分已被拆除，城管说要去找建设局审批，故而去找建设局，建设局说他们未曾批过此类手续，不批，让我们找城管。与建设局城建科理论，为什我只是铺个瓦就被砸，明确被呛那是人家有本事，你没本事你就是盖不上去。（这是一个政府单位的人说的话吗？领导）没后台没背景就是被左右踢皮球，被欺负，我家是低保户，一家人已没地方住，（领导可以问附近邻居我家实况）望领导重视，体恤民情，允许我二楼铺瓦（一层只有一个房间确实不够住，我作为女儿不可能跟父亲同个房间吧，于道德也不允许），望盼回复解决。
爱玛电动车被扣押,浦城县公安局,交通 求助,三***,2018-08-2820:49,交警把我的电动车扣了一年多了，还没处理，现在满街的三轮车在马路上行走，为什么我的就被扣押了，我们家上有老下有小用三轮车方便，为什么别人的三轮车能走，请领导给我个公平公正
黄赌毒,浦城县公安局,城建 投诉,T***,2018-08-1010:18,钱柜黄赌毒，还有环城河一带都是色情服务，还有城西一带，政府不管吗?这还是政府?
仙阳镇三万多人民的心声,浦城县仙阳镇人民政府,其他 咨询,众***,2018-05-3009:47,周书记我们仙阳中心小城镇建设试点要何时建好？千万别搞黄了！我们都在期待！
仙阳自来水水质污染严重,浦城县仙阳镇人民政府,其他 投诉,风***,2018-03-0316:41,请问仙阳的自来水水质什么时候才能改善，本人每年回家那自来水流出来的水都是浑浊不堪的，跟没处理过的一样，还有有时候一到用水多的时候自来水就没水，这个问题什么时候能解决啊
不把农田当回事,浦城县忠信镇人民政府,三农 投诉,渔***,2018-01-1509:13,县委书记你好 国家在大力提倡服务三农和保护三农 是那三农呢 农田的河坝都被洪水冲垮了，农田也冲了，这就是你们开会的顺口溜服务三农 保护农田，我们这的投诉 你们作为老百姓的父母官 是要派专人下去查看    这是浦城县 忠信镇 渔沧村 竹塘小组的农田 洪水冲毁了河边的堤坝 摧毁了农田 可没有干部和领导想办法为这段河堤 保护没被冲毁的农田 吗，我们老百姓就这样眼睁睁的看洪水 一点一点把我们的农田摧毁掉吗
今年我两女结扎了为什么还要交医保,浦城县富岭镇人民政府,三农 求助,匿***,2017-12-1620:41,今年我两女结扎了为什么还要交医保。就富岭镇要交。其地方说都不要交的。
希望能帮到我们老实百姓的忙,浦城县九牧镇人民政府,其他 求助,匿***,2017-02-1517:06,尊敬的领导好，我是浦城县九牧镇中垅村洋凹缺村民，因为山场2013年到期，现在都17年了13个小组分了12个，就剩洋凹缺小组山场多的占了大部分，村干部怕得罪人去了几次分了，镇干部有文化我们请不了，话不多说，希望领导能帮到我们老实的村民？
生活.污水排放问题,浦城县石陂镇人民政府,其他 求助,匿***,2017-01-0711:04,尊敬的领导.你好我是石陂镇.石陂村村民.因为邻里生活污水问题.信访局走了好几趟.四年过去了问题还是没有解决.村干部来看过也只是搪塞推卸就在也没有下文了.由于后面新建房子把污水排放堵了导致污水没有地方通去..每过几天这个粪水就要满出来一次.整个大厅都是屎尿，经常半夜起来挑粪水去河里倒这样的日子什么时候是个头.这样下去地基被污水排空了，房子倒了怎么办、我只是一个普通老实的老百姓.只能求助领导帮助解决这个看似不严重的问题、在此跪谢领导。
危房改造政策不明确,临江镇人民政府,其他 咨询,如***,2016-12-1114:22,书记您好！我是临江镇寨下村徐墩村民，由于老房子破旧不能住，我在2012年建了新房，当时我就向村干部咨询补贴事项，可他们说不知道。2013年我村建新房的人都拿到补贴款，我到村委会去问，他们说是要村里上报上去才有补贴，这就让我十分不解，国家政策人人平等为什么我就没有？是我们村干部有特权不给我们上报？还是村干部他们自己收入囊中！？恳请书记予以明确的答复。谢谢！
闽浦城县仙阳镇派出所拦车罚款并扣分,浦城县公安局,交通 建言,匿***,2016-11-3010:57,闽浦城县仙阳镇派出所2016年11月29日上午九点多钟组织警力在加油站旁的去往忠信镇那边桥头，拦超载车辆罚款200元并扣3分。公安机关是维护治安保护人民群众生命财产安全！上路拦车是否越权，望领导管管。
关于转户口被计划办卡住问题一直得不到处理,浦城县富岭镇人民政府,其他 求助,匿***,2016-11-1009:46, 尊敬的县委书记:我是浦城县富岭镇靖坑村陈世明，我从8月份就到富岭计划办办理户口转迁事宜，我两个小孩，小的现在已上小学5年级，马上就进入初中，由于各种因素上海这里不让上初中，我想把户口转迁到江苏昆山，计划办就因我第二个小孩没交社会抚养金不能办昆山提出的（户籍地证明意见栏：符合计生政策），有计生罚款单也行，但我没有，现在回复是这样的，要等新政策下来后处理，但我很着急，请问书记这个问题应该怎么处理，急盼回复!!!跪谢！
希望政府能来给我们这些农民做主,浦城县永兴镇人民政府,城建 求助,匿***,2016-11-0614:36,领导你好，因本人在永兴镇盖房子，盖房子之前也都有到建设局办理过相关手续 现房子刚盖好一层，村里的村支书却说不能盖了 ，原先的老房子还是危房，而且家里还是低保户，现在被村领导叫停，一家五口人都没地方住，望领导重视能帮我做主，
安华移动门店音响声音超大扰民,浦城县公安局,环保 投诉,匿***,2016-10-1415:11,刚看到楼上有人投诉移动门店音响超大扰民，我是深有感触，我也是这附近的居民，苦不堪言，希望县领导帮帮我们这些居民，给我们一个安静详和的环境
安华移动手机店的噪音,浦城县公安局,环保 投诉,匿***,2016-10-1410:59,我也是安华的居民，安华手机店音响所放噪音，严重影响到我的生活，有时有朋友打电话都听不到对方的声音，曾经也求助过110，他们也会过来处理，对方也只是把音响关小，但待他们走后没多久，声音又恢复到原样，难道处理噪音的方式只是关音响吗？在后来我也不知道找哪个部门投诉了，今天看到这里有人发帖，我也过来说二句，希望浦城县领导能帮我们老百姓解决这噪音问题，还我们一个安宁的环境。
中国移动手机店,浦城县公安局,环保 投诉,匿***,2016-10-1314:38,领导你好。 我是安华小区居民。我要投诉我们这边中国移动手机店噪音扰民。 地点是在新迎宾对面。 他们店的音响从早上7点多放到晚上9点多。打电话110。他们有时候会处理。 有时候不管。  希望领导可以重视下。 帮帮我们。谢谢
吕处乌.马洋自然村一所大型猪场乱排放猪粪,浦城县环保局,环保 投诉,匿***,2016-09-0810:46,各位领导，吕处乌.马洋一处大型猪场把为处理的猪粪乱排放到，导致周围环境空气都受到污染严重影响到村民健康，每天晚上9点到10点之间猪粪的味道影响到呼吸困难，都不敢开窗户透气，望个位领导给予我们处理
浦城交通执法勾结黑社会暴力执法,浦城县公安局,交通 投诉,匿***,2016-08-1919:54,领导您好，我是浦城县仙阳镇人，事情经过是这样的，2016年8月15日，我自己私家车带着老婆行李去上海，车上比较空，我在浦城生活平台发布了拼车去上海收油费的信息，后来有人给我打电话说有两个朋友要去，早上11约定好地点紫兴新城A去门口等，结果上车走150米左右被交通执法烂下，说我非法营运，跟执法人员一起的还有社会人员，社会人员什么也没说跑上来就打我，到医院检查头颅损伤，全身软组织挫伤，后来我报案，执法人员勾结黑社会暴力执法，执法队怪我报案，现在车不让我处理，说我长期运营，说要严惩我车，我车上还装着一大车生活用品和锅碗瓢盆，怎么可能会是靠运营生活呢，难道浦城县城他们一手遮天吗，人被打还要罚我一万多，希望县领导能为我们老百姓说句公道话！
我要投诉福建省浦城县仙阳镇街道的摄像头,浦城县仙阳镇人民政府,治安 投诉,匿***,2016-08-1713:55,福建省浦城县仙阳镇街道，街上看着是装备有摄像头，可是等发生了才知道那个摄像头只是个装饰品，为什么装着摄像头没有用？今天在那条小街，被偷了钱包，难道一句没有人看到小偷，就了事了吗？报警一点用都没有用，小偷放心的偷，希望官员领导们重视一下街道，市场一定装好摄像头，不让小偷逍遥法外，没有摄像头被偷的财产就永远的找不回来了。今天，我被偷的金额不小，我才会投诉，希望重视。谢谢
城市街道脏乱差现象严重, 浦城县行政执法局,环保 投诉,匿***,2016-02-0315:31,浦城县县城街道脏乱差现象严重，特别是江宾路那一带。有关部门应该重视。
异地年审, 浦城县环境保护局    ,环保 建言,匿***,2016-02-0314:35,现在小车都可以办理异地年审了，为什么环保绿标不能申请，既然年审可以联网读取信息到了绿标就不行了呢？异地年审不是成了一纸空文，希望领导可以真真正正的为老百姓办理实事，
三农粮食补偿款问题,石陂镇人民政府,三农 咨询,匿***,2015-12-1414:51,尊敬的县委书记:  我是浦城县石陂镇段尾村村民，由于我的粮食补偿卡没有了。我的粮食补偿款要如何才可以拿到。请县委书记帮忙指点一下。
临江新街路口至老街违章搭建，个人建房私自交易, 临江镇人民政府,城建 投诉,匿***,2015-10-2710:52,临江新街路口至老街违章占道乱搭乱建严重，个人建房私自交易乱象从生，希望有关领导重视解决此事，感谢！
临江新街路口至老街占道违章搭建，个人建房私自, 临江镇人民政府,城建 投诉,匿***,2015-10-2710:50,领导好，我是临江新街的村民，临江新街路口到老街幼儿园附近有占道违章搭建房的，出现个人建房私自交易买卖的乱象行为，请有关领导重视并杜绝此事的发生还百姓一个好的；适宜居住的良好环境。不胜感谢！
建房扰民,  浦城县公安局南浦派出所,城建 投诉,匿***,2015-08-1514:58,在五里塘孝子乐，养老院旁边的这里一处毛坯房弄房子，每天早上7点多就起来配置房子，声音实在太大，希望领导能够彻查，
富领镇山路村铜坑萤石矿洗矿污水污染,  浦城县环境保护局,环保 求助,匿***,2015-06-0810:24,领导你好，我是富领镇山路村的村民，铜坑的萤石矿洗矿污水未经有效处理直接排入河道，而我村村民常年使用这条河水作为生活用水，污水中的有害物质直接影响我村村民生命健康。现在河道随处可见洗矿而沉积的矿物淤泥，以前这条河鱼很多，现在一条都没有了，盼望领导特别是环保局的领导到现场调查，抽检水样化验，报告公众与众，村民生命永远是第一位的。
村干部把农田卖给村民建房,浦城县管厝乡人民政府,三农 投诉,匿***,2015-04-2316:39,你好我是管厝乡水坪村村民，原本一个人口就是几分田，村干部每年都要把田卖给村民建房，难道上级都不追究吗难道田都是拿来卖的吗，农民不要吃吗
保护耕地,浦城县莲塘镇人民政府,三农 投诉,匿***,2015-04-0316:13,书记：您好！近日有人在莲塘村，浦城职业技术学校对面将大量渣石、泥土推向耕地，进行埋田造地！希望有关部门能够及时制止！
浦城县千里马路名桂世家顶楼违章建筑要如何处理, 浦城县规划建设和旅游局,三农 投诉,匿***,2015-03-1411:06,浦城县名桂世家顶楼违章建筑已经好多年了，城管还未处理，造成业主不交物业费，物业已经跑路一家了，现在这家也准备跑路，今后卫生谁来清理，停水停电业主怎么生活。望政府能尽快处理！
投诉2010年盘亭乡派出所所长和指导员,浦城县公安局,政务 投诉,匿***,2014-09-0509:39,县委书记！您好！我要举报2010年在任盘亭乡派出所所长和指导员！(具体名字我就不写了)事情是这样了，2010年我爸雇佣的挖掘机司机在施工的时候把国防电缆挖断了，司机被抓，接着要交保证金！我爸全部交了25000元，他们说帮我爸活动了下，已经花了6000元，实际上也就是承认收了19000，由他们代交给浦城公安局，公安局给的票据也被他们拿走了。第二年，要退还保证金的时候，他们陪着我爸和挖掘机司机，要求以司机的名义办一张卡接收保证金，但是密码是他们定的，而且卡也被收走了。在我爸多次催促下，交还了13000，我爸有给他们写字条。但是余下的6000元他们说事后期的活动，已经花销了。这期间我爸还给他们送了几千元的礼（具体不详）。这里再说明下有相关的录音、短信和字条，可以证明。--相关法律我没有查，但是我相信这肯定是违法的！现在举国上下都在打老虎，拍苍蝇，相信您会管的。当事人是我父亲，而我在外地，如要了解详情，请相关人员联系我，我会视情况提供我父亲的电话。谢谢！
还我山场证,浦城县管厝乡人民政府,治安 咨询,匿***,2014-08-1911:16,县委书记您好.我是管厝乡水坪村的一位.村民我爸爸的一张浙江的山场证被水坪村拿去26年左右到现在村书记都换了几任这张证村里不知被谁拿走了我现在要拿回这张证怎么办
浦城城管大队执法不公,浦城县住建局,城建 投诉,衣***,2014-03-2608:41,    浦城红光照像馆弄堂里面非法占地，城管第一次过去拆了一部分，可没几天就又盖过了。占地者说举报也没用他里面有人，连谁举报的都知道。盖的当天打了几个城管大队的电话可说让打国土资源的，不归他们管。按网上公布的电话，打了国土的打不通接着反复打城管的，一个男的接的就一直不受理，打了几个后一个女的接了，受理了这事。可就过去发了通知单，建筑依旧在，连着在打了几天电话，城管在也不管这事了，让人不得不怀疑有私受贿赂的行为。占那地对我个人而言是没有影响的，可是这样的随意占用公共用地势必会让大家引以学习。希望有关部门可以遏制这样的违法占地行为，彻底的拆除该占地建筑，并督促其清理现场，如果只是过去敲几下就放着不管那也是没有意义的，一样站着地，只是从一个建筑变成了一对废料，而后就成了垃圾堆了。希望县委领导重视此事，这样占用土地之风不可不管。
电度不对,浦城县供电公司,三农 两会,匿***,2014-03-0411:09,我家民用电1个半月用了1600多度电就个电饭煲电视机和几盏电灯请问下这个事情怎么办
家乡发展的时候和环境的问题,浦城县环保局,其他 国美活动,匿***,2013-12-2116:40,希望在发展的过程中考虑到经济问题要不真的得不尝试，经济换不来
家乡发展的时候和环境的问题,浦城县环保局,其他 国美活动,匿***,2013-12-2116:40,这几年老家的发展是很快但是环境问题也很严重希望各级能考虑这个
