标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
看不了病，老不好病，看不起病,已办理,医疗 求助,真***,2019-11-1310:31,孩子支原体感染，发烧一直不退，去上海儿童医学中心，普通门诊要六七百个号，特色专科门诊，排队四个小时就喊了二十个号，问医院医院说排不出人，没办法，只能等，好不容易排到队提醒医生是不是支原体感染，医生误诊为普通肺炎，输了几天头孢都不起作用的。中途开药换一个医生开一样子药，而且都是重复的药，或者不对症得药，像维生素，提高免疫力类的药。四天后再次让医生检查是不是支原体得问题，唾液检查是的，医生却说验血这些报告有时候不准的，后面换药了，本来说明天不用输液复诊就好了，第二天换个医生说还要输，第三天换医生还要输，好不容易不要输液了吃得药开一大堆。真的是看不好，看不起，一场病下来花费要五六千,浦东新区区委网信办,孩子支原体感染，发烧一直不退，去上海儿童医学中心，普通门诊要六七百个号，特色专科门诊，排队四个小时就喊了二十个号，问医院医院说排不出人，没办法，只能等，好不容易排到队提醒医生是不是支原体感染，医生误诊为普通肺炎，输了几天头孢都不起作用的。中途开药换一个医生开一样子药，而且都是重复的药，或者不对症得药，像维生素，提高免疫力类的药。四天后再次让医生检查是不是支原体得问题，唾液检查是的，医生却说验血这些报告有时候不准的，后面换药了，本来说明天不用输液复诊就好了，第二天换个医生说还要输，第三天换医生还要输，好不容易不要输液了吃得药开一大堆。真的是看不好，看不起，一场病下来花费要五六千,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
苹果贸易世纪大道分公司,已办理,企业 投诉,s***,2019-11-1109:23,我买的手机发现后摄进灰，去苹果世纪大道直营店维修，拿回来以后发现摄像头进灰比原来还要多，我再去找他们。他们以摄像头进灰不影响成像为由不于保修了。,浦东新区区委网信办,我买的手机发现后摄进灰，去苹果世纪大道直营店维修，拿回来以后发现摄像头进灰比原来还要多，我再去找他们。他们以摄像头进灰不影响成像为由不于保修了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
居民区开设建材市场，大卡车频繁进出,待回复,治安 投诉,W***,2019-11-0616:46,上海市浦东新区惠南镇幸新路爱民路上原本都是一些染纱厂和服装厂，后来这些厂关门后。就在最近一年左右突然开出了好几家建材市场在爱民路上。由于通往爱民路必须经过狭小的幸新路，幸新路的以北都是一大片居民居住区域。由于爱民路上的建材市场运输建材，经常会有大卡车频繁进出幸新路和爱民路之间，随之带来的就是长时间的堵车，本来路就小，大卡车一进来，车子就无法通行。又由于居民区，老人小孩进出较多，同时带来了很大的安全隐患。其实十几年前爱民路以西一块是农民的自有地，不知为何就被当时的村长收了去。又到如今的开设建材市场。不知此行为是否合法！！,,,
英孚高额违约金,已办理,教育 投诉,难***,2019-11-0607:33,我于19年3月办理了英孚线上课程21999元，经学习后发现宣传与服务不符，宣传内容: 1、有根据你的学习情况每周制定详细学习计划的学习顾问，实现个性化制定。2、学习顾问随时解答你学习上面的问题。3、学习顾问会督促学员进行学习。4、隐瞒了分期付款就是付息贷款的事实，隐瞒了七天内无条件退款，我是后来才知道的。提出退款后，英孚售后索要百分之二十违约金,浦东新区区委网信办,我于19年3月办理了英孚线上课程21999元，经学习后发现宣传与服务不符，宣传内容: 1、有根据你的学习情况每周制定详细学习计划的学习顾问，实现个性化制定。2、学习顾问随时解答你学习上面的问题。3、学习顾问会督促学员进行学习。4、隐瞒了分期付款就是付息贷款的事实，隐瞒了七天内无条件退款，我是后来才知道的。提出退款后，英孚售后索要百分之二十违约金,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
不知何时能拿到自己的房子？,待回复,城建 求助,开***,2019-11-0508:43,领导您好：我是2018年11月购买周星路明天华城的房子，支付首付款时并不知道房屋有抵押情况，后在一再催促之下在，今年五月份知晓房屋被抵押给银行。从开始的一月底签约拖到五月才签正式房屋购买合同。我们个人银行的贷款手续都已申请完毕，咨询银行为何不放款，银行说开发商并未解除银行抵押，原本说八月底交房，事实仍未履行承诺。我们拿到房屋合同日期时才看到合同上的日期是11月中旬交房，前几日了解到三盛宏业已经被停盘，心里很是担心不知道这个事情，要被拖到哪天房子才能给到我们，也找不到相关人给个准确答复，家人又在孕期为此事也是很担心，都不知道宝宝能否顺利入住新房。请领导帮忙解决，十分感谢您。,,,
上海一日游被骗购买翡翠,已办理,旅游 求助,雾***,2019-11-0208:38,2019年10月25日我带家人参加了上海某旅游公司的旅游，导游王某带一行16位客人坐大巴去了浦东新区莲溪路1277号翡翠珠宝博览中心，进门口有个很大的貔貅像。我们被带到了一间房间里给我们讲解翡翠的知识，刚开始讲座是一名25岁左右的女生讲解，她说我们听听知识就行不用买，一会儿另一位工作人员来说今天有公司领导来视察，接下来就是这位“领导”给我们讲解，骗局正式开始。这位“领导”说他叫李x，这家店主要接待老外旅行团，所以价格很高，不要去相信所谓推销的价格，我们要买他也不会卖给我们，他说他家的珠品牌是千禧珠宝，他是家里的第四子，也是最小的一个，现在家里把这家店交给他，他要为自己挣面子，又说现在公司在一个特殊时期，上海旅游局要关闭包括他们家在内几十家珠宝店，说现在这行业太乱，游客投诉的太多了，除非好评进入前十名，所以拜托我们帮忙打好评。然后说免费给我们讲一些业内秘密和珠宝知识，拿了两个翡翠手镯教我们鉴别好坏，随后和旁边的服务生说，和我们相见即是缘分，来到这里就要大家开开心心走，他每人送一个神秘礼物，价格控制在200元内，多少钱他来签单就是了。团里的人顿时觉得这个富二代很直爽，气氛一下活跃起来了，他又从柜子拿出一个标价5000多的翡翠手串，他说愿意和他做朋友的人举手，他以100元的价格把手串送给了第一位举手的大哥，叫旁边的服务生等下拿给她签单，那时旁边的服务生表情很惊讶，这段表演堪称精湛，随后骗局进入高潮。他说：我不差钱不会赚你们那几万块钱，我就是挣个面子，谁让他有面子他就让谁更高兴。然后说要和我们交个朋友，他说谁愿意请他吃顿饭，当时不少人都举手了，他又说以上海的消费他写了3组数3000/6000/9000，让我们从中选择愿意请他吃饭的金额，我们都以为他那么有钱只是看我们的诚意，不会真的刷的。这时他让服务员用POS机扫走了我们写下的金额，有的是3000元，有的6000元，有的9000。扫走钱后拿出一些标价上万的翡翠，多至七八万元以上的给我们，说是送给我们的。然后他给我们每个留下他的电话，说以后到上海有什么事都可以找他。这类骗局主要骗一日游的游客和中老年人团，等发现上当游客十有八九都已经离开上海了。而且这类骗局通过在网上了解已经存在很久了。希望政府能加大力度打击这些不法行为，他们严重破坏了上海这座国际大都市在中外游客心目中的形象,浦东新区区委网信办,2019年10月25日我带家人参加了上海某旅游公司的旅游，导游王某带一行16位客人坐大巴去了浦东新区莲溪路1277号翡翠珠宝博览中心，进门口有个很大的貔貅像。我们被带到了一间房间里给我们讲解翡翠的知识，刚开始讲座是一名25岁左右的女生讲解，她说我们听听知识就行不用买，一会儿另一位工作人员来说今天有公司领导来视察，接下来就是这位“领导”给我们讲解，骗局正式开始。这位“领导”说他叫李x，这家店主要接待老外旅行团，所以价格很高，不要去相信所谓推销的价格，我们要买他也不会卖给我们，他说他家的珠品牌是千禧珠宝，他是家里的第四子，也是最小的一个，现在家里把这家店交给他，他要为自己挣面子，又说现在公司在一个特殊时期，上海旅游局要关闭包括他们家在内几十家珠宝店，说现在这行业太乱，游客投诉的太多了，除非好评进入前十名，所以拜托我们帮忙打好评。然后说免费给我们讲一些业内秘密和珠宝知识，拿了两个翡翠手镯教我们鉴别好坏，随后和旁边的服务生说，和我们相见即是缘分，来到这里就要大家开开心心走，他每人送一个神秘礼物，价格控制在200元内，多少钱他来签单就是了。团里的人顿时觉得这个富二代很直爽，气氛一下活跃起来了，他又从柜子拿出一个标价5000多的翡翠手串，他说愿意和他做朋友的人举手，他以100元的价格把手串送给了第一位举手的大哥，叫旁边的服务生等下拿给她签单，那时旁边的服务生表情很惊讶，这段表演堪称精湛，随后骗局进入高潮。他说：我不差钱不会赚你们那几万块钱，我就是挣个面子，谁让他有面子他就让谁更高兴。然后说要和我们交个朋友，他说谁愿意请他吃顿饭，当时不少人都举手了，他又说以上海的消费他写了3组数3000/6000/9000，让我们从中选择愿意请他吃饭的金额，我们都以为他那么有钱只是看我们的诚意，不会真的刷的。这时他让服务员用POS机扫走了我们写下的金额，有的是3000元，有的6000元，有的9000。扫走钱后拿出一些标价上万的翡翠，多至七八万元以上的给我们，说是送给我们的。然后他给我们每个留下他的电话，说以后到上海有什么事都可以找他。这类骗局主要骗一日游的游客和中老年人团，等发现上当游客十有八九都已经离开上海了。而且这类骗局通过在网上了解已经存在很久了。希望政府能加大力度打击这些不法行为，他们严重破坏了上海这座国际大都市在中外游客心目中的形象,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
公司欠薪欠社保,已办理,就业 咨询,伏***,2019-10-3120:06,尊敬的市委领导，我是上海市浦东新区外高桥自由贸易试验区港澳路271号2号楼2楼上海步成供应链有限公司的一名员工，自今年以来公司多次，长时间的拖欠我们的工资，不给我们交社保养老金。导致我们现在的生活难以维继，望区委领导帮我们讨回年底的拖欠工资及社保，维护我们的正规权力。,浦东新区区委网信办,尊敬的市委领导，我是上海市浦东新区外高桥自由贸易试验区港澳路271号2号楼2楼上海步成供应链有限公司的一名员工，自今年以来公司多次，长时间的拖欠我们的工资，不给我们交社保养老金。导致我们现在的生活难以维继，望区委领导帮我们讨回年底的拖欠工资及社保，维护我们的正规权力。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
租赁备案,已办理,政务 咨询,说***,2019-10-2910:04,1. 本人上海社区公共户，需要开户籍证明的时候，需要提供租赁备案，到最近长期在苏州工作，未再上海租住房屋。这种情况如何办理户籍证明？,浦东新区区委网信办,1. 本人上海社区公共户，需要开户籍证明的时候，需要提供租赁备案，到最近长期在苏州工作，未再上海租住房屋。这种情况如何办理户籍证明？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
关于乘客遗落物品的妥善处理方法,已办理,交通 投诉,W***,2019-10-2816:58,事发于2019.10.27凌晨1点左右，本人朋友的手机遗落于上海市出租车。车开走后朋友当即发现手机丢失，我开始联系滴滴公司以及拨打朋友手机。事发后不到15分钟，司机打来电话说归还手机必须向我们索要200块。在交还手机的过程中因为我的劝阻，双方发生争执。并且司机有拖拽、拉人的行为，最后还是索要了100块才肯离开。我觉得遇到这种情况出租车公司以及下属司机应该有一系列完整、妥当的处理办法，而不是出现这种带有趁人之危意味的举动。这不是一个国际大都市里应该出现的情况，以上我所说均属实，希望领导可以予以处理，非常感谢。,浦东新区区委网信办,事发于2019.10.27凌晨1点左右，本人朋友的手机遗落于上海市出租车。车开走后朋友当即发现手机丢失，我开始联系滴滴公司以及拨打朋友手机。事发后不到15分钟，司机打来电话说归还手机必须向我们索要200块。在交还手机的过程中因为我的劝阻，双方发生争执。并且司机有拖拽、拉人的行为，最后还是索要了100块才肯离开。我觉得遇到这种情况出租车公司以及下属司机应该有一系列完整、妥当的处理办法，而不是出现这种带有趁人之危意味的举动。这不是一个国际大都市里应该出现的情况，以上我所说均属实，希望领导可以予以处理，非常感谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
浦东新区官方指定的经租管理公司业务员违规操作,待回复,企业 投诉,l***,2019-10-2614:50,"上海晴南投资管理公司号称上海市浦东新区政府官方指定的经租房管理公司，拿到浦东新区建交委给予的代理经租补贴。其公司业务员邢某，号称有居委会和社区民警的关系，能够一周内代办出租赁备案证明。本人之前因故需要，因此付定金委托其办理。邢某实际操作2周都未给答复，停留在办理居委会常住人口登记这步，故本人与其协商停止办理租赁备案，其承诺定金退还，但之后一直拖延。邢某承诺退款，其身份证号办公地点等证据俱全。作为政府推荐有资质、信誉度高经租公司，晴南投资管理公司业务员邢某违规办理虚假租赁备案，及蓄意侵吞客户定金的行为明显与政府规范经租市场的初衷相违背，任由这种欺骗、侵害客户行为的发生，会助长个别经租公司业务员的不良作风，长此以往会对代理经租市场的发展、管理中引入不和谐因素，。
本人手上有该晴南投资公司该业务员欺瞒、侵吞我定金的全部证据，及该业务员的办公地点、身份证、联系方式等信息。
但不清楚，此种情况是该向消费者保护协会，还是浦东新区住建部分投诉，亦或还是应该找其他部分投诉。烦请领导能予以关注


此致
敬礼！",,,
南洋泾路287弄小区出入通道规划问题,已办理,城建 投诉,W***,2019-10-2514:57,浦东新区南洋泾路287弄与华阳苑小区共用一个出入通道。多年来，通道上房产中介公司，快递公司，超市扰民不断，在通道上造成夜间噪音污染，快递堆物，抢占车位等扰民问题。该通道管理混乱，多年来向地方政府投诉无果。望区长能给予实地了解情况，为民解忧。,浦东新区区委网信办,浦东新区南洋泾路287弄与华阳苑小区共用一个出入通道。多年来，通道上房产中介公司，快递公司，超市扰民不断，在通道上造成夜间噪音污染，快递堆物，抢占车位等扰民问题。该通道管理混乱，多年来向地方政府投诉无果。望区长能给予实地了解情况，为民解忧。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
垃圾投放时间不合理物业态度恶劣严重影响生活,已办理,城建 投诉,解***,2019-10-2314:46,作为两班倒上班族，上夜班的时候会完全错过规定的两个垃圾投放时间，只能在下夜班后(差不多有凌晨3点)分好类放置到相应的垃圾分类门前。结果次日早上8点有疑似社区人员砸门，首先作为独居女性面对这个情况是不敢开门的，其次严重影响了居民休息，本身就体弱现在导致心脏一度难受虚弱。接着这个砸门人员来电，态度极其恶劣，在我提议无法按时投放后对方表示“那是你自己的事情”。请领导解决问题！这样的做法是否过分了！,浦东新区区委网信办,作为两班倒上班族，上夜班的时候会完全错过规定的两个垃圾投放时间，只能在下夜班后(差不多有凌晨3点)分好类放置到相应的垃圾分类门前。结果次日早上8点有疑似社区人员砸门，首先作为独居女性面对这个情况是不敢开门的，其次严重影响了居民休息，本身就体弱现在导致心脏一度难受虚弱。接着这个砸门人员来电，态度极其恶劣，在我提议无法按时投放后对方表示“那是你自己的事情”。请领导解决问题！这样的做法是否过分了！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
租户噪音扰民，多次投诉居委会无果,已办理,政务 投诉,s***,2019-10-2213:54,我要投诉浦东新区周浦镇周阳路259弄的委居会，我的父母都是年过60的老人，由于响应国家土地征用建设更好家园而动迁到周浦镇周阳路259弄。在入住的两年时间里，楼上租户（周浦镇周阳路259弄6号楼30x室）扰民噪音一天比一天厉害，白天也就算了，每天晚上的严重扰民噪音都要持续到下半夜，严重影响其它住户休息。两年里无数次和该小区所在委居会交涉，都无果。现投诉该委居这种不作为的工作态度。据了解周浦镇周阳路259弄6号楼30x室是80平的两室户户型，住了两个家庭，包括四五个大人和四五个小孩子，不知道这种算不算群租呢?该委居会对于居民的多年困扰都是这种不管不问的恶劣态度，还有没有上级部门管理了？,浦东新区区委网信办,我要投诉浦东新区周浦镇周阳路259弄的委居会，我的父母都是年过60的老人，由于响应国家土地征用建设更好家园而动迁到周浦镇周阳路259弄。在入住的两年时间里，楼上租户（周浦镇周阳路259弄6号楼30x室）扰民噪音一天比一天厉害，白天也就算了，每天晚上的严重扰民噪音都要持续到下半夜，严重影响其它住户休息。两年里无数次和该小区所在委居会交涉，都无果。现投诉该委居这种不作为的工作态度。据了解周浦镇周阳路259弄6号楼30x室是80平的两室户户型，住了两个家庭，包括四五个大人和四五个小孩子，不知道这种算不算群租呢?该委居会对于居民的多年困扰都是这种不管不问的恶劣态度，还有没有上级部门管理了？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
博兴路无证洗车点夜间严重扰民,已办理,环保 投诉,y***,2019-10-2118:48,浦东新区区委书记翁祖亮，您好！向您反映浦东新区博兴路浦东模范中学北小门（消防通道）处有一个无证洗车点，多年来一直占用人行道及机动车道洗车的情况。希望区领导关注，相关部门牵头，街道领导负责，联合公安市场监督、环保、水务、城管等部门联合进行整治，取缔无证洗车点。该洗车点水、电从旁边小区住户处沿小区外墙栏杆向西拉出十多米，在夜间十点至十一点间出摊洗车，高压水枪的嗞嗞声、开关车门的砰砰声、磕打脚垫的啪啪声以及相关人员的喧哗声在寂静的深夜突显出来，让人难以入眠。洗车导致马路上污水横流，产生湿滑现象，并且非法占用人行道及机动车道，这些都带来了交通安全隐患。洗车污水直排城市下水排放系统，造成环境污染。特别指出的是该非法无证洗车点为逃避打击，每天在夜间十点后出来营业一直持续到第二天早上六点，利用时间差造成监管困难。该洗车点服务的对象基本上是夜间行驶交班出租车，这些年这个洗车点一直存在，出租车司机都知道这个地方，所以每天深夜车辆源源不断来洗车，严重扰民。希望留言能够引起领导及相关部门的重视，依法取缔，还美丽上海夜间的一份宁静。,浦东新区区委网信办,浦东新区区委书记翁祖亮，您好！向您反映浦东新区博兴路浦东模范中学北小门（消防通道）处有一个无证洗车点，多年来一直占用人行道及机动车道洗车的情况。希望区领导关注，相关部门牵头，街道领导负责，联合公安市场监督、环保、水务、城管等部门联合进行整治，取缔无证洗车点。该洗车点水、电从旁边小区住户处沿小区外墙栏杆向西拉出十多米，在夜间十点至十一点间出摊洗车，高压水枪的嗞嗞声、开关车门的砰砰声、磕打脚垫的啪啪声以及相关人员的喧哗声在寂静的深夜突显出来，让人难以入眠。洗车导致马路上污水横流，产生湿滑现象，并且非法占用人行道及机动车道，这些都带来了交通安全隐患。洗车污水直排城市下水排放系统，造成环境污染。特别指出的是该非法无证洗车点为逃避打击，每天在夜间十点后出来营业一直持续到第二天早上六点，利用时间差造成监管困难。该洗车点服务的对象基本上是夜间行驶交班出租车，这些年这个洗车点一直存在，出租车司机都知道这个地方，所以每天深夜车辆源源不断来洗车，严重扰民。希望留言能够引起领导及相关部门的重视，依法取缔，还美丽上海夜间的一份宁静。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
夜间环卫清运作业严重扰民,已办理,城建 咨询,l***,2019-10-1916:37,上海市浦东新区惠南镇南园路锦园坊西门垃圾处理站，夜间作业严重扰民，至少已持续半年多。夜间环卫作业时间跨度为凌晨2点至6点多，期间分2-3次，每次持续时间30-45分钟，平均作业噪音在50-70分贝，突发噪音超过70分贝。请上海的城市管理者履行对城市管理的职责，调阅这半年多该区域垃圾清运车辆的作业时间和位置，现场核查作业噪音的准确值，听取附近居民的意见，采取有效措施保障居民夜间休息，对违反管理办法的单位采取措施。,浦东新区区委网信办,上海市浦东新区惠南镇南园路锦园坊西门垃圾处理站，夜间作业严重扰民，至少已持续半年多。夜间环卫作业时间跨度为凌晨2点至6点多，期间分2-3次，每次持续时间30-45分钟，平均作业噪音在50-70分贝，突发噪音超过70分贝。请上海的城市管理者履行对城市管理的职责，调阅这半年多该区域垃圾清运车辆的作业时间和位置，现场核查作业噪音的准确值，听取附近居民的意见，采取有效措施保障居民夜间休息，对违反管理办法的单位采取措施。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
星美国际影城储值套餐兑换券不能正常使用,已办理,文娱 投诉,r***,2019-10-1916:10,您好!我在10月1号购买了，星美国际影城的“家庭团-A套餐”，5张兑换券99元元，有效期是2018年10月31日的。10月1日当天，我使用了3张兑换券。10月17日当我打算用剩余未使用的两张套餐券购电影票时，发现公众号购买窗口中显示兑换券过期，无法使用。我打了他们的全国客服电话10049总是“客服忙”，在公众号上留言，在网站上联系在线客服，都联系不上任何人员，无人给我任何答复。,浦东新区区委网信办,您好!我在10月1号购买了，星美国际影城的“家庭团-A套餐”，5张兑换券99元元，有效期是2018年10月31日的。10月1日当天，我使用了3张兑换券。10月17日当我打算用剩余未使用的两张套餐券购电影票时，发现公众号购买窗口中显示兑换券过期，无法使用。我打了他们的全国客服电话10049总是“客服忙”，在公众号上留言，在网站上联系在线客服，都联系不上任何人员，无人给我任何答复。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
6号线,待回复,交通 建言,n***,2019-10-1910:03,每天早上6号线上面人特别多， 被挤进挤出，虚胖的小胖子被挤成肉包子啦,,,
老板拖欠农民工的工钱,已办理,城建 求助,匿***,2019-10-1815:49,尊敬领导，我是四川来上海的一个农民工，干的外脚手搭设，干活前讲好的是外脚手搭好付钱，按建筑平方一平方十元钱，可是做好老板一拖再拖，实在没有办法。请领导为你治下的农民工兄弟解决一下问题，工人情绪很不稳定防止意处发生。敬请领导在百忙之中过问一下。祝领导身体健康工地中建八局，地址拱秀路城西路,浦东新区区委网信办,尊敬领导，我是四川来上海的一个农民工，干的外脚手搭设，干活前讲好的是外脚手搭好付钱，按建筑平方一平方十元钱，可是做好老板一拖再拖，实在没有办法。请领导为你治下的农民工兄弟解决一下问题，工人情绪很不稳定防止意处发生。敬请领导在百忙之中过问一下。祝领导身体健康工地中建八局，地址拱秀路城西路,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
