要求英孚英语退款退贷,待回复,教育 求助,G***,2019-11-0417:17,王区长，您好。本人在上海市长宁区长宁路1018号龙之梦商场的英孚英语报了24个月的线上线下课程，上了几次课后，发现课程内容和介绍相差甚远，报名时说：1.全程课程顾问会全程负责、跟踪指导，实际上从上课到到要求退款5个月以来，就联系过我一次。2.小组会话一节课45分钟，自我介绍就要浪费10分钟。3.遇到单词发音不确定时，向老师询问，老师不管你读的是什么，老师都说对。4.上课级别根据每人的测试结果进行安排课程，没有测试，直接写了一级，上课又是三级。5.学习过程中，我发现我和别人花一样的钱，上课的时长不一样，别人都是30个月，我才25个月。我第一次要求退款，却拒绝我退款。因为教学质量的下降，我实在忍受不了再次要求退款。我提出退款后，英孚一开始是拒绝的，要求我发律师函再说，后来又要收取我7个月的课程费+剩余金额的20%违约金。后来我咨询过很多退款的学员，大家退款方案各不相同，同一个地区，同一个中心，竟也会有差异，是欺负我吗？价值38949的课程，我才上课5个月，却要扣我近20000元的课程费，这是什么逻辑？退款之路艰难，望区长帮帮我吧。,,,
历史保护建筑管理“缺位”令市民担心,待回复,城建 投诉,y***,2019-04-2014:47,长宁区区长顾洪辉，你好：     反映长宁区虹桥路2310号的沙逊别墅（罗别根别墅）文物保护建筑1989年9月25日，该花园被列为上海市优秀近代建筑，市文物保护单位。在使用权和产权更迭后，常年处于失修、失管状态，任凭日晒雨淋和人为破坏，结构腐蚀、环境脏乱，令他们十分心疼。部分屋顶瓦片已破损掉落，再不进行修善的的，有可能部分屋面会塌陷。房屋内部破旧不堪，外墙斑驳渗水，花园都被严重破坏……这竟是部分历史保护建筑如今的境遇。 相关文保专家呼吁，历史保护建筑不能因产权更迭失去管理，应做好保护措施，让它们发挥出“余热”。    希望相关文物保护部门也应尽到主管责任，敦促房屋的业主们把老建筑保护起来，尽快制定计划修善，并指导修善建筑受损的部分，别让历史保护建筑以断垣残壁“见人”。,,,
违法建筑房何时才能拆除,待回复,城建 投诉,y***,2019-01-3019:29,       反映长宁区江苏路495弄47号（百年保护建筑）底层天井外墙有个无证的彩钢复合板顶、砖结构的违建房，这个违建房严重地影响了城市的形象，更妨碍了百年保护建筑的修缮。希望长宁区政府有关部门按照“五违四必”精神，拆除这个违章搭建。,,,
违章建筑临时疏导点存在安全隐患,待回复,城建 建言,y***,2018-12-2417:53,    长宁区区长顾洪辉，你好：    反映长宁区虹古路355弄虹古路违章建筑临时疏导点，存在严重安全隐患，一旦临时疏导点发生火灾事故，后果严重。希望长宁区政府有关部门尽快拆除这存在消防安全隐患虹古路临时疏导点，切实提升长宁区文明城区的形象。 ​​​​,,,
拆除楼顶有多处违法户外广告,待回复,城建 投诉,y***,2018-12-1216:19,长宁区区长顾洪辉，你好：     反映长宁区新泾镇剑何路429号和仙霞西路88号西郊百联商场楼顶有多处违法户外广告，该处大型户外广告设置年限已久，四周都是交通要道和居民区，大风一刮非常的危险，市民对这个巨大的公共安全隐患防不胜防。存在严重的安全隐患。            希望长宁区政府根据本市户外广告专项整治方案要求，对影响城市形象的该处违法楼顶户外广告依法予以拆除，保障行人的安全，切实提升长宁区城区形象,,,
拆除违法楼顶户外广告,待回复,城建 投诉,y***,2018-11-2515:43,反映长宁区新泾镇剑何路429号楼顶有多处违法户外广告，该处大型户外广告设置年限已久，四周都是交通要道和居民区，大风一刮非常的危险，市民对这个巨大的公共安全隐患防不胜防。存在严重的安全隐患。            希望长宁区政府根据本市户外广告专项整治方案要求，对影响城市形象的该处违法楼顶户外广告依法予以拆除，保障行人的安全，切实提升长宁区城区形象。,,,
违法建筑房何时才能拆除,待回复,城建 投诉,y***,2018-11-1508:24,长宁区区长顾洪辉，     反映上海市长宁区空港六路221号内有多个黄色的房属无证的违建房，违建房紧贴着原英国领事馆霍更斯别墅（2010年左右被列入上海市第四批优秀历史建筑名单，编号4M046）。这些违建房严重地影响了城市的形象，更妨碍了优秀历史建筑的修缮。为何公家的违章建筑这么难以拆除啊……？       希望长宁区政府有关部门按照“五违四必”精神，拆除这些违章搭建。,,,
10月份新个税5000标准，拼多多公司未执行,待回复,企业 投诉,W***,2018-11-0310:49,10月份新个税5000标准，拼多多公司未执行，仍然按照3500标准扣除，麻烦查询确认,,,
违规破墙开门，违规占据绿化带,待回复,城建 投诉,y***,2018-10-2116:35,长宁区区长顾洪辉，你好    反映长宁区程家桥街道程家桥路82号一饮食店旁，违规破墙开门，违规占用绿化带经营，严重地影响长宁区全国文明城区的影响，也影响市容市貌。国际博览会即将在上海举办，希望程家桥街道有关部门依法对这违规行为予以整治。,,,
取缔人行道上违规设置的停车场点,待回复,城建 投诉,y***,2018-09-2513:36,长宁区区长顾洪辉，你好：   反映长宁区虹桥路1488号的高架下确已设置停车场点，部分车主将车停留在人行道和盲道上，给市民出行造成了不便。人行道是供人行走的，不是给作停车场的……？希望长宁区政府关注此违规行为，取缔人行道上违规设置的收费停车场点，以良好的形象迎接国际博览会举办！ ​​​​,,,
两处违规户外广告何时才能拆,待回复,城建 投诉,y***,2018-09-2214:48,长宁区区长顾洪辉，你好：    反映长宁区新泾镇两处违规户外广告，一是剑何路429号楼顶有多处违法户外广告；二该西郊百联购物中心（仙霞西路88号）楼顶有多处违法户外广告。二处大型户外广告设置年限已久，剑何路429号该大楼上安装着大广告牌，四周都是交通要道和居民区，西郊百联购物中心（仙霞西路88号）装着大广告牌，周边都是交通要道，购物中心人流量大，大风一刮非常的危险，市民对这个巨大的公共安全隐患防不胜防。存在严重的安全隐患。户外广告牌砸伤人事件频繁发生，让其中虽有天灾，但也不乏人为因素，年久失修无人维护，私自设立广告牌等种种原因，不仅影响着市容市貌、破坏城市现代文明，还日益威胁着 无辜者的生命，成为公共安全新的隐患      希望长宁区政府根据本市户外广告专项整治方案要求，在国际博览会前，对影响城市形象的二处违法楼顶户外广告依法予以拆除，保障行人的安全，切实提升长宁区城区形象。,,,
人行道上设置停车场影响路人行走,待回复,城建 投诉,y***,2018-09-1218:25,    反映长宁区虹桥路1488号（纺织控股公司）门前的高架下确已设置停车场点，有的车主把车停留在人行道盲道上，给市民出行造成了不便。人行道无疑是留给行人的，请问？谁有权同意在上街沿上违规设置停车场的？希望长宁区政府整治人行道乱违规停车现象，取缔这无证停车场点，把公共道路让出来，还路于民。,,,
户外广告牌存在安全隐患,待回复,城建 投诉,y***,2018-09-1016:01,长宁区区长顾洪辉，你好：     上海市长宁区新泾镇两处违规户外广告，一是剑何路429号楼顶有多处违法户外广告；二该西郊百联购物中心（仙霞西路88号）楼顶有多处违法户外广告。二处大型户外广告设置年限已久，剑何路429号该大楼上安装着大广告牌，四周都是交通要道和居民区，西郊百联购物中心（仙霞西路88号）装着大广告牌，周边都是交通要道，购物中心人流量大，大风一刮非常的危险，市民对这个巨大的公共安全隐患防不胜防。存在严重的安全隐患。户外广告牌砸伤人事件频繁发生，让其中虽有天灾，但也不乏人为因素，年久失修无人维护，私自设立广告牌等种种原因，不仅影响着市容市貌、破坏城市现代文明，还日益威胁着无辜者的生命，成为公共安全新的隐患。如今，在高楼林立的都市中，高空坠落物现象越来越多，轻则受伤，重则夺命。对于屡见不鲜的高空坠物事件，就像一颗颗炸弹时刻威胁着市民的生命和财产安全。近期黄浦区南京东路132号一商店店招脱落，砸中9人，这一血的教训，应引起有关部门领导的高度重视。希望长宁区政府根据本市户外广告专项整治方案要求，在国际博览会前，对影响城市形象的二处违法楼顶户外广告依法予以拆除，保障行人的安全，切实提升长宁区城区形象,,,
8.11携程四钻加拿大游酒店卫生不达标,待回复,旅游 投诉,W***,2018-09-0710:19,方女士一行3人在上海携程国际旅行社有限公司报名参加四钻加拿大游，行程日期：8月11日-8月24日，费用：共102228元。方女士表示:1、其8月20日-8月23日入住了桑德曼特色温哥华机场度假酒店（Sandman Signature Vancouver Airport Hotel & Resort）306号、308号房，其第一天晚19：30到店，直至22:00才入住，作为一家国际酒店，携程上规定入住时间是15:00之后就可以入住，结果到了酒店，酒店傲慢回复所有客房都没打扫过，于是等到22:30酒店所谓打扫好才让我们入住，结果入住后发现床单未换且有前客户使用所留下头发、口红印等脏物，且马桶有大便未冲掉，这是携程四钻旅游线路应该配备的酒店嘛!不能按时入住，入住后发现卫生条件根本达不到入住标准。半夜23:30左右有不明身份的人狂砸门，一路砸过去，其认为该酒店存在人身安全隐患，后经同团旅游的人说是醉汉，该酒店是有梯控的，半夜醉汉怎么能上电梯砸门呢？2、该酒店的住宿环境、条件和服务质量，管理与携程做宣传的旅游产品线品质标准完全不符合，与行程中其他同级酒店相比完全不达标，甚至不如行程中的汽车旅馆的卫生条件，管理服务标准。虽然酒店事后也很敷衍的表示了歉意，携程领队也很真诚道歉，但是由此造成后续旅游很大影响。温哥华如此差的酒店，携程还在今日头条上做美化的虚假宣传。诉求:携程应针对该酒店对后四钻加拿大游后续影响给予赔偿。,,,
作为武夷路347号同住人至今未看到动拆迁合同,待回复,城建 投诉,W***,2018-09-0620:19,作为武夷路347号同住人，曾经到动拆迁办要看动拆迁合同以及该地块动拆迁政策法规文件，该经办人说去找承租人，承租人也不肯拿合同和相关政策法规来看，现在作为同住人连动拆迁的知情权都被动拆迁办剥夺了，还与承租人来回踢皮球。诉求:就是能看到动拆迁完整合同和该地块动拆迁相关法律法规。谢谢。,,,
整治违规破墙开门,待回复,城建 投诉,y***,2018-08-2616:36, 长宁区区长顾洪辉，你好：    长宁区程家桥街道程桥二村1号外面门卫室违规破墙开门，擅自改变房屋使用性质，不仅破坏了房屋结构，造成安全隐患，还影响周围环境。希望有关部门按照“五违四必“精神，对这处违规破墙开门，擅自改变房屋使用性质违章建筑在进博会前依法予以拆整治，依法砌墙“封门”，恢复房屋原状，让城市市容秩序更加规范，城市环境更加整齐。,,,
户外广告牌存在安全隐患,待回复,城建 投诉,y***,2018-08-1408:11,长宁区区长顾洪辉，你好：    反映长宁区两处违规户外广告，一是剑何路429号楼顶有多处违法户外广告（如：如家酒店、布丁酒店连锁、火龙果KTV）；二该西郊百联购物中心（仙霞西路88号）楼顶有多处违法户外广告。二处大型户外广告设置年限已久，剑何路429号该大楼上安装着大广告牌，四周都是交通要道和居民区，西郊百联购物中心（仙霞西路88号）装着大广告牌，周边都是交通要道，购物中心人流量大，大风一刮非常的危险，市民对这个巨大的公共安全隐患防不胜防。存在严重的安全隐患。户外广告牌砸伤人事件频繁发生，让其中虽有天灾，但也不乏人为因素，年久失修无人维护，私自设立广告牌等种种原因，不仅影响着市容市貌、破坏城市现代文明，还日益威胁着无辜者的生命，成为公共安全新的隐患。如今，在高楼林立的都市中，高空坠落物现象越来越多，轻则受伤，重则夺命。对于屡见不鲜的高空坠物事件，就像一颗颗炸弹时刻威胁着市民的生命和财产安全。昨晚黄浦区南京东路132号一商店店招脱落，砸中9人，这一血的教训，应引起有关部门领导的高度重视。希望长宁区政府根据本市户外广告专项整治方案要求，有关部门要尽快将其纳入拆除计划，在国际博览会前，对影响城市形象的二处违法楼顶户外广告依法予以拆除，保障行人的安全，切实提升长宁区城区形象。,,,
违法户外广告依法予以拆除,待回复,城建 投诉,y***,2018-08-0109:42,长宁区区长顾洪辉长宁区剑何路429号楼顶有多处违法户外广告（如：如家酒店、布丁酒店连锁、火龙果KTV），该大楼几处大型户外广告设置年限已久，且未及时有效维护，这楼顶多处违法户外广告存在严重的安全隐患。希望长宁区政府尽快在国际博览会前，对影响城市形象该楼顶多处违法户外广告依法予以拆除。 ​​​​,,,
关于武夷路290弄阳光征收“照阴霾”,待回复,城建 投诉,H***,2018-07-1807:59,区委领导，您好！ 我是上海市长宁区武夷路290弄5号居民。2016年12月我们收到区政府对290弄4号、5号作为一级旧里改造试点基地的征收通知，我们全体41户居民都欢呼雀跃，心存感激。同时作为一级旧里征收的还有武夷路337弄、305弄和长宁路678弄以及镇宁路405弄32-40号，项目一起启动，只是签约时间分先后。 动迁组开会时告知我们，因为作为一级旧里，区政府规定是需要全体征收居民100%的签约率才能启动征收决定。 但是对面337弄305弄和镇宁路405弄和我们相同情况，却90%的通过率。真是阳光征收照阴霾！为此对面三个弄堂都顺利搬迁了，而我们290弄第一批启动，却至今未搬。 2017年12月28日我在区信访办的信件投诉过此事。此事至今仍未解决。现在区里房管所同志说，是因为市里觉得我们的动迁款过高（注意，我们的动迁补偿条件和搬走的337弄305弄一样），所以搁置至今。我想问问领导，究竟何为阳光政策？公开公平公正为什么到我们这里就没有办法得到体现？为何本来开心的事情，为居民办实事好事的事情，现在弄得39户人家，天天疲于奔波，而且被各部门像踢皮球一样踢来踢去，大家真的非常气愤！一年半了，这个事情究竟要拖到几时解决？望290弄征收事件为各位干部敲响警钟！领导们能强化“等不起”的紧迫感、“慢不得”的危机感、“坐不住”的责任感。盼我们290弄老百姓只是要求公平公正公开对待，区办事员老是找借口来搪塞我们，那些因为征收款过高市里通不过都借口我们都觉得可笑，难道这个征收补偿条款不是区里事先批下来的并在网上公示过的吗？我们不想爆粗口，我们始终对我党有信心，也请党能为百姓办实事，事已至此，有些百姓甚至认为是动迁款项被挪用了，我不相信没有证据的猜测，但是也请党给我们信心，为290弄没有马桶的危房旧区改造进行到底。为大部分老百姓谋福利，不能因为少数人（2家居民没有同意所以没有100%通过）不合理的要求，而牺牲大部分群众的利益。望尽快的，用真正的阳光政策，公平公正的解决好武夷路290弄的征收问题！到今天为止又半年过去了，望投诉之路遥遥有期~,,,
人行道上设置停车场影响路人行走,待回复,城建 投诉,y***,2018-06-2710:42, 长宁区区长顾洪辉，你好：长宁区虹桥路1488号旁的上街沿被圈成停车场 有的车主把车停留在人行道盲道上，？？？？给市民出行造成了不便。听说此上街沿经区什么部门批准作为收费停车场。人行道无疑是留给行人的，请问？谁给的权同意在上街沿上违规设置停车场的？国家博览会即将在上海举办，希望长宁区政府整治人行道乱违规停车现象，把公共道路让出来，还路于民。,,,
老洋房上有违章建筑,待回复,城建 建言,y***,2018-06-0507:39,长宁区区长顾洪辉，你好：反映长宁区虹桥路1702号二楼洋房上有一塑钢门窗违章建筑，门面也是违章。国际博览会即将在上海举行，虹桥路是城市形象窗口，这违章建筑严重地影响市容市貌。希望有关部门依法拆除这一违章建筑，恢复老洋房的原貌。 ​​​​,,,
这大型违规户外广告何时才能拆,待回复,城建 投诉,y***,2018-05-0211:19, 长宁区区长顾洪辉，你好：    反映长宁区虹桥路１４８８号 上海纺织疗养院房顶上有1处大型违规户外广告，随着年久固定的铁架开始锈蚀，存在安全隐患。立面环境是一座城市形象的重要展示窗口，体现着城市的品位和形象，这违规设置的广告牌不仅影响了市容美观，更存在一定的安全隐患。请问：这大型户外广告牌什么时候才能拆除？希望长宁区政府切实整改，开展排查，依法组织拆除位于上海纺织疗养院房顶上的大型户外广告，最大限度消除该处户外广告的安全隐患，为“迎接国际博览会顺利在上海举办”提供良好的城市形，改善上海长宁区城市的市容市貌。,,,
虹井路996号这段人行道窄到令人不能走,待回复,城建 建言,y***,2018-04-1207:32,长宁区区长顾洪辉，你好：   人行道是供人行走的，可有这样一条人行道只能供一个人通过，这样的人行道肯定让你崩溃。但长宁区虹井路996号（虹桥路虹井路口）这段马路人行道非常狭窄只能容一人通行，市民过往十分不便。行人只得从非机动车上走。这里近上海动物园，双休日、节假日人流量较多，窄小的人行道把行人都“逼”上了慢机动车道，导致“人车混行”现象非常严重，给周边群众（尤其是盲人）出行带来很大不便。给行人（尤其是盲人）行走带来了安全隐患。希望相关部门积极协商，采取拆除部分绿化带，对人行道进行拓宽的方案，并把这问题纳入政府规划之中去。市民亟盼早日拓宽这段人行道。,,,
拆除沿街违章搭建的玻璃房,待回复,城建 投诉,y***,2018-03-1607:38,反映长宁区仙霞街道仙霞路686号左边沿街有一违章搭建的玻璃房，这明显的无审批的违章搭建的玻璃房，严重影响市容市貌也影响长宁区全国文明城市的形象。对于市民的呼声，希望长宁区政府积极调查，仙霞街道执法部门必须按照《实施》精神，尽快依法拆除这影响城市景观的“存量违建”——玻璃房。,,,
一个找工作，背上上万网贷的穷人,待回复,就业 求助,帅***,2018-03-0415:53,区长您好！我是一名刚入社会的青年，在2016年8月份，被一家公司以招聘的手法诱骗至长宁区延安西路875号，以工作报酬丰厚为由，骗我与他们公司签订就业协议。在他们公里培训。协议显示，培训完成，月薪不低于5000快。但是培训是有偿的，我说没有那么多钱，他们就让我在他们推荐的一家名叫课栈网贷公司贷款，现在工作没有，却身负万元巨款。无法偿还。请您可以帮帮我。活不下去。,,,
门面违建玻璃房须尽快拆除,待回复,城建 投诉,y***,2018-02-0411:32,长宁区仙霞路686号左边有一违章搭建的玻璃房，严重影响市容市貌也影响长宁区全国文明城市的形象。对于市民的呼声，希望长宁区有关部门积极调查，如认定为违法建筑，必须尽快依法拆除这影响城市景观的“存量违建”——玻璃房。 ,,,
拆除私设栏杆现象,待回复,城建 投诉,y***,2017-12-2212:57,反映长宁区虹井路868号宝京足道店门口的人行道上违规私设栏杆。严重地影响长宁区全国文明城区形象。希望长宁区有关部门整治宝京足道店门口的人行道上违规私设栏杆，尽快拆除私设栏杆现象。,,,
拆除违章搭建的玻璃房,待回复,城建 投诉,y***,2017-12-2107:56,反映长宁区仙霞路686号左边街面有一违章搭建的玻璃房，严重影响市容市貌也影响长宁区全国文明城市的形象。对于市民的呼声，希望长宁区政府积极调查，如认定为无证违法建筑，必须尽快依法拆除这影响城市景观的“存量违建”——玻璃房。 ​​​​,,,
门面违建玻璃房须尽快拆除,待回复,城建 投诉,y***,2017-12-2008:14,反映长宁区仙霞路686号左边有一违章搭建的玻璃房，严重影响市容市貌也影响长宁区全国文明城市的形象。对于市民的呼声，希望长宁区有关部门积极调查，如认定为违法建筑，必须尽快依法拆除这影响城市景观的“存量违建”——玻璃房。,,,
门面违建玻璃房须尽快拆除,待回复,城建 投诉,y***,2017-12-1519:45, 长宁区区长顾洪辉 ，你好：反映长宁区仙霞路686号左边有一违章搭建的玻璃房，严重影响市容市貌也影响长宁区全国文明城市的形象。对于市民的呼声，希望长宁区有关部门积极调查，如认定为无证违法建筑，必须尽快依法拆除这影响城市景观的“存量违建”——玻璃房。,,,
依法拆除违章户外广告公司招牌,待回复,城建 投诉,y***,2017-12-0210:41, 长宁区区长顾洪辉，你好：反映长宁区虹桥路１４８８号 上海纺织疗养院房顶上有1处大型违规无证户外公司招牌，随着年久固定的铁架开始锈蚀，存在安全隐患。这户外广告设施不仅破坏城市景观和街头风貌，还污染人们的视觉神经。违规广告牌不仅影响城区市容市貌，还存在极大的安全隐患。请问：这大型户外广告牌什么时候才能拆除？【上海市长宁区网格中心】反馈，经执法局认定，上海市虹桥路1488号上海纺织屋顶设施并非户外广告而是其公司招牌，至于安全问题我局已要求上海纺织方面提供安全年检报告。请问：无审批的“户外广告公司招牌”算不算户外广告公司……？    希望长宁区政府切实整改，开展排查，依法组织拆除位于上海纺织疗养院房顶上的大型户外广告公司招牌，最大限度消除该处户外广告的安全隐患，改善上海城市的市容市貌。,,,
人行道被房占据 影响路人通行,待回复,城建 投诉,y***,2017-08-2016:06,上海市长宁区虹井路996号这段人行道被一个老破旧的小房子占据，人行道窄到令人不能走，行人只得从非机动车上走。这里近上海动物园，双休日、节假日人流量较多，公交车站上下客人山人海，把行人都“逼”上了慢机动车道，造成人车混行。这房占住人行道既妨碍路人通行，也影响城市市容市貌，给行人（尤其是盲人）行走带来了严重安全隐患。希望市交通委牵头，协调相关部门，把这问题纳入政府实事工程之中去，不要推卸责任，尽早将其老破旧的小房子早日迁走。市民亟盼政府早日拓宽这段人行道。 ,,,
人行道窄到令人不能走,待回复,城建 投诉,y***,2017-08-1816:07, 长宁区虹桥路2376号（虹桥路虹井路口）这段马路被一个老式破旧的小房子不偏不倚的竖在人行道上，人行道窄到令人不能走。行人只得从非机动车上走。这里近上海动物园，双休日、节假日人流量较多，把行人都“逼”上了慢机动车道，人车混行，这房占住人行道既妨碍路人通行，也影响市容，给行人（尤其是盲人）行走带来了安全隐患。希望相关部门协调，并把这问题纳入政府规划之中去，将其早日迁走。市民亟盼早日拓宽这段人行道。,,,
共享单车乱堆放,待回复,城建 投诉,匿***,2017-08-1513:44,最近发现长宁区曹家渡附近，从隆德路桥下到曹家渡花鸟市场，多处出站共享单车堆积成山现象。明显是人为故意堆放。希望有关部门能管下。,,,
楼顶违建 安全隐患多,待回复,城建 投诉,y***,2017-08-0916:45,反映长宁区虹梅路3888弄延北小区1号、3号、5号、7号、9号、17号、19号等一些小区业主在顶层公共空间搭建了砖混结构的房屋和玻璃房，楼顶搭建均未办理任何审批手续，属于违法建设。楼顶天台在许多楼房中还是消防通道的一部分，万一住宅发生火灾时，楼顶肩负着人员疏散的重要作用，居民私自加盖房屋会侵占疏散面积，势必会影响疏散效率。因此逃生通道被堵，无疑隐患重重。同时，在楼顶加盖，会增加整栋楼的压力，对其他业主的生命财产安全造成了严重的威胁。相关部门表示，在房屋建成后，擅自改变房屋用途和结构，将会影响整栋楼的承重和房屋结构，带来安全隐患。希望长宁区政府区长顾洪辉关注此事，尽快依法将这些违法建筑予以全部拆除。,,,
黄梅季到来白蚁泛滥 危害居民建筑安全,待回复,环保 求助,z***,2017-06-1215:17,每年天气转暖，临近梅雨季节之时，夜晚就有大量白蚁出动。发现地点包括公共街道，小区，尤其是靠近苏州河的小区，白蚁大量飞入小区居民家里，即使20层以上的高层居民楼也不能幸免。给居民生活带来极大不便，也对建筑物安全造成隐患。希望政府有关部门采取有力措施，灭杀白蚁，给长宁市民一个安心的夏天。,,,
