标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
香格里拉买藏药被坑，价格高于市场价十倍,待回复,旅游 投诉,洪***,2019-11-1116:39,崔书记您好：我是来自新疆的游客，报的丽江➕香格里拉三日纯玩团，11月9号从丽江出发前往香格里拉。10号中午被自称拉姆的导游带到独克宗古城游玩，带领团队到了其所谓的村长家中，说村长贡献自己的家为周边村民提供销售藏药等商品的场所，希望我们能够照顾一下生意。导游明言我们的团费低，她的收入微薄，我们买东西她会有提成。之后店员介绍藏红花搭配一味叫阿嘎布勒的药材有奇效，除了癌症晚期不能治，其他的都能逢凶化吉。我明示仅想买藏红花和三七，店员非要我购买阿嘎布勒，说不拿这个搭配藏红花就是暴殄天物。店员抓药如装菜，袋子装满才肯罢休，上称显示350。店员克、两、斤混淆概念，让我误以为一共就350块钱。随后诱导我去打粉，说打粉才能发挥功效，且打粉就必须买，此时我说阿嘎布勒就350块钱是吗？店员闪烁其词，说7两，一两50克，一克18，我给你算12，说话间未给我任何反应机会就开启了打粉机，此刻才知道上当了，光是这味药就四五千，其他药材一律没买，付完款店面未出具任何发票和收据。出门我在古城逛了一圈才知道此药就是鬼臼果，市价1块多每克，他们的价格高于市场十倍。此事希望得到领导重视，还云南旅游市场清明的环境。,,,
关于康美健康小镇违规建设及销售,待回复,城建 咨询,余***,2019-11-1116:34,崔书记您好！今天在这里再此反映丽江康美健康小镇房屋违规销售问题，现在问题已经出现，政府为何不协调企业正规化，让百姓安居乐业！,,,
香丽高速公路土官村隧道举报,待回复,交通 求助,a***,2019-11-0818:21,我在土官村隧道上班，老板叫我做的都是豆腐渣工程，有很严重的质量问题，二衬钢筋上两层的老板叫我们上一层，接口处十多根钢筋就直接不上，为避开检查，老板叫我们下午才去做，做好了就直接把混凝土打上，以后存在严重的安全隐患，危害老百姓,,,
泸沽湖鬼臼购买，恳请退货退款,待回复,旅游 投诉,E***,2019-10-2817:01,"我们一行人是从20号跟团从昆明到大理再到丽江旅游的，因为平时很少跟团旅游，这次跟团心里百般不是滋味，心里想着旅游业什么时候变成这样了，从第一天开始就在为之后的购物点作铺垫，其实各行各业不容易，有业绩压力作为游客我们是理解的，我们也只是平时上班累了，想出来放松下，却没想到人生中第一次被导游潜在的威胁，如果我们不购物，我们就是不让导游好过，我们没有带动云南经济的发展，我们是罪人。我以为只是个别的导游这样气势汹汹，殊不知再和其他车上的游客交流过程中，都是一样的套路，好像游客不购物就不够资格来欣赏云南的美景一样。
         直到我们最后一站来到泸沽湖摩梭人家，最开始的时候导游说带我们去摩梭人那里的特产店看看，希望多多支持他们，尤其是那里有他卓玛的柜台，说是可以给我们最优惠的价格，我竟然信以为真了。之后我们一行人就被带到了一个药材店，店里的工作人员就开始讲各种药材的功效，讲藏红花和鬼臼搭配能治疗妇科病预防宫颈癌的时候，我想着在丽江买了藏红花，就在这买点鬼臼，当时鬼臼标价是12元一克，导游说给我8元，然后工作人员拣了300克，不到几秒的时间就已经磨成粉了，算钱的时候，我一看怎么这么贵，但是碍于已经磨成粉了，",,,
就丽江金茂凯悦酒店退钱事宜,已办理,旅游 感谢,小***,2019-10-2812:21,十月初因为各种事情，我们（消费者）在丽江凯悦酒店发生了一些小矛盾，在工商局各位领导和酒店方积极配合的情况下，事情得以解决。工商局公正严明，酒店方也积极配合，事情得以解决，所向丽江执政表示感谢，向酒店也表示感谢。,丽江市书记市长信箱,十月初因为各种事情，我们（消费者）在丽江凯悦酒店发生了一些小矛盾，在工商局各位领导和酒店方积极配合的情况下，事情得以解决。工商局公正严明，酒店方也积极配合，事情得以解决，所向丽江执政表示感谢，向酒店也表示感谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
云南丽江旅游，沪沽湖购买银梳子售后服务,待回复,旅游 感谢,姚***,2019-10-2416:46,我非常非常感动，在我写了留言以后，那么多的人马上就及时跟我联系啦，有工商，有税务，有旅游局，旅行社。还有商家也马上协调退货的事宜，非常感谢丽江市政府！我对这次的云南旅游之行非常非常的满意，丽江非常非常的美，我的酒店，我的导游，我的整个行程让我非常非常的愉快，嗯，为什么会在领导留言里面写到一些东西，是因为我担心异地退货不太顺利，会不会正常退货，所以对于旅游的感觉写的就不太合乎事实。我现在对这件事情的处理非常非常的满意，并且我负责任的说，我的导游，我的行程都非常非常的棒。我愿意在此澄清，没有任何人强迫我购物，没有任何人诱导过我购物，我所有的买东西的行为都是自愿的，我的购物行为是在自己一个人完成的，没有导游陪同！再次感谢积极沟通处理昨日留言事项的各个领导人员！祝大家工作顺利！,,,
顺丰快递,已办理,企业 投诉,W***,2019-10-2413:03,2019年10月我从丽江发了一个顺丰快递到广东梅州，因为快递单方面的原因，快递延时，导致我的货品全部发霉，腐烂，快递公司一直强迫我接受他们的赔偿，否则不予处理，态度强硬，做为消费者我完全接受不了，我要求按照我购买物品的价格赔偿！从10月9日到现在了！,丽江市交通运输局,2019年10月我从丽江发了一个顺丰快递到广东梅州，因为快递单方面的原因，快递延时，导致我的货品全部发霉，腐烂，快递公司一直强迫我接受他们的赔偿，否则不予处理，态度强硬，做为消费者我完全接受不了，我要求按照我购买物品的价格赔偿！从10月9日到现在了！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
云南丽江泸沽湖旅游购物银梳子一把1233元,待回复,旅游 投诉,姚***,2019-10-2408:10,尊敬的领导您好，我是10月17日东莞连州商会组团到云南丽江旅游，本想度个美好的假期，没想到我们却被泸沽湖的人给骗了。在泸沽湖行程两天，其中有环节介绍摩梭族文化，也提到集体供销，挣工分，后面更是特别宣传银饰作用，介绍90多岁老人用银器，还有银梳梳头，刮痧等，说是对人体长寿健康作用非常大！同时，还官传纯手工！现场听的心动，购买一把银梳990银，包装简单，也无材质鉴订报告，价格1233元！10/21返回东莞后，才仔细看了解了一下，比市场价格高出一倍！现希望能退货返款！还请领取协助处理！,,,
手机号码被无故停机 17637326717,已办理,治安 求助,刘***,2019-10-2015:27,机号无故被封 尊敬的领导您好！本人到云南旅游，手机号被无故反诈封停，需致电088396110解决，但连续打了好多天都是无人接听，.被告知号码涉嫌违法，已影响到生活工作，望及时解决飞机票什么都没办法购买，谢谢！,丽江市书记市长信箱,机号无故被封 尊敬的领导您好！本人到云南旅游，手机号被无故反诈封停，需致电088396110解决，但连续打了好多天都是无人接听，.被告知号码涉嫌违法，已影响到生活工作，望及时解决飞机票什么都没办法购买，谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
关于泸沽湖买药被骗已自行解决,已办理,旅游 投诉,懒***,2019-10-1911:18,感谢领导对我们反应的问题进行了查看和审核 我们这边已经和当地药商顺利解决了  谢谢领导的关注 云南以后还会更好的 我们还回来 ,丽江市书记市长信箱,感谢领导对我们反应的问题进行了查看和审核 我们这边已经和当地药商顺利解决了  谢谢领导的关注 云南以后还会更好的 我们还回来 ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
泸沽湖买药被骗,待回复,旅游 投诉,懒***,2019-10-1820:17,我们第一次泸沽湖，导游带我们来到一家所谓农村合作社的买药的地方，还说有藏医为我们看病，于是抱着试试的心态去了，可是藏医为我看完后，就直接给我开了药，我拿着药单子，刚走到柜台钱就有导购小姐把我的单子拿走说给我开药，于是我等着她开药后，我想看看药材，可是没看到药，他们就直接给我们来泸沽湖被导游带到所谓农村合作社的地方买药，说还有藏医为我们看诊，看完诊藏医就为我开了药单，我刚走到柜台前，那里的导购就把药单拿走说是给我配药，我还在等待看看药什么样的时候，他们就把磨成粉的药给我拿过来，算下钱来一共是12700当时我就觉得太贵了，可磨成了粉就不给退的，还推荐我们买了东虫下草，又花2000回到车上我们才知道被骗了，这里的药比一般的都要贵上好几倍，我们不想对云南旅游失去信心，希望领导合理处理我们这个事情，我要求全款退回，也可以把药品原方不动的退回去,,,
云南香丽高速拖欠民工工资,已办理,交通 咨询,西***,2019-10-1717:27,领导您好，我们在香丽高速十二标三工区干活，因为三工区和十二标闹矛盾倒置我们的工资一直无人支付，去年在玉龙县政府，劳动局，政法委，公安局等几个部门的协调下达成一个临时解解方案，由三工区罗X全先付我们70万，过完年一个月内由十二标在付70万，可到现在我们只拿到了罗X全的70万，十二标的根本没打算给，我这两天在玉龙县几家政府部门都去了一个推一个，根本没人管这个事了，我们现在是壮告无门了，希望您能帮帮我们。,玉龙县人力资源和社会保障局,领导您好，我们在香丽高速十二标三工区干活，因为三工区和十二标闹矛盾倒置我们的工资一直无人支付，去年在玉龙县政府，劳动局，政法委，公安局等几个部门的协调下达成一个临时解解方案，由三工区罗X全先付我们70万，过完年一个月内由十二标在付70万，可到现在我们只拿到了罗X全的70万，十二标的根本没打算给，我这两天在玉龙县几家政府部门都去了一个推一个，根本没人管这个事了，我们现在是壮告无门了，希望您能帮帮我们。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
花马街路面维修超过一个月了，何时可以通车,已办理,城建 咨询,纳***,2019-10-1315:28,尊敬的领导，我就想问一下花马街不到一公里的路面，维修超过一个月都没完工，这个施工速度真是不敢恭维，修路大家都支持，错过了一个旅游旺季我们也能接受，但是不能这样效率低下遥遥无期，希望领导能跟进督促一下进度，尽快完工。,古城区住房和城乡建设局、古城区城市管理局,尊敬的领导，我就想问一下花马街不到一公里的路面，维修超过一个月都没完工，这个施工速度真是不敢恭维，修路大家都支持，错过了一个旅游旺季我们也能接受，但是不能这样效率低下遥遥无期，希望领导能跟进督促一下进度，尽快完工。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
泸沽湖银碗退货退款事宜已解决,已办理,旅游 感谢,亲***,2019-10-1314:11,尊敬的领导，非常感谢您的跟进和督促，央金拉姆和商家目前均已经及时和本人取得联系，并已经成功退货退款。商家称该银碗可能因手工加工，故制作工艺可能不会十分完美，本人对此予以理解。同时，本人了解到当时商家确实不存在强制购物的情形，本人母亲在听当地风俗介绍时因容易产生对银碗功能的误解故未谨慎购买也存在一定的疏忽。为此，商家已经诚挚致歉，并承诺今后会注意加强货物质量监督和人员培训。总体而言，商家售后服务态度较好，处理迅速，货物还是值得放心购买的。最后，再次感谢崔书记的关注与支持，处理速度好评。,丽江市书记市长信箱,尊敬的领导，非常感谢您的跟进和督促，央金拉姆和商家目前均已经及时和本人取得联系，并已经成功退货退款。商家称该银碗可能因手工加工，故制作工艺可能不会十分完美，本人对此予以理解。同时，本人了解到当时商家确实不存在强制购物的情形，本人母亲在听当地风俗介绍时因容易产生对银碗功能的误解故未谨慎购买也存在一定的疏忽。为此，商家已经诚挚致歉，并承诺今后会注意加强货物质量监督和人员培训。总体而言，商家售后服务态度较好，处理迅速，货物还是值得放心购买的。最后，再次感谢崔书记的关注与支持，处理速度好评。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
泸沽湖银碗退货退款事宜,已办理,旅游 投诉,亲***,2019-10-1219:35,本人母亲在摩梭家访时因误信央金拉姆称银碗具有治病等功效(包括刮痧、失眠、关节炎、痛经等)，故以16.8元的价格购买了一只139克的银碗，共花费了2335元。但后来拆开包装后发现，银碗存在不同颜色色块、底部竖纹缺失、拆后立即变黄等质量瑕疵。此外，据查银碗实际无该夸大的治病功效。,宁蒗县文化和旅游局,本人母亲在摩梭家访时因误信央金拉姆称银碗具有治病等功效(包括刮痧、失眠、关节炎、痛经等)，故以16.8元的价格购买了一只139克的银碗，共花费了2335元。但后来拆开包装后发现，银碗存在不同颜色色块、底部竖纹缺失、拆后立即变黄等质量瑕疵。此外，据查银碗实际无该夸大的治病功效。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
购6幅字，想退4幅，卖家不退且不提供发票收据,已办理,旅游 求助,坐***,2019-10-1118:48,领导您好：我与爱人于9月28-10月7日报的云南10日团（去哪儿丽江旅游旗舰店，产品编号：783663514）。10月5日，摩梭篝火晚会开始前，因当时主持人介绍所以才买了6幅（其中4幅是成品，挂于屋内；另外2幅是按我们要求写的）。买后当晚，我认为买多了且有被忽悠之感，所以想退掉其中4幅，卖家采用拖延策略（明知我们次日早上走，说让我们次日晚上到篝火晚会现场去退），导致我们无法退货。且卖家以这是临时搞活动为理由，不提供任何发票和收据。云南风景秀丽，物产丰富，其他购物店都是30天内无理由退货，也让游客明白方向的购物。而这次买的字画比较多，我想退掉其中4幅，但卖家找理由推脱。请领导予以协调和帮忙。在此感谢各位领导，祝好！,宁蒗县文化和旅游局,领导您好：我与爱人于9月28-10月7日报的云南10日团（去哪儿丽江旅游旗舰店，产品编号：783663514）。10月5日，摩梭篝火晚会开始前，因当时主持人介绍所以才买了6幅（其中4幅是成品，挂于屋内；另外2幅是按我们要求写的）。买后当晚，我认为买多了且有被忽悠之感，所以想退掉其中4幅，卖家采用拖延策略（明知我们次日早上走，说让我们次日晚上到篝火晚会现场去退），导致我们无法退货。且卖家以这是临时搞活动为理由，不提供任何发票和收据。云南风景秀丽，物产丰富，其他购物店都是30天内无理由退货，也让游客明白方向的购物。而这次买的字画比较多，我想退掉其中4幅，但卖家找理由推脱。请领导予以协调和帮忙。在此感谢各位领导，祝好！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
无营业执照经营玉石店,已办理,旅游 投诉,M***,2019-10-1011:42,束河古镇鼎业街85号名叫万隆珠宝行，在国庆节期间无证经营，市场监督局警告第一次要求关门整顿，执法人员刚走，商家立马又把门打开做生意，试问这种商家怎么允许在束河做生意，抹黑丽江旅游市场，第二次被市场监督局查处后才老实了几天没有开门做生意，希望市领导对这种商家严惩，实际打着卖黄龙玉的幌子，其实店里卖的都是假玉石和工艺品，给游客带来不好的影响，影响丽江旅游业的形象，给旅游界抹黑，希望市领导重视,古城区市场监督管理局,束河古镇鼎业街85号名叫万隆珠宝行，在国庆节期间无证经营，市场监督局警告第一次要求关门整顿，执法人员刚走，商家立马又把门打开做生意，试问这种商家怎么允许在束河做生意，抹黑丽江旅游市场，第二次被市场监督局查处后才老实了几天没有开门做生意，希望市领导对这种商家严惩，实际打着卖黄龙玉的幌子，其实店里卖的都是假玉石和工艺品，给游客带来不好的影响，影响丽江旅游业的形象，给旅游界抹黑，希望市领导重视,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
云南旅游购物想退,待回复,旅游 求助,k***,2019-10-0908:38,尊敬的领导，您好。我于2019年4月跟团去云南游，行程至丽江市古城区导游安排去南盛观光珠宝城购物，6天旅游行程，3天在购物。南盛观光珠宝城是最后一个购物点，前两个购物点我们团没买什么东西，导游特别不高兴，在车上一直甩脸色，说什么出来旅游就要购物，不花钱就不要来丢人。路上说了好多，我印象最深的一句就是你们不让我好过你们也别想好过，下车前和我们说，旅途顺不顺利看你们今天的表现。下车后就随便开始逛了，我和一个朋友一起，想着导游刚刚说过的话，就想买一些东西。销售人员热情接待，耐心介绍，心动就买了一个黄龙玉挂坠，当时没想太多，感觉云南旅游市场刚刚整顿过不会有问题。确实，最后一天购物，大家应该消费了不少，看起来导游很满意。买回来后按照销售人员告知的保存方法，经常涂油。国庆假期想着让懂行的朋友帮忙看一下，结果朋友告知，真品没错，不过也就值当时花钱买它的零头。后来仔细看产品质量保证单，居然连章都没有，感觉被骗了。现在就想把东西原价退，所谓的收据没有盖章，我能提供银行卡的消费记录。希望领导能调查此事。,,,
恳请固定教师，不要频繁换老师,已办理,教育 求助,m***,2019-10-0816:45,我是孩子家长，孩子就读于玉龙中学，现于今年九月从学校本部升学到分部四年级，从新安排了老师，但听说玉龙县实施的是老师伦岗制度，一年以后又要换老师这对孩子来说有很大的影响，四，五，六年级对于孩子升学是个重要阶段。希望能像古城区一样固定老师提高玉龙县的教学质量。,玉龙县教育体育局,我是孩子家长，孩子就读于玉龙中学，现于今年九月从学校本部升学到分部四年级，从新安排了老师，但听说玉龙县实施的是老师伦岗制度，一年以后又要换老师这对孩子来说有很大的影响，四，五，六年级对于孩子升学是个重要阶段。希望能像古城区一样固定老师提高玉龙县的教学质量。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
拖欠工资求助,待回复,就业 投诉,爱***,2019-10-0716:09,尊敬的领导，您好！   我是一名现任职在宁蒗县到永胜县高速公路修建工程由河南省豫通工程管理咨询有限公司挂牌的一名现场监理，任职期间兢兢业业，但是，公司从今年5月份开始到今年10月份一直没有发放工资，公司领导也给我们讲了原因，但是，作为我们这些靠工资生活生存的人来说，几个月甚至半年不发放一次工资，让我们跟无业游民有什么区别呢。由于我年底结婚，各种支出都有需求问过公司领导几次，公司总以各种理由来解释为什么不发放工资。确实，工程方面的资金周转周期可能比较其它的都长，我们也能理解，但半年不发放一分工资，大家有的要养家糊口，像我没结婚要准备结婚的也是各种支出，还有世俗的各种人情世礼支出让人苦不堪言。我觉得，我们对公司的理解是一回事，但是用人单位总不能在招聘员工前就打算靠下面人的理解来解决资金周转导致拖欠工资达到半年之久的问题吧。毕竟作为一个平民老百姓来说，工作就是为了生活，为了生存，如果工作都不能按时得到回报，那我们用什么生活下去呢？这样我们的工作完全没了意义。所以，恳请领导能帮助我们！谢谢！！！,,,
的士乱收费,已办理,交通 投诉,丽***,2019-10-0615:36,地图上7公里多的路程，中间绕路说要干点什么事，绕到8.11公里。按照8.11公里计算价格，应该是27.33，结果表计出来是36.6。期间表记显示3.9一公里。事情发生在火车站出口正规的士，无法理解。,丽江市交通运输局,地图上7公里多的路程，中间绕路说要干点什么事，绕到8.11公里。按照8.11公里计算价格，应该是27.33，结果表计出来是36.6。期间表记显示3.9一公里。事情发生在火车站出口正规的士，无法理解。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
请给云南旅游树立好的榜样,已办理,旅游 投诉,新***,2019-10-0108:41,本人于2019年的9月24日上午在丽江旅游，途中导游带我们去鼎盛商行购买黄龙玉！我购买了一个黄龙玉观音挂件消费了4680元！返程到家后发现观音里挂件出现了絮状物，一团团的！后给懂行的朋友鉴定！质地不好，价格虚高！被人欺骗的感觉真的不好！几天就发现问题！希望领导为我们消费者做主能退掉！让商家和导游别这么黑心收费！还云南旅游郎朗乾坤！先感谢领导,丽江市文化和旅游局,本人于2019年的9月24日上午在丽江旅游，途中导游带我们去鼎盛商行购买黄龙玉！我购买了一个黄龙玉观音挂件消费了4680元！返程到家后发现观音里挂件出现了絮状物，一团团的！后给懂行的朋友鉴定！质地不好，价格虚高！被人欺骗的感觉真的不好！几天就发现问题！希望领导为我们消费者做主能退掉！让商家和导游别这么黑心收费！还云南旅游郎朗乾坤！先感谢领导,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
人民领导为人民，办事效率非常快,已办理,旅游 感谢,路***,2019-09-3017:00,首先非常感谢领导的帮助，让我感受到了新时代的好风气。旅游主管部门和旅行社处理的都非常及时，在我投诉的当天就已经给我退款了。在泸沽湖旅游期间，旋行社和导游的服务都比较好，不存在强迫购物或者诱导购物。我对旅行社和导游没有投诉意见，对旅游主管部门的处理非常满意。,丽江市书记市长信箱,首先非常感谢领导的帮助，让我感受到了新时代的好风气。旅游主管部门和旅行社处理的都非常及时，在我投诉的当天就已经给我退款了。在泸沽湖旅游期间，旋行社和导游的服务都比较好，不存在强迫购物或者诱导购物。我对旅行社和导游没有投诉意见，对旅游主管部门的处理非常满意。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
注意！旅游购物陷阱，夸大药效功能，与实物不符,已办理,旅游 求助,路***,2019-09-2714:51,您好，我是一名退役军人，在云南丽江游玩了一个星期，非常喜欢和尊重当地的风土人情。在购物期间，虽然没有强制消费，但导购夸大药效功能，我也是想买点给父母亲人。称重时我看着显示是三十一克，磨粉后秤重变成三百一十克了，磨成粉又不能退。我觉得首先没有客观的叙述药材的功能药效，其次称重含糊其辞，没有正面告诉消费者重量。花了两千七买了不安心的东西回家体现不出孝顺，只能说明我傻，希望领导能帮忙退款，也祝愿丽江越来越美丽，建设越来越好。扎西德勒！,丽江市文化和旅游局,您好，我是一名退役军人，在云南丽江游玩了一个星期，非常喜欢和尊重当地的风土人情。在购物期间，虽然没有强制消费，但导购夸大药效功能，我也是想买点给父母亲人。称重时我看着显示是三十一克，磨粉后秤重变成三百一十克了，磨成粉又不能退。我觉得首先没有客观的叙述药材的功能药效，其次称重含糊其辞，没有正面告诉消费者重量。花了两千七买了不安心的东西回家体现不出孝顺，只能说明我傻，希望领导能帮忙退款，也祝愿丽江越来越美丽，建设越来越好。扎西德勒！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
关于留言ID6379761的处理结果满意书,已办理,旅游 感谢,安***,2019-09-2713:11,本人2019年9月24日在泸沽湖洼夸村购买银器售后一事，商家积极进行处理，现已全额退款，本人对处理结果满意，承诺对旅行社、导游及商家不进行任何投诉。,丽江市书记市长信箱,本人2019年9月24日在泸沽湖洼夸村购买银器售后一事，商家积极进行处理，现已全额退款，本人对处理结果满意，承诺对旅行社、导游及商家不进行任何投诉。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		丽江市 >
    
	丽江市委书记崔茂虎
"
