标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
手机号被封,已办理,治安 求助,z***,2019-10-1313:06,在广东东莞办理的，无故被封号，我已用了十多年的号码，所有的朋友，网上各种平台都绑定了这张卡，因为现在在云南工作，打了几个云南电话就停我的机，请问为什么封，我没有犯法违法，如果违法可以直接传我查我，我都没意见，老百姓的日子还怎么过？,临沧市政府办公室,在广东东莞办理的，无故被封号，我已用了十多年的号码，所有的朋友，网上各种平台都绑定了这张卡，因为现在在云南工作，打了几个云南电话就停我的机，请问为什么封，我没有犯法违法，如果违法可以直接传我查我，我都没意见，老百姓的日子还怎么过？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
玉龙花园保障性住房收缴不合理停车费,已办理,城建 求助,羊***,2019-10-1217:41,玉龙花园保障性住房停车费不合理业主维权过程中，我们业主不是抵制缴纳停车费，是要求降低停车费，廉住房住的都是有得国家低保的扶持比较贫困的人群，公租房的住户大多数都是外来打工者，本地企业工作者生活所迫买的代步车或者货车都是为了生计，对于停车费用太高，很多住户真的承受不起。地下车库200元一月，车位管理费15元一月，字母车位350元一月。一年下来就是2400~3000元的停车费。最难接受的是地面车位一小时2元，31分钟就开始收费。早上上班就要缴纳昨晚的停车费10 元，中午下班回家吃饭休息出门又缴纳6元，下午下班回家晚上要出门又缴纳6元。这样进进出出的，一天的停车费20 元左右，也不可能下班了不回家不出门好好在家蹲着，这笔钱到底是进了谁的口袋。,临沧市政府办公室,玉龙花园保障性住房停车费不合理业主维权过程中，我们业主不是抵制缴纳停车费，是要求降低停车费，廉住房住的都是有得国家低保的扶持比较贫困的人群，公租房的住户大多数都是外来打工者，本地企业工作者生活所迫买的代步车或者货车都是为了生计，对于停车费用太高，很多住户真的承受不起。地下车库200元一月，车位管理费15元一月，字母车位350元一月。一年下来就是2400~3000元的停车费。最难接受的是地面车位一小时2元，31分钟就开始收费。早上上班就要缴纳昨晚的停车费10 元，中午下班回家吃饭休息出门又缴纳6元，下午下班回家晚上要出门又缴纳6元。这样进进出出的，一天的停车费20 元左右，也不可能下班了不回家不出门好好在家蹲着，这笔钱到底是进了谁的口袋。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
莫名微信和Qq被封,已办理,治安 求助,Z***,2019-09-1221:23,本人在7月21日微信和Qq都莫名被封。本人常年在全国各地走动，因为听亲戚朋友说云南地区物流行业跟不上，所以本人与朋友结伴约了当地司机导路，去了云南周边，去了临沧大理南伞，具体方向都是司机开车，然后我们下车看看周边物流公司，寻找店面，并且自己尝试寄件，联系当地快递员，因为要看看寄到所需地点需要多少时间，以及路程2. 本人电话除了快递就是和家人联系，都是短号，从没有和什么诈骗分子联系，本人遵纪守法，遵守国家法律法规，绝不从事违法的犯罪行为。近日这片区域电信诈骗活动猖獗，公安机关加大打击力度，本人对此深表敬意！但现在可能系统原因，误将我使用长达10几年的微信和Qq封停了。这两个账号是我从小到大的社交以及回忆记录。微信上也是与快递员联系，和朋友聊聊，视频，和领导报备账目。Qq连话都没说过，更不用说包庇诈骗，本人坚决拥护党组织，爱国敬业诚信友善。请领导组织公平公正的的调查此事，本人的qq和微信都伴随本人多年，所有的回忆在qq空间相册、因为从没想过会封号，因此很多去世的亲人照片都存在相册作为念想封禁给我的生活带来了极大不便，烦请陈书记费心联系公安机关，告诉我封禁的流程手续！如有打扰，实属无奈,临沧市政府办公室,本人在7月21日微信和Qq都莫名被封。本人常年在全国各地走动，因为听亲戚朋友说云南地区物流行业跟不上，所以本人与朋友结伴约了当地司机导路，去了云南周边，去了临沧大理南伞，具体方向都是司机开车，然后我们下车看看周边物流公司，寻找店面，并且自己尝试寄件，联系当地快递员，因为要看看寄到所需地点需要多少时间，以及路程2. 本人电话除了快递就是和家人联系，都是短号，从没有和什么诈骗分子联系，本人遵纪守法，遵守国家法律法规，绝不从事违法的犯罪行为。近日这片区域电信诈骗活动猖獗，公安机关加大打击力度，本人对此深表敬意！但现在可能系统原因，误将我使用长达10几年的微信和Qq封停了。这两个账号是我从小到大的社交以及回忆记录。微信上也是与快递员联系，和朋友聊聊，视频，和领导报备账目。Qq连话都没说过，更不用说包庇诈骗，本人坚决拥护党组织，爱国敬业诚信友善。请领导组织公平公正的的调查此事，本人的qq和微信都伴随本人多年，所有的回忆在qq空间相册、因为从没想过会封号，因此很多去世的亲人照片都存在相册作为念想封禁给我的生活带来了极大不便，烦请陈书记费心联系公安机关，告诉我封禁的流程手续！如有打扰，实属无奈,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
关于财富中心小区垃圾收集扰民已经得到解决,已办理,城建 感谢,七***,2019-09-1015:08,尊敬的张市长，我于2019年9月3日在留言中所谈到的财富中心凌晨四点垃圾清运扰民一事在您的关心协调下已经得到圆满解决，环卫站打电话来告知他们以前也接到一些关于这个市情的投诉，现在他们已经安排调整垃圾清运路线，先清运不影响居民休息地段的，然后再清运居民区附近的，也是在早上七点半之前可以完成清运任务。这两天都是凌晨六点半左右来我们小区清运，已经不影响我们正常休息。在此代表涉及的财富中心小区居民感谢市长，感谢有关部门的协调帮助。也感谢环卫工人的辛苦工作和对我们居民诉求的理解支持。,临沧市书记市长信箱,尊敬的张市长，我于2019年9月3日在留言中所谈到的财富中心凌晨四点垃圾清运扰民一事在您的关心协调下已经得到圆满解决，环卫站打电话来告知他们以前也接到一些关于这个市情的投诉，现在他们已经安排调整垃圾清运路线，先清运不影响居民休息地段的，然后再清运居民区附近的，也是在早上七点半之前可以完成清运任务。这两天都是凌晨六点半左右来我们小区清运，已经不影响我们正常休息。在此代表涉及的财富中心小区居民感谢市长，感谢有关部门的协调帮助。也感谢环卫工人的辛苦工作和对我们居民诉求的理解支持。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
垃圾清运车凌晨四点清运垃圾噪音扰民,已办理,城建 建言,七***,2019-09-0319:54,我是临沧市财富中心广场二期一名普通的业主，我们小区靠近临沧市禁毒支队大门侧，翰林幼儿园入口旁路边有一个金属垃圾箱，每天凌晨4点多环卫车来我们小区收垃圾，垃圾车距离我们楼仅两三米的距离，环卫工人铁铲与水泥地面摩擦的刺耳噪音，铁铲敲击金属垃圾箱的响声，还有垃圾车发动机的轰鸣，我们每天凌晨四点都要忍受这些巨大的噪音，涉及这一面的住户多达40余家，有的人家有老人，有的有孩子，四点总被吵醒，身心饱受极大的打击，我们现在连睡眠都保证不了……我咨询物业公司，他们说垃圾箱不在小区内，不属于他们管，我又打电话到临翔区环卫站，答复得很好，但垃圾车还是凌晨四点过来，打了几次电话依然不管用，我们很理解环卫工人早起打扫的辛苦，也想要一个干净美丽的城市，但我们强烈希望能改变一下收集垃圾线路，先收集距离居民区远一点的垃圾，将清理时间稍微延后至6点后。根据国家规定，在居民区内，户外允许噪音级昼间为50分贝，夜间为40分贝。一类生活区域夜测50分贝以上，二类生活区域夜测65分贝以上，只要超过晚上22点或至次日早6点的就是扰民了，属于噪音污染。根据《中华人民共和国环境噪声污染防治法》，第六十一条，受到环境噪声污染危害的单位和个人，有权要求加害人排除危害；造成损失的，依法赔偿损失。 我们能理解临翔区环卫站对垃圾的日常清理，但每天凌晨4点期间的高达75分贝且持续半小时的清理过程，造成严重扰民实属事实。恳请领导关注协调，谢谢！,临沧市政府办公室,我是临沧市财富中心广场二期一名普通的业主，我们小区靠近临沧市禁毒支队大门侧，翰林幼儿园入口旁路边有一个金属垃圾箱，每天凌晨4点多环卫车来我们小区收垃圾，垃圾车距离我们楼仅两三米的距离，环卫工人铁铲与水泥地面摩擦的刺耳噪音，铁铲敲击金属垃圾箱的响声，还有垃圾车发动机的轰鸣，我们每天凌晨四点都要忍受这些巨大的噪音，涉及这一面的住户多达40余家，有的人家有老人，有的有孩子，四点总被吵醒，身心饱受极大的打击，我们现在连睡眠都保证不了……我咨询物业公司，他们说垃圾箱不在小区内，不属于他们管，我又打电话到临翔区环卫站，答复得很好，但垃圾车还是凌晨四点过来，打了几次电话依然不管用，我们很理解环卫工人早起打扫的辛苦，也想要一个干净美丽的城市，但我们强烈希望能改变一下收集垃圾线路，先收集距离居民区远一点的垃圾，将清理时间稍微延后至6点后。根据国家规定，在居民区内，户外允许噪音级昼间为50分贝，夜间为40分贝。一类生活区域夜测50分贝以上，二类生活区域夜测65分贝以上，只要超过晚上22点或至次日早6点的就是扰民了，属于噪音污染。根据《中华人民共和国环境噪声污染防治法》，第六十一条，受到环境噪声污染危害的单位和个人，有权要求加害人排除危害；造成损失的，依法赔偿损失。 我们能理解临翔区环卫站对垃圾的日常清理，但每天凌晨4点期间的高达75分贝且持续半小时的清理过程，造成严重扰民实属事实。恳请领导关注协调，谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
同康北城万象业主至今仍无房本,待回复,城建 求助,皮***,2019-08-3117:06,尊敬的张市长，您好！           我们是临翔区工业园区同康北城万象的业主，至今仍没有拿到房本。业主们曾多次与开发商交涉，要求给房本，但每次都是答复正在办理中，无奈之下，业主又集体向区政府，区城建局，工业园区建设局求助。7月2日，区城建局给的答复是正在录入数据，一周左右完成，大概8月份房本到手，可是转眼又马上九月份了，房本又如同石沉大海，杳无音信。         房子是一户普通人家一辈子的积蓄，没有房本就不能贷款，不能还买房借的钱，不能买卖房子，再拖下去当初愿意借钱给买房子的亲戚就要反目成仇了！没有房本就像住着别人的房，总在担心会不会什么时候一辈子的心血就没了。打扰领导实属无奈，希望领导能尽快帮忙解决，让大家尽快安下心来好好生活。         祝，工作顺利！,,,
公租房,已办理,城建 咨询,李***,2019-08-2815:25,市领导！您好，临翔区今年还可能分配公租房吗？,临沧市政府办公室,市领导！您好，临翔区今年还可能分配公租房吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
关于市级单位遴选,已办理,就业 建言,有***,2019-08-2720:22,尊敬的张市长，您好：       今年临沧市委党校、文联等市级单位遴选，面向的范围只是县乡级公务员，我的妻子是县上一名普通的税务干部，她原本也准备报名参加，最后很遗憾得知不在遴选的范围。我想恳请市委、市政府在今后再有遴选的时候，能不能考虑一下这一部分中央、省驻地方县上的单位！她们也风华正茂，一毕业就带着抱负参加了国考，同样也具备优秀的工作能力，也渴望一个更高的平台有所作为，也想要一个能够去临沧和家人团聚的机会！              ,临沧市政府办公室,尊敬的张市长，您好：       今年临沧市委党校、文联等市级单位遴选，面向的范围只是县乡级公务员，我的妻子是县上一名普通的税务干部，她原本也准备报名参加，最后很遗憾得知不在遴选的范围。我想恳请市委、市政府在今后再有遴选的时候，能不能考虑一下这一部分中央、省驻地方县上的单位！她们也风华正茂，一毕业就带着抱负参加了国考，同样也具备优秀的工作能力，也渴望一个更高的平台有所作为，也想要一个能够去临沧和家人团聚的机会！              ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
公交站牌标识及公交车行驶标识,已办理,交通 建言,y***,2019-08-2417:59,尊敬的市长您好：临沧公交车站牌标识不便乘车出行，站牌路线站点不详要改进一下，一般外地人不知无法乘车，每个站点应有是哪路车经过也难辨识，公交车头也标识到目的终点站地址不详，行车路线不详“XX路车”车字太小，建议改进一下，特别是市人民医院老区哪条街人员密集区更应改进，可以学习一下楚雄.昆明的标识管理，提的不妥请原谅！,临沧市政府办公室,尊敬的市长您好：临沧公交车站牌标识不便乘车出行，站牌路线站点不详要改进一下，一般外地人不知无法乘车，每个站点应有是哪路车经过也难辨识，公交车头也标识到目的终点站地址不详，行车路线不详“XX路车”车字太小，建议改进一下，特别是市人民医院老区哪条街人员密集区更应改进，可以学习一下楚雄.昆明的标识管理，提的不妥请原谅！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
临沧印象小区汉云物业不作为乱作为扰乱小区秩序,已办理,治安 建言,匿***,2019-08-2314:23,临沧印象小区汉云物业不作为乱作为扰乱小区秩序：1.汉云物业存在对日常物业管理不作为行为，存在态度恶劣行为有录音，业主已交水电费但因为汉云物业不及时缴纳被水电公司强行停电停水对业主的正常生活产生影响；2.汉云物业偷盖业主委员会公章对小区业主随意收费，引发群体事件有视频，事后未对业主做出解释；3. 汉云物业存在故意不开具发票给业主的行为，有录音，4.业主委员会存在不作为行为，大部分业主强烈要求更换汉云物业但业主委员会两耳不闻窗外事也不做回应，普通业主投诉无门，请临沧政府机构出面还小区业主一个安定祥和的居住环境。#业委会#,临沧市政府办公室,临沧印象小区汉云物业不作为乱作为扰乱小区秩序：1.汉云物业存在对日常物业管理不作为行为，存在态度恶劣行为有录音，业主已交水电费但因为汉云物业不及时缴纳被水电公司强行停电停水对业主的正常生活产生影响；2.汉云物业偷盖业主委员会公章对小区业主随意收费，引发群体事件有视频，事后未对业主做出解释；3. 汉云物业存在故意不开具发票给业主的行为，有录音，4.业主委员会存在不作为行为，大部分业主强烈要求更换汉云物业但业主委员会两耳不闻窗外事也不做回应，普通业主投诉无门，请临沧政府机构出面还小区业主一个安定祥和的居住环境。#业委会#,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
帮忙解决房子问题,已办理,城建 求助,我***,2019-07-3112:46,尊敬的张市长您好：我是临沧市临翔区天豪国际的一名业主，4年前就以住进这个小区，但因为开发商的原因至今还未交房，房子存在着很多问题，我们住的是担惊受怕。消防没有收尾，经常停电停水，我们的生活已经陷入水深火热之中  严重影响我们的正常生活，小区是高楼一共有32层 ，一旦发生火灾 小区有老人也有小孩 后果不堪设想 ，望张市长重视  请求张市长帮忙解决！ 在此跪谢!,临沧市政府办公室,尊敬的张市长您好：我是临沧市临翔区天豪国际的一名业主，4年前就以住进这个小区，但因为开发商的原因至今还未交房，房子存在着很多问题，我们住的是担惊受怕。消防没有收尾，经常停电停水，我们的生活已经陷入水深火热之中  严重影响我们的正常生活，小区是高楼一共有32层 ，一旦发生火灾 小区有老人也有小孩 后果不堪设想 ，望张市长重视  请求张市长帮忙解决！ 在此跪谢!,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
医院开清单去别的药店购买手术用品,已办理,医疗 投诉,流***,2019-07-3016:48,尊敬的张市长             你好，我女朋友妈妈在临沧人民医院临翔分院住院。需要手术切除胰腺癌，医生开具清单叫去他指定的药店购买手术用品，还没发开具正规清单发票，请问这样做是医院需要还是医生需要？合理吗？从未听说过做手术还需到医生指定的药店购买手术用品！医生态度也需要改善，病人本来就是生病来到医院，不是欠医院钱来医院！感谢张市长能否有个回复,临沧市政府办公室,尊敬的张市长             你好，我女朋友妈妈在临沧人民医院临翔分院住院。需要手术切除胰腺癌，医生开具清单叫去他指定的药店购买手术用品，还没发开具正规清单发票，请问这样做是医院需要还是医生需要？合理吗？从未听说过做手术还需到医生指定的药店购买手术用品！医生态度也需要改善，病人本来就是生病来到医院，不是欠医院钱来医院！感谢张市长能否有个回复,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
出境证办理问题,已办理,就业 求助,李***,2019-07-2017:22,张市长:  您好！我是在孟定镇这边做边贸生意的。我们一家三代人现在在缅甸那边做生意，经常于缅甸和孟定之间往返。但是现在有一个大难题摆在了我们的面前，这个难题不仅难道我们，也难倒了很多在缅甸生活的中国人。  因为办个出境证实在是太难了，要房产证办暂住证，办得暂住证半年才可以办出境证，可是办出境证还要实体店门面还要自己开才可能给自己家的小孩办，可是谁家没有小孩，谁家就一定在孟定有门面，我们是在缅甸做，小孩还小，带在身边，进出很不方便，可是为了生活，真的没有办法。  我写的不好，文化不够，希望领导能给我们寻一条出路。,临沧市政府办公室,张市长:  您好！我是在孟定镇这边做边贸生意的。我们一家三代人现在在缅甸那边做生意，经常于缅甸和孟定之间往返。但是现在有一个大难题摆在了我们的面前，这个难题不仅难道我们，也难倒了很多在缅甸生活的中国人。  因为办个出境证实在是太难了，要房产证办暂住证，办得暂住证半年才可以办出境证，可是办出境证还要实体店门面还要自己开才可能给自己家的小孩办，可是谁家没有小孩，谁家就一定在孟定有门面，我们是在缅甸做，小孩还小，带在身边，进出很不方便，可是为了生活，真的没有办法。  我写的不好，文化不够，希望领导能给我们寻一条出路。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
危房补助申请,待回复,城建 求助,杨***,2019-07-1718:00,本人云南省临沧市永德县小勐统镇街子上社人。本人于2017年3月份。向云南省临沧市永德县小勐统镇政府申请了4万元的危房补助金。申请时交了村民委会证明。户口本，身份证等。到现在快三年了，没有拿到一分补助金。建房时向银行贷了5万元的健房贷款。希望领导帮忙问一下危房补助什么时候能到谢谢。,,,
居民区存在切割、焊接及喷漆作业，居民苦不堪言,已办理,环保 投诉,杨***,2019-07-1216:14,尊敬的市长同志，我们入住的临翔区忙畔公租房，一楼前面为铺面，后面为车库，二楼及以上为居住使用房，最近一楼被前后打通用作不锈钢材的加工。一方面，摆料、切割、焊接操作时的噪音严重吵到居民的休息；二方面，喷漆作业带来的刺鼻油漆味，让居民呼吸困难，甚是有不良反应，即便到晚上都飘着油漆气味，住户直接不敢开窗户，带来高温、空气不流通；三方面，操作产生的钢粉、漆粉等废弃物，被就地随意冲走，没做任何处理，直接严重污染居住环境；四方面，焊接好的成品人行道及车辆停放区随意堆放。楼上居住的用户大多有老人和小孩，他们的这一“随意性”、“不负责“行为已经让我们楼上的住户不能正常生活，严重侵扰到我们住户的身心健康，长期下去将威胁到我们住户的身体健康，带来不可估量的并发后果。民生无小事，请领导安排相关部门进行调查、治理，以恢复居民正常的生活秩序。为盼！,临沧市政府办公室,尊敬的市长同志，我们入住的临翔区忙畔公租房，一楼前面为铺面，后面为车库，二楼及以上为居住使用房，最近一楼被前后打通用作不锈钢材的加工。一方面，摆料、切割、焊接操作时的噪音严重吵到居民的休息；二方面，喷漆作业带来的刺鼻油漆味，让居民呼吸困难，甚是有不良反应，即便到晚上都飘着油漆气味，住户直接不敢开窗户，带来高温、空气不流通；三方面，操作产生的钢粉、漆粉等废弃物，被就地随意冲走，没做任何处理，直接严重污染居住环境；四方面，焊接好的成品人行道及车辆停放区随意堆放。楼上居住的用户大多有老人和小孩，他们的这一“随意性”、“不负责“行为已经让我们楼上的住户不能正常生活，严重侵扰到我们住户的身心健康，长期下去将威胁到我们住户的身体健康，带来不可估量的并发后果。民生无小事，请领导安排相关部门进行调查、治理，以恢复居民正常的生活秩序。为盼！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
感谢党领导,已办理,三农 感谢,岩***,2019-07-1111:56,尊敬的张之政好市长，我代表各家庭百姓感谢您！农民的经济合法利益是真的有保障了，我的求助昨天就通知了，在次谢谢您。,临沧市书记市长信箱,尊敬的张之政好市长，我代表各家庭百姓感谢您！农民的经济合法利益是真的有保障了，我的求助昨天就通知了，在次谢谢您。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
临清高速不按法定征农村集体土地公共设施问题,已办理,三农 求助,岩***,2019-07-1014:35,尊敬的领导您好！我是一个正真的劳动农民工，没什么文化，关于国家临清高速建设征收孟定镇贺海村集体土地，不按法定程序先建占用地。土属于贺海村民集体个人投资建用地为农用公共道路地，于2017年5月未告知，就于自私乱建设用地。个人己多次找村民干部和村委会及项目部，可是现在2019年7月今都没有决定，地也用了，路也通了，土地也被损坏了，到底农民有没有保障，不要光看外面好，不要光夸领导工作分配的好！农村家庭内部谁负责到户公开信息过，我问过本村长征地补偿标准他们都不知道这一切是为了什么？请求巿临导查询，依法办理。事件位置如下图标。,临沧市政府办公室,尊敬的领导您好！我是一个正真的劳动农民工，没什么文化，关于国家临清高速建设征收孟定镇贺海村集体土地，不按法定程序先建占用地。土属于贺海村民集体个人投资建用地为农用公共道路地，于2017年5月未告知，就于自私乱建设用地。个人己多次找村民干部和村委会及项目部，可是现在2019年7月今都没有决定，地也用了，路也通了，土地也被损坏了，到底农民有没有保障，不要光看外面好，不要光夸领导工作分配的好！农村家庭内部谁负责到户公开信息过，我问过本村长征地补偿标准他们都不知道这一切是为了什么？请求巿临导查询，依法办理。事件位置如下图标。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市市长张之政
"
